Change to,Changer en
Are you sure you want to load?\NEWLINEProgress will be reverted to last QuickSave.,Voulez-vous vraiment charger ?\NEWLINELa progression sera ramenée à la dernière sauvegarde rapide.
Are you sure you want to restart mission?\NEWLINEMission progress will be lost.,Voulez-vous vraiment recommencer la mission ?\NEWLINELa progression de la mission sera perdue.
Are you sure you want to return to base?\NEWLINEALL mission progress will be lost.,Voulez-vous vraiment retourner à la base ?\NEWLINEToute la progression de la mission sera perdue.
Are you sure you want to return to the beginning of the turn?\NEWLINEAll unsaved progress will be lost.,Voulez-vous vraiment revenir au début du tour ?\NEWLINETous les progrès non sauvegardés seront perdus.
Finish deploying and begin mission?,Terminer le déploiement et commencer la mission ?
Retreat this squad to base?\NEWLINEThey will be unavailable until next turn.,Retraite de cette escouade à la base ?\NEWLINEElle sera indisponible jusqu'au prochain tour.
Are you sure you want to revive?,Voulez-vous vraiment ressusciter cette unité ?
Are you sure you want to refresh all heal charges?,Voulez-vous vraiment réinitialiser tous les coûts de guérison ?
Are you sure you want to restart mission and PERMANTENTLY reduce difficulty?\NEWLINENew difficulty:,Voulez-vous vraiment redémarrer la mission et de réduire la difficulté de façon PERMANENTE ?\NEWLINENouvelle difficulté :
Depart with the selected squads?\NEWLINEThe rest will find another way to survive.,Partir avec les escouades sélectionnées ?\NEWLINELes autres trouveront un autre moyen de survivre.
Squads to join Diana's Army,Escouades qui rejoindront l'armée de Diana
Not all squads have moved.,Toutes les escouades n'ont pas bougé.
Are you sure you want to End Turn?,Voulez-vous vraiment mettre fin au tour ?
Form a new squad with this unit as leader?,Former une nouvelle escouade avec cette unité comme meneur ?
Are you sure you want to disband this squad?\NEWLINEAll Units will be returned to reserves.,Voulez-vous vraiment dissoudre cette escouade ?\NEWLINEToutes les unités seront renvoyées dans les réserves.
Are you sure you want to clear this squad?\NEWLINEAll Units and artifacts will be removed from squad.,Voulez-vous vraiment vider cette escouade ?\NEWLINEToutes les unités et artefacts seront retirés de l'escouade.
Are you sure you want to remove this unit?\NEWLINE(Unit will be placed in reserves),Voulez-vous vraiment retirer cette unité ?\NEWLINE(L'unité sera placée en réserve)
Are you sure you want to remove this unit?\NEWLINE(Squad will be disbanded),Voulez-vous vraiment supprimer cette unité ?\NEWLINE(L'escouade sera dissoute)
Are you sure you want to dismiss this Unit?\NEWLINEThey will be gone for good!,Voulez-vous vraiment renvoyer cette unité ?\NEWLINEIls seront partis pour de bon !
Choose a trait to replace.,Choisissez un trait à remplacer.
Rename character to,Renommer le personnage en
Use item,Utiliser objet
WARNING! Golden classes can no longer class change.  Are you sure?,AVERTISSEMENT ! Les classes d'or ne peuvent plus changer de classe.  Confirmer ?
"All player units take 50% less damage from all sources!\\PARGreat if you want to view the story! Still has the full game, but without the risk of defeat.","Toutes les unités du joueur subissent 50 % de dégâts en moins, toutes sources confondues !\\PARParfait pour profiter de l'histoire ! Tout le jeu est disponible, sans risque de défaite."
"Enemies are well-balanced, several key levels can be moderately challenging.\\PARGreat starting point for most players!","Les ennemis sont bien équilibrés, et plusieurs niveaux clés peuvent être modérément difficiles.\\PARC'est un bon point de départ pour la plupart des joueurs !"
Enemy HP and attack power are increased!\\PARONLY for experienced players!\\LINEChoose at your own risk!,Les PV et la puissance d'attaque de l'ennemi sont augmentés!\\PARRéservé aux joueurs expérimentés !\\LINEÀ vos risques et périls !
Locked.  Unlock #n# more Tier #t# techs to unlock.\NEWLINE,Verrouillé.  Débloquez #n# technologies de rang #t# pour déverrouiller.\NEWLINE
Locked.  Unlock all techs from associated branches to unlock!\NEWLINE,Verrouillé.  Débloquez tous les technologies des branches associées pour déverrouiller !\NEWLINE
"Returns to the base last deployed from, in the state you were prior to deploying.","Retourne à la base d'où vous avez été déployé en dernier, dans l'état où vous étiez avant le déploiement."
Loads the last QuickSave.,Charge la dernière sauvegarde rapide.
"Starts the mission over.  If there was a deploy phase, return to right before deploy was completed.","Redémarre la mission du début.  S'il y a eu une phase de déploiement, vous revenez juste avant que le déploiement ne soit terminé."
Starts the mission over and reduce the difficulty for the remainder of this playthrough.,Recommence la mission et réduit la difficulté pour le reste de la partie.
Redo the turn from the start of the Player Phase.,Recommencez le tour depuis le début de la phase du joueur.
Load a file.,Charger un fichier.
Return to the title screen.,Retourner à l'écran titre.
Are you sure you want to save? \NEWLINEAny existing data will be overwritten.,Voulez-vous vraiment sauvegarder ? \NEWLINELes données existantes seront écrasées.
Are you sure you want to skip this chapter?,Êtes-vous sûr de vouloir passer ce chapitre ?
"Enemies are smarter, braver, and more ruthless. Everything is far less forgiving.\\PARThe ultimate challenge for masterful commanders!","Les ennemis sont plus malins, plus impétueux, et sans pitié. Aucune erreur n’est permise.\\PARLe défi ultime pour les commandants les plus expérimentés."
Summons this new Risen unit into your reserves.,Invoque ce nouveau Ressuscité dans vos réserves.
Summons this new Risen unit into your squad.,Invoque cette nouvelle unité Ressuscitée dans votre escouade.
(visual only),(uniquement visuel)
"WARNING! This class cannot be demoted.	","ATTENTION ! Pour cette classe, la promotion ne peut être annulée."
"Story characters from the previous playthrough will be available as non-story affecting ""copies"", but retain their unique class.","Les personnages de l’histoire ventant d’une précédente partie seront disponibles en tant que «copies» n’affectant pas l’histoire, mais gardant leur classe unique."
No units or items will from the previous run will be available. Playthrough options may still be selected.,Les unités et objets provenant d’une précédente partie ne seront pas disponibles. Les options de parties peuvent toujours être sélectionnées.
Start the game at chapter 4 with some additional resources and Memory Fragments granted.,Commencez la partie directement au chapitre 4 avec des ressources supplémentaires et des Fragments de Mémoire.
Units carried over from a previous playthrough will be reset to their initial class but have greatly increased XP and CP growth as well as a small stat boost.,Les unités importées d’une précédente partie se verront revenir à leur classe initiale mais auront un bonus au gain d’EXP et de PC ainsi qu’un petit bonus de statistiques.
Adjust how many resources mines will grant.,Ajustez la quantité de ressources fournies par les mines.
Adjust how much gold Surrender bounties will grant.,Ajustez combien d’or rapportera une reddition.
Adjusts the starting stats and stat scaling of enemies in the game. Does not affect ally (green) squads.,Ajuste les statistiques de départ et la mise à l’échelle des statistiques des ennemis en jeu. N’affecte pas les escouades alliées (vertes).
More battle experience will be required to advance Unit levels.,Davantage d’expérience de combat sera requis pour faire progresser les niveaux d’une Unité.
Enemy squads will be randomly equipped with artifacts.,Les escouades ennemies seront équipées d’artefacts aléatoirement.
Certain enemy squad locations will be swapped.,Certains emplacements d’escouades ennemies seront échangés.
Enemies will have an increasing ability to command Risen as the playthrough progresses.,Les ennemis auront une capacité accrue à commander les Ressuscités au fil de la partie.
Increases the starting morale of most enemies and makes them slightly more resistant to morale loss in combat.,Augmente le moral de départ des ennemis et les rend légèrement plus résistants à la perte de moral en combat.
Boss squads become more resistant to all damage types,Les boss d’escouades deviennent plus résistants à tous les types de dommage.
Increases the effect of Zones of Control for ALL squads.,Augmente l’effet des Zones de Contrôle pour TOUTES les escouades.
Story characters' positive stat modifiers are reduced. Increases the charge time for Powers.,Les statistiques positives des personnages liés à l’histoire sont réduits. Augmente le temps de charge des Pouvoirs.
Each enemy leader is granted a Specalist trait that increases their power in certain situations.,Chaque meneur ennemi reçoit un atout de Spécialiste qui augmente leur pouvoir dans certaines situations.
Increases the penalties associated with terrain and weather.,Augmente les pénalités dues au terrain et à la météo.
Enemies recieve an additional stat boost based on the number of previous playthroughs completed.,Les ennemis reçoivent un bonus de statistiques supplémentaire basé sur le nombre de parties terminées.
Story characters will retain certain properties from the previous playthrough upon rejoining.,Les personnages de l’histoire garderont certaines propriétés acquises lors de la précédente partie lorsqu’ils vous rejoignent.
"Non-unique, non-story characters will have their stat modifiers increased based on how many playthroughs they have survived.",Les personnages non-uniques et non liés à l’histoire recevront des augmentations de statistiques selon le nombre de parties auxquelles ils ont survécu.
All gilded troops from the previous run will lose their gilded status when carried over into the next playthrough. Cost to be reduced accordingly.,Toutes les troupes dorées d’une partie précédente perdront leur statut doré lors de la prochaine partie. Leur coût sera réduit en fonction.
Are you sure you want to refund all merits?,Êtes-vous certain de vouloir récupérer tous les mérites ?
Makes this troop lose their gilded status. Cost to be reduced accordingly.,Fait perdre son statut doré à cette troupe. Le coût en sera réduit en fonction.
All powers are unlocked from the start of the game.,Tous les pouvoirs sont débloqués dés le début de la partie.
Shops will restock certain items on purchase with an ever-increasing cost. Cost increase will be reset upon shop refresh.,Certains objets dans les boutiques seront de nouveau en stock en étant plus chers à chaque fois. L’augmentation du coût se réinitialisera à chaque réinitialisation de la boutique.
"Arena can be played without a token, but no rewards will be granted in doing so. Arenas entered via token still grant normal rewards.","L’arène peut être joué sans jeton, mais dans ce cas, vous ne recevrez aucune récompense. Les arènes jouées grâce à un jeton accordent toujours les récompenses normales."
"Replay this mission. Missed objectives can be captured, but otherwise no additional rewards will be granted.","Rejouer cette mission. Les objectifs manqués peuvent être capturés, mais sinon, aucune récompense supplémentaire ne sera accordée."
Non-leader Units no longer suffer a penalty to LDR growth.,Les Unités qui ne sont pas Meneurs ne souffrent plus de pénalité à l’augmentation de leur MNR.
Adjust the overall rate of CP acquisition.,Ajustez le taux global d’acquisition de PC.
Cost to Revive at Donari Temple,Coût pour Ressusciter au Temple de Donar
Increased Unit Capacity cost past 5 Units in a Squad,Coût de la Capacité de l’Unité augmenté à partir de 5 Unités dans l’escouade
No Resource Exchange in Home Bases,Pas d’Échanges de Ressources au Quartier Général
Enemies more clever and ruthless,Les ennemis sont plus malins et sans pitié
Enemy Cavalry Squads can move after attacking,Les Escouades de Cavalerie Ennemies peuvent bouger après avoir attaqué
In-Battle healing effect decreased,Effet de soin en combat diminué
Increased Artifact Capacity cost,Coût des Capacités d’Artefact augmenté
Attack power scales more slowly as stats increase,La puissance d’attaque s’adapte plus lentement lorsque les statistiques augmentent.
Rate of decreased magic and healing efficacy with repeated use in the same Phase.,Les effets magiques et de soin diminuent en efficacité à chaque utilisation durant une même Phase.
Gunner volleys separated by row.,Les volées de Fusilleurs séparés par rangée.
Adjust shop prices.,Ajuster les prix de la boutique.
Thank you for purchasing the Legends DLC! The New Game+ options on this page require a Clear Save to carry over your previous army. Clear Chapter 30 in the main quest and create a Clear Save after the ending credits to enable!,Merci d'avoir acheté le DLC Legends ! Les options de New Game+ sur cette page ont besoin d'une sauvegarde vierge pour que vous puissiez garder votre armée. Terminez le chapitre 30 et créez une sauvegarde vierge après les crédits de fin pour l'activer !
