ENGLISH,FRENCH
"Change a unit's Affinity to Fire. Stats will change retroactively. +STR, -MAG, +Loyalty","Changez l'affinité d'une unité pour le Feu. Les statistiques changeront rétroactivement. +FOR, -MAG, +Loyauté"
Affinity: Dark,Affinité : Ténèbres
"Change a unit's Affinity to Dark. Stats will change retroactively. ++STR, ++MAG, --LDR, --Loyalty","Changez l'affinité d'une unité pour les Ténèbres. Les statistiques changeront rétroactivement. ++FOR, ++MAG, --MNR, --Loyauté"
Affinity: Light,Affinité : Lumière
"Change a unit's Affinity to Light. Stats will change retroactively. ++LDR, ++Loyalty","Changez l'Affinité d'une unité pour la Lumière. Les statistiques changeront rétroactivement. ++MNR, ++Loyauté"
Trait: Scavenger,Atout : Charognard
Teach trait to a unit.,Enseigner l'atout à une unité.
Trait: Garrison,Atout : Garnison
Trait: Bodyguard,Atout : Garde du corps
Trait: Vengeance,Atout : Vengeance
Trait: Overpower,Atout : Surpasser
Trait: Imposing,Atout : Imposant
Trait: Unassuming,Atout : Sans prétention
Trait: Resolve,Atout : Volonté
Trait: Unscathed,Atout : Indemne
Trait: Precision,Atout : Précision
Trait: Assassin's Heart,Atout : Cœur d'Assassin
Trait: Archer Captain,Atout : Capitaine Archer
Trait: Soldier Captain,Atout : Capitaine Soldat
Trait: Knight Captain,Atout : Capitaine Chevalier
Trait: Concentration,Atout : Concentration
Trait: Disarm,Atout : Désarmement
Trait: Lithe Assault,Atout : Assaut gracieux
Trait: Assassin's Reaper,Atout : Faucheur de l'assassin
Trait: Bowmanship,Atout : Tireur à l'arc
Trait: Dragonslayer,Atout : Tueur de dragons
Trait: Warrior's Hubris,Atout : Orgueil du guerrier
Trait: Challenger,Atout : Compétiteur
Trait: Executioner,Atout : Bourreau
Trait: Healing Attuned,Atout : Guérison perfectionnée
Trait: Cold-Blooded,Atout : Sang froid
Trait: Beacon,Atout : Balise
Trait: Arcane Barrier,Atout : Barrière des arcanes
Trait: Arcane Might,Atout : Puissance des arcanes
Trait: Arcane Speed,Atout : Vitesse des arcanes
Trait: Arcane Vigor,Atout : Vigueur des arcanes
Trait: Counterattack,Atout : Contre-attaque
Trait: Desperation,Atout : Désespoir
Trait: Immortal Spirit,Atout : Esprit immortel
Trait: Smite,Atout : Frappe
Trait: Shock and Awe,Atout : Choc et stupéfaction
Trait: Bloodlust,Atout : Soif de sang
Trait: Silver-Tongued,Atout : Langue d'argent
Trait: Treasure Hunter,Atout : Chasseur de trésors
Trait: Tundra Warrior,Atout : Guerrier de la toundra
Trait: Desert Warrior,Atout : Guerrier du désert
"""This battlefield, suspended in the clouds is reserved for all the fiercest and most celebrated warriors.""","« Ce champ de bataille, suspendu dans les nuages, est réservé aux guerriers les plus féroces et les plus célèbres. »"
Mark of the Risen,Marque du Ressuscité
Use on any Tier 3 Mage or Support Unit to class change them to a Necromancer.,À utiliser sur un Mage de Rang 3 ou une Unité de Soutien pour changer leur classe en Nécromancien.
Defiled Donari Tome,Tome Donari Souillé
Use on any Tier 3 Mage or Support Unit to class change them to a Dark Mage.,À utiliser sur un Mage de Rang 3 ou une Unité de Soutien pour changer leur classe en Mage Noir.
Trait: Benevolent,Atout : Bienveillant
Trait: Liberator,Atout : Libérateur
Trait: Rally,Atout : Rallier
Trait: Barricade,Atout : Barricade
Trait: Pacifist,Atout : Pacifiste
Trait: Wide Guard,Atout : Garde Étendue
Trait: Raid Captain,Atout : Capitaine de Raid
Book of Unlife,Le livre de la non-vie
Use during Squad Organize to summon a persistent Risen.,À utiliser pendant l'organisation de la escouade pour invoquer un Ressuscité Persistant.
Blank Tome,Tome Vierge
Copy a Learned Trait,Copier un Trait Appris
