ENGLISH,FRENCH
Fang of Duros,Croc de Duros
"A weapon built around a fang recovered from the legendary Black Dragon, Duros.","Une arme construite autour d'un croc récupéré sur le légendaire Dragon Noir, Duros.
"
Eskandar's Karambit,Karambit d'Eskandar
"A platina-plated specialized dagger wielded by the Great Chieftain of the Barek Tor, Eskandar.","Une dague à la forme complexe plaquée de platine, maniée par le grand chef de Barek Tor, Eskandar."
Obsidian Edge,Lame d'obsidienne
A one-of-a-kind assassin's knife thought to be an ancient tool used by one of the founding members of the Tidereaver Pirates.,Un couteau d'assassin unique en son genre qui serait un outil ancien utilisé par l'un des membres fondateurs des pirates Brise-vagues.
Zero Point Blade,Dague du point zéro
The ancient Skyborn Dominion developed these as a sidearm for its warrior elite.,L'ancien domaine céleste les a développés comme arme secondaire pour son élite de guerriers.
Acolyte's Mace,Massue d'acolyte
Standard-issue enchanted mace given to Temple Acolyte warriors.,Une massue enchantée standard donnée aux guerriers Acolytes du Temple.
Crusader's Mace,Massue de croisé
A massive weapon plated with obsidian wielded by the elite Donari Paladin order.,Une arme massive plaquée d'obsidienne brandie par l'ordre d'élite des Paladins Donari.
Refuge,Refuge
A blessed hammer granting troops enhanced healing powers.,Un marteau béni qui confère aux troupes des pouvoirs de guérison accrus.
Guerilla Bow,Arc de guérilla
A war-worn weapon proven to be highly accurate.,Une arme de guerre qui se montre très précise.
Trueshot Bow,Arc d'élite
"A magically-crafted bow, designed to give its arrows incredible accuracy.","Un arc façonné par la magie, conçu pour donner à ses flèches une précision incroyable."
Ataraxia,Ataraxia
"Millenia-old bow wielded by Lorelai, slayer of Duros, King of Dragons.","Arc millénaire brandi par Lorelai, qui a tué Duros, le roi des dragons."
Heartseeker,Perce-Cœur
A bow enchanted with unknown dark energies whose arrows are extremely deadly.,Un arc enchanté par des énergies sombres inconnues dont les flèches sont extrêmement mortelles.
Obsidian Arquebus,Arquebuse d'obsidienne
"Specialized firearm developed from the exotic material, obsidian.","Arme à feu spécialisée développée à partir d'obsidienne, un matériau exotique."
Donari Staff,Bâton long Donari
Standard issue enchanted staff wielded by the Sisterhood of Mercy.,Bâton enchanté standard utilisé par la Sororité de la Miséricorde.
Blood Staff,Bâton long de sang
A weapon that draws upon the wielder's own life force to grant them incredible magic power.,Une arme qui puise dans la force vitale de celui qui la manie pour lui conférer une incroyable puissance magique.
Apprentice Spellbook,Livre de sorts de l'apprenti
Standard issue magical guidebook wielded by Imperial Academy war mages.,Guide magique standard utilisé par les mages de guerre de l'Académie impériale.
Grandmaster Spellbook,Livre de sorts de grand maître
Decades of study allows a war mage to understand the powerful techniques within this book.,Des décennies d'études permettent à un mage de guerre de comprendre les puissantes techniques contenues dans ce livre.
Auraweave Cloak,Cape en Tisse-Aura
"An exsquisite cloak made from Auraweave, silk imbued with magic.","Une cape exquise fabriquée en Tisse-Aura, une soie imprégnée de magie."
Cyrene's Regalia,Uniforme de Cyrène
The divinely-enchanted uniform of the Avatar of Compassion.,L'uniforme divinement enchanté de l'Avatar de la Compassion.
Sergeant's Uniform,Uniforme de sergent
Imperial Academy officer's uniform.,Uniforme d'officier de l'Académie impériale.
Officer's Regalia,Insignes d'officier
Higher echelons of Imperial military officers are granted this familiar uniform.,Les officiers supérieurs de l'armée impériale portent cet uniforme familier.
Scout's Gear,Équipement d'éclaireur
Standard issue Imperial Light Infantry battle gear.,Équipement de combat standard de l'infanterie légère impériale.
Guerilla Armor,Armure de guérilla
"Rugged leather armor of an ancient Barek Tor design, optimal for jungle combat.","Armure en cuir robuste d'une conception ancienne de Barek Tor, optimale pour le combat dans la jungle."
Shinobi Gi,Shinobi Gi
The garb of a master of the Caladori Arts allowing the wielder to dodge many incoming attacks.,La tenue d'un maître des Arts Caladori permet à celui qui la porte d'esquiver de nombreuses attaques.
Blademaster's Armor,Armure de Maître des lames
Mastercraft lamellar-plated armor from the new extinct Caladori civilization that occupied what is now known as Western Sayunaa.,Une armure lamellaire fabriquée par un maître artisan provenant de la civilisation nouvellement éteinte Caladori qui occupait ce qui est maintenant connu comme l'ouest de Sayunaa.
Landis's Mirage,Mirage de Landis
"Divine cloak of the master of Guile, Saint Landis.","Manteau divin du maître de la ruse, Saint Landis."
Steel Plate Armor,Armure en plaques d'acier
Standard issue Imperial Heavy Infantry battle gear.,Équipement de combat standard de l'infanterie lourde impériale.
Donari Armor,Armure Donari
Battle armor worn by the order of Donari Paladins for centuries.,Une armure de combat portée depuis des siècles par l'ordre des Paladins de Donar.
Dragonscale Armor,Armure en écailles de dragon
A steel full-plate battle armor adorned with the armored scales of a defeated dragon. ,"Une armure de combat complète en acier, ornée des écailles d'un dragon vaincu. "
Imperial Battle Armor,Armure de combat impériale
Modern design of steel heavy armor worn by elite Veridian warriors. ,Modèle moderne d'armure lourde en acier portée par les guerriers d'élite de Veridian. 
Obsidian Plate Armor,Armure de plaques d'obsidienne
"Full plate armor made from obsidian. Cumbersome, but offers incredible protection.","Une armure complète en obsidienne. Encombrante, mais elle offre une protection incroyable."
St. Teresa's Tiara,Diadème de Sainte Thérèse
"Tiara of Saint Teresa, one of the great heroes of the events surrounding the succession crisis of the last Veridian Emperor of House Krauser.","Diadème de Sainte Thérèse, l'une des grandes héroïnes des événements entourant la crise de succession du dernier empereur de Veridian de la maison Krauser."
Hulking Pavise ,Pavois massif 
"A recently-created, large wall of steel designed to attempt to deflect the bullets from Firearms.",Une grande plaque en acier conçue pour tenter de dévier les balles des armes à feu.
Aldor's Tower Shield,Bouclier de la tour d'Aldor
Massive shield made from obsidian. Was gifted to the Duke of Rimorgue before the times of the Aetherium Crisis.,Un bouclier massif en obsidienne. A été donné au Duc de Rimorgue avant la crise de l'Aetherium.
St. Teresa's Bulwark,Rempart de Sainte Thérèse
"Shield of Saint Teresa, one of the great heroes of the events surrounding the succession crisis of the last Veridian Emperor of House Krauser.","Le bouclier de Sainte Thérèse, l'une des grandes héroïnes des événements entourant la crise de succession du dernier empereur de Veridian de la maison Krauser."
Skull of Rowdain,Crâne de Rowdain
"Long thought forgotten, this millennia-old artifact bears the latent energy of a powerful necromancer who once terrorized Tahnra.","Longtemps considéré comme oublié, cet artefact millénaire porte l'énergie latente d'un puissant nécromancien qui a autrefois terrorisé Tahnra."
Puffin Feather Amulet,Amulette en plumes de macareux
"Amulet made from the venerated Puffin, a mainstay of Tahnra's fauna.","Une amulette fabriquée à partir du vénérable macareux, un pilier de la faune de Tahnra."
Ruby Ring,Bague en rubis
Ring with a simple strength enchantment.,Une bague avec un enchantement de force simple.
Emerald Ring,Bague en émeraude
Ring with a simple skill enchantment.,Une bague avec un enchantement de compétence simple.
Sapphire Ring,Bague en saphir
Ring with a simple magic enchantment.,Une bague avec un simple enchantement magique.
Ribbon,Ruban
Several of these were created by an eccentric wizard. They protect the wearer from the binding effects of the Siren and the Sorceress's magic.,Plusieurs d'entre eux ont été créés par un magicien excentrique. Ils protègent le porteur des effets contraignants de la magie de la Sirène et de la Sorcière.
Kesh's Toolkit,Outil de Kesh
The Barek Tor War Chieftain Eskandar's special grappling hook crafted for him personally by Grandmaster Kesh.,"Le grappin spécial d'Eskandar, le chef de guerre de Barek Tor, fabriqué pour lui personnellement par le Grand Maître Kesh."
Noisy Cricket,Grillon chanteur
The sound given off by these extraordinary creatures is indescribably irritating...,Le son émis par ces créatures extraordinaires est indescriptiblement irritant...
Boots of Tyranny,Bottes de tyrannie
"Enchanted boots that drains the spirit of the user, while granting them incredible stamina.","Bottes enchantées qui drainent l'esprit de l'utilisateur, tout en lui accordant une incroyable endurance."
Imperial War Banner,Bannière de la guerre impériale
"The Imperial blue flag adorned with the likeness of Adorimetra, Queen of the Golden Dragon Brood, is known the world over.","Le drapeau bleu impérial orné de l'effigie d'Adorimetra, reine de la couvée du dragon d'or, est connu dans le monde entier."
Everlasting Potion,Potion éternelle
A treasure of unknown origin. Highly sought after for its incredible ability to replenish itself over some time.,Un trésor d'origine inconnue. Très recherchée pour son incroyable capacité à se reconstituer au fil du temps.
Jade Figurine,Figurine en jade
"Find one of these, and the fortunes of war will turn to your favor.","Trouvez-en une, et le sort de la guerre tournera en votre faveur."
Iblis Family Signet,Signet de la famille Iblis
"The Iblis family has a legendary history and a far-reaching impact on Tahnra, having offered the world many great warriors of days past.","La famille Iblis a une histoire légendaire et un impact considérable sur Tahnra, ayant offert au monde de nombreux grands guerriers des temps passés."
Donar's Treatise of War,Traité de guerre de Donar
One of the few ancient divine documents written in Common Veridian that all may understand its secrets.,L'un des rares documents divins anciens écrits en véridien commun afin que tous puissent en comprendre les secrets.
Soha's Blood Shard,Éclat de sang de Soha
Fragment of a mysterious crystal shard of unfathomable power. No one has possessed it and lived.,Fragment d'un mystérieux cristal d'une puissance insondable. Personne ne l'a eu entre ses mains et survécu.
Landis's Fixed Dice,Dé pipé de Landis
"The Divine Avatar of Justice created his own luck at every turn, though it earned him a suspicious reputation.","L'Avatar Divin de la Justice était toujours chanceux aux dés, ce qui lui a valu une réputation suspecte."
Genbu Shell Fragment,Fragment de carapace de Genbu
"A lone turtle, who inadvertedly consumed a piece of an Aetherium Shard, was transformed into a massive and powerful beast known today as Genbu. The pieces of his shell are priceless.","Une tortue solitaire, qui a consommé par inadvertance un morceau d'un éclat d'Aetherium, a été transformée en une bête massive et puissante connue aujourd'hui sous le nom de Genbu. Les morceaux de sa carapace sont inestimables."
Temporal Modulator,Modulateur temporel
A legendary treasure that has remained a mainstay of adventurer's desires for millenia. Has unique control over the flow of time.,Un trésor légendaire qui reste un pilier des désirs des aventuriers depuis des millénaires. A un contrôle unique sur le flux du temps.
Black Belt,Ceinture noire
Adorned with faded engraving about an ancient Arena Champion.,Ornée d'une gravure délavée à propos d'un ancien champion d'arène.
Cloak of Cunning,Cape de ruse
Equal the playing field against speedy foes with this masterfully-woven cloak.,Égalisez le terrain de jeu contre les ennemis rapides avec cette cape tissée d'une main de maître.
Essence of Embor,Essence d'Embor
Magical charm that captures the bitter cold of the Emborian Tundra.,Un charme magique qui capture le froid glacial de la toundra d'Embor.
Belinda's Field Kit,Trousse de fournitures de Belinda
The well-organized medical supply kit originally curated by a legendary Priestess of times past.,"La trousse de fournitures médicales bien organisée, conçue à l'origine par une prêtresse légendaire des temps passés."
Signet of Wrath,Signet de la colère
"The encapsulated power of the ancient demon of sin, Wrath.",La colère est le pouvoir enfermé de l'ancien démon du péché.
Firewalker Boots,Bottes de marcheur de feu
Boots specifically designed for Obsidian miners braving the lava tubes of Mt. Karnac.,Bottes spécialement conçues pour les mineurs d'obsidienne bravant les flots de lave du Mont Karnac.
Shadowchaser Boots,Bottes de chasseur d'ombre
"Enchanted Boots worn by the notorious assassin, Kuroda.",Des bottes enchantées portées par le célèbre assassin Kuroda.
Gilded Clover,Trèfle doré
What DOES Lucky do?!,Quel coup de chance !
Mercurial Shoes,Chaussures de Mercure
It's like walking on a cloud.,C'est comme marcher sur un nuage.
Caladori Charm,Charme de Caladori
The Grandmaster always had a delightful sense of humor!,Le Grand Maître a toujours eu un délicieux sens de l'humour !
Fitch Farm Rancher Hat,Chapeau de la ferme des Fitch
Ain't no one who can handle 'em like old Barnabas!,Seul le vieux Barnabas sait y faire !
Grothnor Lich's Skull,Crâne de la liche Grothnor
Decent people shouldn't think about how one gets one of these things.,Les gens décents ne devraient pas penser à la façon dont on obtient une de ces choses.
Spencer's Spectacles,Lunettes de Spencer
Technologically-advanced relic of a bygone era with unknown mechanical properties.,"Relique d'une époque révolue, technologiquement avancée, aux propriétés mécaniques inconnues."
Aetherium Gemstone,Pierre d'Aetherium
"A piece of the Arc Donarium's inner core, salvaged recently and nearly priceless.","Un morceau du noyau interne de l'Arc Donarium, récemment récupéré et presque inestimable."
Sunset Bay Theatre Mask,Masque du théâtre de la Baie du Couchant
Ceremonial mask worn by the elusive Tidereaver sect in a remote pirate colony known as Sunset Bay.,Masque cérémoniel porté par la secte insaisissable des Brise-vagues dans une colonie pirate isolée connue sous le nom de la Baie du Couchant.
Unequip,Déséquiper
Unequip the current artifact.,Déséquiper l'artefact actuel.
Empty,Vide
Select to equip an item.,Sélectionner pour équiper un élément.
Locked,Verrouillé
Locked.  Unlock Adept Artificer tech to unlock.,Verrouillé.  Débloquez la technologie de l'Artificier Adepte pour débloquer.
Locked.  Unlock Journeyman Artificer tech to unlock.,Verrouillé.  Débloquez la technologie de l'Artificier Aguerri pour débloquer.
Ace of Spaces,As de Pique
An indestructible card that defies age and time.,Une carte indestructible qui a traversé les âges.
Warfarer's Boots,Bottes de Guerrier
Shuffle becomes a free action,Échanger devient une action gratuite
Duelist's Contract,Contrat de Duelliste
All units on both teams get +1 attack at 1 range,Toutes les unités des deux équipes reçoivent +1 à l’attaque à 1 de portée
Do-It-Yourself Bandage,Bandage Maison
Map heals are a free action,Les soins de carte sont une action gratuite
Emperor's Missive,Missive de l’Empereur
Tier 1 Units take 50% damage,Les Unités de Rang 1 subissent 50% de dégâts
Donari Charm,Charme Donari
2 additional Map Heal charges,2 charges de Soins de Carte supplémentaires
Commoner's Goblet,Gobelet de Roturier
Non-story squad leaders only,Uniquement pour les meneurs d’escouade ne faisant pas partie de l’histoire
Can only be equipped on Squads not lead by story characters,Peut uniquement être équipé par des Escouades dont les meneurs ne font pas partie de l’histoire
Tailored Great Helm,Grand Heaume Sur Mesure
2 additional Armor per unit archetype in Squad,2 Armures additionnelles par archétype d’unité dans l’Escouade
Thorny Charm,Charme Épineux
Every Unit in Squad will resist 1 status effect per combat,Chaque Unité dans l’Escouade peut résister à 1 effet d’état par combat
