ENGLISH,GERMAN
"Squads move on the Tactical Map at your command. When first selecting a Squad, you will be given the option to move them to a tile within their movement range.\\PARSquads can attack before OR after moving, but if a Squad attacks, its turn is automatically over. The exception is Cavalry Squads, who can move after attacking.","Trupps bewegen sich auf der Karte, wenn du es befiehlst. Wenn du einen Trupp auswählst, hast du die Option, ihn auf ein Feld innerhalb seiner Bewegungsreichweite zu bewegen.\\PARTrupps können sofort angreifen oder sich zuerst bewegen, aber sobald ein Trupp angreift, endet sein Zug automatisch. Kavallerietrupps sind hier die Ausnahme und können sich nach dem Angriff noch einmal bewegen."
Settlements,Siedlungen
"Villages, Towns, Castles, and Palaces are Settlements. When captured, these grant you Faction XP and Gold.","Dörfer, Städte, Burgen und Paläste zählen alle als Siedlungen. Wenn du sie eroberst, erhältst du Fraktions-EP und Gold."
Mines,Minen
"Provides resources, including Iron, Gems, Gold, Obsidian, Pyrocite, and Sunstone.","Diese gewähren Ressourcen wie Eisen, Edelsteine, Gold, Obsidian, Pyrozit und Sonnensteine."
Bases,Basen
"Powerful defense bonuses for the gate defender. If one enemy Squad lands on the entrance tile to your Home Base, you will be defeated. Can usually Deploy squads mid-mission from Home Base. -10% damage taken from all attacks to a squad on the Base tile. -40% additional damage taken from range 2+ attacks.","Basen bieten dem Verteidiger an ihrem Tor starke Defensivboni. Wenn ein feindlicher Trupp das Eingangsfeld deiner Heimatbasis betritt, bist du besiegt. Du kannst meistens während der Mission Trupps von der Heimatbasis ausrücken lassen. Trupps auf dem Basisfeld erleiden 10 % weniger Schaden durch Angriffe und 40 % weniger Schaden durch Angriffe aus min. 2 Feldern Entfernung."
Forts,Forts
Grants a bonus to high ground and evasion to the defender. -10% damage taken from all attacks to a squad on the Fort tile.,Gewähren dem Verteidiger einen Bonus für höhere Position und Ausweichen. Trupps auf einem Fort-Feld erleiden 10 % weniger Schaden durch Angriffe.
Forests,Dichter Wald
Rough Terrain. Ambushable Terrain. Provides a 50% evasion bonus against range2+ archery attacks.,Unwegsames Gelände. Ermöglicht Angriffe aus dem Hinterhalt. Gewährt einen Ausweichen-Bonus von 50 % gegen Bogenschützenangriffe aus min. 2 Feldern Entfernung.
Hills,Hügel
Rough Terrain. Ambushable Terrain. High Ground.,Unwegsames Gelände. Ermöglicht Angriffe aus dem Hinterhalt. Gewährt höhere Position.
Allies (Green Army),Verbündete (grüne Armee)
"Allied Squads will appear in Green on the Tactical Map. Allies move on their own, and will be fighting against the same enemy as you. They cannot attack you, and you cannot attack them.",Verbündete Trupps werden auf der Karte in Grün angezeigt. Verbündete bewegen sich eigenständig und bekämpfen dieselben Gegner wie du. Sie können dich nicht angreifen und umgekehrt.
Roads,Straßen
Open Terrain. Provides a tile movement bonus.,Offenes Gelände. Gewähren einen Bewegungsbonus.
Walls,Mauern
Special defense Terrain. Provides high ground. Defense bonus vs Squads not on a Wall. Blocks melee attacks from the ground and blocks tile map movement. Can be traversed via a Ramp.,"Besonderes Gelände für die Abwehr. Gewähren höhere Position. Gewähren einen Verteidigungsbonus gegenüber Trupps, die nicht auf einer Mauer stehen. Blockieren Nahkampfangriffe vom Boden aus sowie Bewegung über diese Felder auf der Karte. Sind über eine Rampe zugänglich."
Cavalry,Kavallerie
"If the majority of a Squad's Capacity cost is from Cavalry unit types, it becomes a Cavalry Squad.\\PARCavalry Squads can move faster in 'Open' terrain, and can move after attacking. In the Tactics tech tree, Cavalry can learn how to perform a 'Charge Attack' when moving a large number of tiles in the same turn, and both attacker and defender are in Open Terrain.\\PARCavalry units are all vulnerable to Polearm users, or Hussars, an advanced Light Cavalry Class.'Hit and Run' is a feature of Normal Cavalry and Light Cavalry Squad Types. After taking an action such as attacking or healing, a Cavalry Squad can then move again using half of their original total Movement Points.","Wenn mehr als die Hälfte der ausgereizten Kapazität eines Trupps von Kavallerieeinheiten kommt, ist es ein Kavallerietrupp.\\PARKavallerietrupps können sich auf offenem Gelände schneller bewegen und sich nach dem Angriff bewegen. Im Technologiebaum für Taktiken kannst du einen „Sturmangriff“ für Kavallerie erlernen, den die Einheit ausführt, wenn sie im selben Zug eine hohe Anzahl Felder durchquert und sich Angreifer sowie Verteidiger auf offenem Gelände befinden.\\PARKavallerieeinheiten sind alle durch Stangenwaffenträger angreifbar, sowie durch Husaren, eine fortgeschrittene leichte Kavallerieklasse. Normale und leichte Kavallerietrupps können Überfälle ausführen, also nach dem Angriff flüchten. Nach einer Aktion wie Angreifen oder Heilen kann der Kavallerietrupp sich um die Hälfte seiner ursprünglichen Bewegungspunkte bewegen."
Stables,Stall
Provides War Horse resources when captured.,"Gewährt Pferde als Ressourcen, wenn du ihn eroberst."
Donari Temples,Donari-Tempel
"Visit a Temple to refresh out-of-battle heals, and revive defeated allies, for a gold fee.","Besuche einen Tempel, um gegen Gold die Heilungen außerhalb des Kampfs zurückzusetzen oder gefallene Verbündete wiederzubeleben."
Conscripts and Mercenaries,Freiwillige und Söldner
"Conscripts are fresh, untrained recruits that are cheap and unlimited. Mercenaries are strong, but expensive, and not as loyal to your cause, but often come with their own gear and special traits.\\PARConscripts are the first 4 slots in the recruiting pool in the Home Base market.","Freiwillige sind neue, untrainierte Rekruten, die kostengünstig und in unbegrenzter Anzahl zu haben sind. Söldner sind stark, aber teuer, und fühlen sich deiner Sache nicht im selben Maße verpflichtet. Oft bringen sie aber eigene Ausrüstung und besondere Eigenschaften mit.\\PARDie ersten 4 Plätze des Rekrutenangebots auf dem Marktplatz der Heimatbasis sind von Freiwilligen belegt."
Artifacts,Artefakte
Artifacts modify the entire Squad. Effects can be positive or negative. Up to 3 Artifacts can be equipped on a Squad with full technology.,Artefakte wirken sich auf den gesamten Trupp aus. Ihre Effekte können positiv oder negativ sein. Mit der entsprechenden Technologie kann ein Trupp mit bis zu 3 Artefakten ausgerüstet werden.
Stealth,Schleichangriffe
"Assassins, Rogues, and Stefan's unit Classes are able to execute Stealth attacks. A Stealth attack is achieved when attacking as one of these Classes.\\PARWhen Stealth attacking, your attacks automatically target the back of the enemy formation.\\PAROn defense, these classes attack normally.","Assassinen, Schurken und die Klassen von Stefans Einheit können Schleichangriffe ausführen. Ein Schleichangriff wird ausgeführt, wenn eine dieser Klassen angreift.\\PARBei Schleichangriffen wird automatisch die Rückseite der gegnerischen Formation angegriffen.\\PARIn der Defensive greifen diese Klassen ganz normal an."
Zanatus,Zanatus
"The demonic being who dominated humanity over 1000 years ago. Is the antithesis of Donar in every way. Origins still unknown, but the best translations and accounts can be summarized in a way that paints Zanatus as something not of this world. Something disturbingly unfamiliar to Donar's creation. Defeated in battle by the Avatar of Donar when stabbed through the heart with the holy blade, Lightfury.","Das dämonische Wesen, das vor mehr als 1000 Jahren über die Menschheit herrschte. Er ist in jeglicher Hinsicht der Gegenpol zu Donar. Seine Herkunft ist nicht geklärt, aber die besten Übersetzungen und Überlieferungen weisen darauf hin, dass Zanatus nicht aus dieser Welt stammt. Für Donars Geschöpfe ist er etwas verstörend Fremdartiges. Er wurde von der Inkarnation Donars durch einen Stich ins Herz mit der geheiligten Klinge Lichtzorn im Kampf besiegt."
Battle of Mount Ptolomea,Schlacht auf dem Ptolomäa
"Date: Year 0\\PARThe confrontation between Zanatus and the five Nephilim, The Avatar of Donar, Galzus, Landis, Cyrene, and Ishtar. Just before this battle, the Avatar of Donar had lead a resistance effort to attempt to liberate Humanity from Zanatus's tyranny. In the final, desperate moments before ultimate defeat, the five experienced a divine intervention, infusing them with godlike power, divine weapons, and changed them from human to Nephilim by blood. Zanatus was ill-prepared for this, and the Nephilim destroyed the demon with a final blow from Lightfury. Zanatus's armies, who relied completely on the demon's singular leadership, fled in disarray, allowing humanity to break its shackles and win its salvation. Thereafter, the Donari Temple was founded, and the Nephilim canonized as gods.","Zeitpunkt: Jahr 0\\PARDer Kampf zwischen Zanatus und den fünf Nephilim: Den Inkarnationen Donars, Galzus’, Landis’, Cyrenes und Ishtars. Unmittelbar vor dieser Schlacht hatte die Inkarnation Donars Widerstandskämpfer angeführt, um die Menschheit von Zanatus’ Tyrannei zu befreien. In den letzten Augenblicken vor einer vernichtenden Niederlage erlebten die verzweifelten fünf ein göttliches Eingreifen. Sie wurden mit gottgleicher Macht erfüllt, erhielten göttliche Waffen und durch ihre Adern strömte nun Nephilim- statt Menschenblut. Dies konnte Zanatus nicht vorhersehen. Die Nephilim vernichteten den Dämon mit einem letzten Hieb des Schwerts Lichtzorn. Zanatus’ Heer war auf die Führung des Dämons angewiesen, wurde ins Chaos gestürzt und ergriff die Flucht. Die Menschen konnten ihre Fesseln sprengen und zu ihrer Rettung finden. Danach wurde der Donari-Tempel gegründet und die Nephilim wurden als Götter verehrt."
Donar,Donar
"The creator of Tahnra and all things. Nature unknown, but is the being from which all of the Donari Temple's beliefs evolved. Believed to reside in a higher dimension commonly referred to as the ''Divine Realm''. Thought to have only made its presence known in the mortal realm once, during the intervention against Zanatus, but this is not confirmed. Donar's power has been infused into the divine weapons, and in the bloodline of the Nephilim. Commonly confused with the Avatar of Donar, who is often referred to simply as Donar. In the Temple scriptures, very little distinction is made between the mortal Nephilim who defeated Zanatus, and the creator god of all things. The Avatar of Donar represents the virtue of Truth, and the element of Light.","Der Schöpfer Tahnras und aller Dinge. Sein Wesen ist unergründlich, doch aus ihm gehen alle Lehren des Donari-Tempels hervor. Man geht davon aus, dass er in einer anderen Dimension weilt, die gemeinhin als das „Himmelsreich“ bezeichnet wird. Ein einziges Mal soll er sich in der Welt der Sterblichen gezeigt haben – als er im Kampf gegen Zanatus einschritt. Das weiß aber niemand sicher. Donars Macht wurde auf die göttlichen Waffen und die Blutlinie der Nephilim übertragen. Er wird bisweilen mit der Inkarnation Donars verwechselt, da diese auch oft nur als „Donar“ bezeichnet wird. In den Schriften des Tempels wird kaum zwischen dem sterblichen Nephilim, der Zanatus besiegte, und dem Gott und Schöpfer aller Dinge unterschieden. Die Inkarnation Donars steht für die Tugend der Wahrheit und das Element Licht."
"Lightfury, Sword of Donar","Lichtzorn, Schwert Donars"
"Of course the divine weapon of the Avatar of Donar. However, this weapon seems unique among the other divine weapons. Lightfury has existed in Tahnra long before the Battle of Mount Ptolomea. Scholars and theologians have thrown around many beliefs and theories about Lightfury. The prevailing wisdom is that Lightfury is as old as Tahnra itself, and is the personal tool of Donar... his primary way of manifesting in the mortal realm wherever it is needed.","Dies ist natürlich die göttliche Waffe der Inkarnation Donars. Sie scheint sich jedoch von den anderen göttlichen Waffen auf besondere Weise zu unterscheiden. Lichtzorn existierte in Tahnra schon lange vor der Schlacht auf dem Ptolomäa. Gelehrte und Theologen haben diverse Überzeugungen und Theorien zu Lichtzorn. Gemeinhin glaubt man, dass Lichtzorn so alt ist wie Tahnra selbst und ein Werkzeug Donars darstellt … Eines, das er primär nutzt, um sich in der Welt der Sterblichen zu manifestieren, wenn es nötig ist."
Morale,Moral
"Morale is a Squad's fighting spirit. Player Morale, when high, has a chance to trigger extra turns in combat. Player Morale, when low, decreases attack power significantly.\\PAREnemy Morale, when high, increases attack power significantly, Enemy Morale, when low, decreases attack power significantly, and increases the chance they will willfully Surrender.\\PARMorale is mostly affected by battle victories, but can also be increased through relationships, and traits. Morale can be hurt via combat defeats, especially if the Squad leader falls.","Die Moral steht für den Kampfgeist eines Trupps. Bei Spielereinheiten mit hoher Moral besteht eine Chance, dass sie im Kampf zusätzliche Male zum Zug kommen. Die Angriffskraft von Spielereinheiten mit niedriger Moral ist deutlich verringert.\\PARGegnerische Einheiten mit hoher Moral haben eine deutlich erhöhte Angriffskraft. Bei niedriger Moral hingegen ist ihre Angriffskraft deutlich verringert und die Chance steigt, dass sie sich freiwillig ergeben.\\PARDie Moral wird hauptsächlich von Siegen im Kampf beeinflusst, aber auch durch Beziehungen und Eigenschaften. Niederlagen im Kampf können die Moral senken, vor allem, wenn der Anführer des Trupps fällt."
Weather,Wetter
"Storm and Blizzards will render Gunners, Dragoons, and Cannons unable to fire, unless you have the 'Breech-Loading Rifle' technology.\\PARHeat Wave can happen in Desert Climates, and causes significant Morale damage to unsheltered squads, unless your Squad is equipped with the 'Desert Warrior' trait.\\PARAll types of Weather have an effect on units depending on their Affinity - see the Quick Reference Guide for Affinity.","Bei einem Sturm oder Schneesturm können Gewehrschützen, Dragoner und Kanoniere nicht feuern – es sei denn, du verfügst über die Technologie „Hinterlader“.\\PARIn Wüstengebieten können Hitzewellen auftreten. Diese senken die Moral von Trupps außerhalb einer Zuflucht deutlich, wenn sie nicht über die Eigenschaft „Wüstenkrieger“ verfügen.\\PARSämtliche Arten von Wetter wirken sich abhängig von der jeweiligen Affinität auf Einheiten aus. Im Kompendium kannst du mehr über Affinitäten nachlesen."
Bazaars,Basare
Bazaars are tents found on the tactical map. Sells Mercenaries and Artifacts higher in quality and rarity than you can purchase at the Home Base.,"Basare sind als Zelte auf der Karte zu finden. Hier werden Söldner und Artefakte verkauft, die höherwertiger und seltener sind als die, die du in der Heimatbasis kaufen kannst."
Tidereaver Pirates,Piraten der Gezeitenräuber
"A massive, multi-layered organization of outlaws, warlords, raiders, assassins, extortionists, and slave traders who have connections to many government officials world wide.","Eine groß aufgestellte Organisation aus Gesetzlosen, Kriegsfürsten, Räubern, Assassinen, Erpressern und Sklavenhändlern, die in vielen Regierungen auf der ganzen Welt Verbündete haben."
The Barek Tor,Barek Tor
"One of the major sapient species of Tahnra outside of the Human realms. Mostly bipedal humanoids who have retained the advantages and drawbacks of their feline ancestors. They boast exceptional agility, night vision, and the ability to dominate the forest landscape far better than Humans. They mostly reside in their home island of Sinarra, a land utterly dominated by the deep jungle.","Eines der Völker Tahnras, die nicht aus der Menschenwelt stammen. Sie sind zweibeinige Humanoiden, die die Vorteile und Nachteile ihrer katzenartigen Vorfahren behalten haben. Sie sind enorm beweglich, können im Dunkeln sehen und kommen im Wald deutlich besser zurecht als Menschen. Der Großteil von ihnen lebt auf ihrer Heimatinsel Sinarra, die von dichtem Dschungel überwuchert ist."
Historium Magnus,Historium Magnus
"The divine book written after the Battle of Mount Ptolomea, codifying the founding of the Donari Temple. It contains a recounting of the events of the war with Zanatus, the Nephilim and Donar's influence, and of the building of the new Temple and human empires that followed the victory over Zanatus. It is written in a language that has long been nearly extinct.","Ein geheiligtes Buch, das nach der Schlacht auf dem Ptolomäa verfasst wurde und die Gründung des Donari-Tempels festhält. Es beschreibt den Krieg gegen Zanatus, die Nephilim und Donars Einfluss sowie den Bau des neuen Tempels und die Entstehung der Menschenreiche nach dem Sieg über Zanatus. Die Sprache, in der es verfasst ist, ist schon seit Langem so gut wie ausgestorben."
Veridian Civil War,Der veridianische Bürgerkrieg
"Date: Year 997\\PARLocation: Southern Veridia Province\\PARBelligerents: The West comprised of the Duchy of Isanter and the Donari Temple, The East comprised of the Duchy of Rimorgue and the Central Imperial government.\\PARResult: Annihilation of the West and the Duchy of Rimorgue, ascent of the Empire of Archaelus and Emperor Casamir\\PARTerritory changes: The lands of the Donari Temple, Duchy of Rimorgue, and the Duchy of Isanter completely dismanted and absorbed into the Empire of Archaelus\\PARCasualties: 11,000 military deaths","Zeitpunkt: Jahr 997\\PAROrt: Südliche Provinz Veridia\\PARParteien: Der Westen, also das Herzogtum Isanter und der Donari-Tempel, und der Osten, also das Herzogtum Rimorgue und die zentrale Regierung des Kaisers.\\PARErgebnis: Vernichtung des Westens und des Herzogtums Rimorgue und Aufstieg des Kaiserreichs Archaelus unter Kaiser Casamir\\PARGebietsänderungen: Der Donari-Tempel, das Herzogtum Rimorgue und das Herzogtum Isanter wurden komplett zerschlagen und vom Kaiserreich Archaelus geschluckt\\PARTote: 11.000 Soldaten"
Hand of Zanatus,Hand des Zanatus
"The fully-armored and heavily-armed champion who was unleashed to destroy the Lemelin Monastery. He possesses superhuman strength and magical power, as well as the Blade of Destruction, Balmung, which he wields with unsurpassed skill.","Der in schwere Rüstung gehüllte und bis an die Zähne bewaffnete Streiter, der das Lemelin-Kloster zerstören sollte. Er verfügt über übermenschliche Kraft und magische Fähigkeiten sowie Balmung, die Klinge der Zerstörung, die er mit unvergleichlichem Können führt."
Treasures,Schätze
"By walking any Squad on top of a Treasure on the map, we will automatically open the chest, yielding Gold, Resources, or Equipment. There is no need to execute an extra command, simply walk right on top of it.","Wenn ein Trupp auf der Karte ein Feld mit einem Schatz betritt, öffnet er die Truhe automatisch und du erhältst Gold, Ressourcen oder Ausrüstung. Du musst keinen gesonderten Befehl geben – bewege dich einfach auf das Feld mit dem Schatz."
Empire of Archaelus,Kaiserreich Archaelus
"The current hegemon of the Human world, ruled by Emperor Casamir. Archaelus directly controls all of Veridia and Sandraka nations, and imposes its will over Sayunaa which has become a vassal state. Derives its name from the original Human hegemony that followed the Battle of Mount Ptolomea, which was the first significant Human empire in Tahnra.",Die derzeit vorherrschende Fraktion der Menschenwelt. An der Spitze steht Kaiser Casamir. Archaelus kontrolliert die Nationen Veridia und Sandraka direkt und erlegt dem Vasallenstaat Sayunaa seinen Willen auf. Sein Name stammt von der vorherrschenden Menschennation nach der Schlacht auf dem Ptolomäa – dem ersten großen Menschenreich in Tahnra.
Mount Ptolomea,Ptolomäa
"The tallest mountain in the Human realm, which lies at the heart of the massive mountain ranges separating Veridia from Sayunaa. Pathways to this mountain are far too treacherous for travel by foot, other than one path painstakingly carved out over decades, which is tightly-controlled - its only outlet is to the Imperial Palace at Armitage.\\PARMount Ptolomea was the location of the last stand of humanity in the war against Zanatus, the location of Donar's miracle. Today, atop the summit lies the physical portal to the Divine Realm, which has not budged since its brief opening which allowed the power of Donar to flow into the mortal realm.","Der höchste Berg der Menschenwelt. Er liegt mitten in dem enormen Gebirge, das Veridia von Sayunaa trennt. Die Wege auf diesen Berg sind viel zu gefährlich, um ihn zu Fuß zu besteigen. Es gibt nur einen möglichen Zugang, der im Lauf von Jahrzehnten mühsam geschaffen wurde und streng kontrolliert wird – er endet am Kaiserpalast in Armitage.\\PARDer Ptolomäa war der Ort des letzten Gefechts der Menschheit im Krieg gegen Zanatus. Hier geschah das Wunder Donars. Heute befindet sich ein Portal in das Himmelsreich auf dem Gipfel. Es öffnete sich einst kurz, damit Donars Macht in die Welt der Sterblichen strömen konnte, bleibt aber seitdem fest verschlossen."
Nephilim Battlefield Powers,Kampfkräfte der Nephilim
"Battlefield skills that can be used at any time, independent of the move/attack turn cycle of our Squads. These powers are charged by the actions and events of the battle, such as dealing or taking damage, time passing, and other triggers.\\PARGalzus's power, Exemplar, reduces damage to one squad by %50, and provokes enemies to attack that squad for one turn. Accumulate this power by taking damage.\\PARLandis's Power, Teleport, teleports one squad up to 5 tiles away without spending movement points or using that squad's turn. Accumulate this power with movement that results in an attack in the same turn.\\PARIshtar's Power, Terror, greatly demoralizes Squads in a 3x3 area of effect. This power accumulates naturally over time.\\PARCyrene's power, Meteor, lands a meteor on a plus-shaped area of effect that damages all units in that squad. Cannot target enemies on Fort or Base tiles. Cannot exceed 50% of MaxHP depleted. Accumulate this power by dealing damage.\\PARDonar's power, Blessing, instantly refreshes one squad that has already spent their movement and/or attack, allowing another full action cycle in the same player phase. Accumulate this power as a sum of all four other Nephilim powers.\\PARTo use, access the ''Powers'' section of the main menu, as pictured above.","Dies sind Kräfte, die jederzeit unabhängig vom Bewegungs-/Angriffszyklus unserer Trupps verwendet werden können. Sie werden durch Aktionen und Ereignisse im Kampf aufgeladen, etwa dem Verursachen oder Erleiden von Schaden oder mit der Zeit.\\PARGalzus’ Kraft „Glaubensritter“ verringert den erlittenen Schaden eines Trupps für eine Runde um 50 % und verspottet Gegner, sodass sie in dieser Zeit diesen Trupp angreifen. Diese Kraft lädt sich auf, wenn du Schaden erleidest.\\PARLandis’ Kraft „Teleportation“ teleportiert einen Trupp um bis zu 5 Felder, ohne dass er dafür Bewegungspunkte verbrauchen oder seinen Zug verwenden muss. Diese Kraft lädt sich auf, wenn Trupps sich bewegen und dann innerhalb desselben Zugs angreifen.\\PARIshtars Kraft „Schrecken“ demoralisiert Trupps innerhalb eines Effektbereichs von 3 x 3 Feldern stark. Diese Kraft lädt sich allmählich mit der Zeit auf.\\PARCyrenes Kraft „Meteor“ lässt einen Meteor auf einen kreuzförmigen Effektbereich herabgehen, der allen Einheiten in diesem Bereich Schaden zufügt. Kann keine Gegner auf Festungs- oder Basisfeldern angreifen. Kann Gegner nicht unter 50 % der max. LP bringen. Diese Kraft lädt sich auf, wenn du Schaden verursachst.\\PARDonars Kraft „Segen“ setzt den Zug eines Trupps, der seine Bewegung oder seinen Angriff bereits ausgeführt hat, zurück und ermöglicht dir so einen weiteren Aktionszyklus in derselben Spielerphase. Diese Kraft lädt sich als Summe der anderen vier Nephilimkräfte auf.\\PARDu setzt diese Kräfte ein, indem du im Hauptmenü „Kräfte“ auswählst, wie oben gezeigt."
Tech Tree,Technologiebaum
