Change to,Ändern:
Increased Unit Capacity cost past 5 Units in a Squad,Erhöhte Kosten für die Einheitenkapazität ab 5 Einheiten in einem Trupp
No Resource Exchange in Home Bases,Kein Ressourcentausch in Heimatbasen
Enemies more clever and ruthless,Feinde sind cleverer und rücksichtsloser
Enemy Cavalry Squads can move after attacking,Feindliche Kavallerie-Trupps können sich nach einem Angriff bewegen
In-Battle healing effect decreased,Heilungseffekt während des Kampfes verringert
Increased Artifact Capacity cost,Erhöhte Artefakt-Kapazitätskosten
Attack power scales more slowly as stats increase,"Die Angriffskraft skaliert langsamer, je weiter die Werte steigen"
Rate of decreased magic and healing efficacy with repeated use in the same Phase.,Rate der Verminderung von Magie- und Heilungseffektivität bei wiederholtem Einsatz in derselben Phase.
Gunner volleys separated by row.,Geschützsalven durch Reihe getrennt.
Adjust shop prices.,Ladenpreise anpassen.
Thank you for purchasing the Legends DLC! The New Game+ options on this page require a Clear Save to carry over your previous army. Clear Chapter 30 in the main quest and create a Clear Save after the ending credits to enable!,Danke dass du den Legenden-DLC gekauft hast! Die Option Neues Spiel+ auf dieser Seite erfordert einen Durchspiel-Speicherstand damit du deine bisherige Armee übernehmen kannst. Gewinne Kapitel 30 der Haupthandlung und erstelle einen Durchspiel-Speicherstand nach dem Abspann um sie zu aktivieren!
