"The Eastern forces are off balance. Time to take the fight to their turf. Their main base of operations lies ahead, at Fort Eureeka.","Wir haben den Streitkräften des Ostens einen empfindlichen Schlag verpasst. Zeit, sie in ihrem Gebiet anzugreifen. Ihre Hauptbasis liegt vor uns, im Fort Eureeka."
"Fort Eureeka, Year 997","Fort Eureeka, Jahr 997"
Chapter 12: Upheaval,Kapitel 12: Aufstand
"We've taken Fort Eureeka, but the Eastern forces remain steadfast. Man the defenses at Fort Eureeka and prepare for the battle of our lives.","Wir haben Fort Eureeka eingenommen, aber die Streitkräfte des Ostens bleiben standhaft. Wir müssen die Verteidigungsposten von Fort Eureeka besetzen und uns auf den Kampf unseres Lebens gefasst machen."
"Rimorgue River Valley, Year 997","Flusstal von Rimorgue, Jahr 997"
Chapter 13: Conquest,Kapitel 13: Eroberung
Casamir has no business leading armies. Let us show him how it is done. Conquer Rimorgue and crush the resistance at Stormrook.,"Casamir hat keine Ahnung davon, wie man Armeen anführt. Zeigen wir ihm einmal, wie das geht. Erobert Rimorgue und zerschlagt den Widerstand in Sturmbroch."
"Westerfield Keep, Year 999","Westerfeld, Jahr 999"
"Chapter 14: Paladin, Undaunted",Kapitel 14: Unerschrockener Paladin
"Diana's Rebellion has stormed Westerfield Keep, a child detention facility. Wipe out the defenders and free the prisoners.","Dianas Rebellion hat die Burg Westerfeld gestürmt, ein Gefängnis für Kinder. Vernichtet die Verteidiger und befreit die Gefangenen."
"Outside Westerfield, year 999","In der Nähe von Westerfeld, Jahr 999"
Chapter 15: Westerfield Escape,Kapitel 15: Flucht aus Westerfeld
"We've freed the children, but overwhelming reinforcements have arrived. We must cross the river and arrive safely at Centurion's Rest before we are overtaken.","Wir haben die Kinder befreit, aber Verstärkung ist eingetroffen, die uns haushoch überlegen ist. Wir müssen den Fluss überqueren und in Zenturios Rast Zuflucht suchen, bevor wir überrannt werden."
"Centurion's Rest, Year 999","Zenturios Rast, Jahr 999"
Chapter 16: Desperation,Kapitel 16: Verzweiflung
"We cannot ignore the Nephilim Prophecy any longer. Break into the Imperial Palace via its rear sally port, clearing the way to Mount Ptolomea.",Wir können die Prophezeiung der Nephilim nicht länger ignorieren. Brecht über das Ausfallstor hinten in den Kaiserpalast ein und macht den Weg auf den Ptolomäa frei.
"Rebel Front Base, Year 999","Vorposten der Rebellen, Jahr 999"
Chapter 17: Coaxing the Divine,Kapitel 17: Beschwörung des Göttlichen
"The enemy has taken great measures to prevent access to the path to Mount Ptolomea. We must shatter their magical barrier, allowing Diana free passage to her destiny.","Der Feind hat sich große Mühe gegeben, den Weg zum Ptolomäa zu versperren. Wir müssen die magische Barriere zerstören, damit Diana ihre Bestimmung erreichen kann."
Chapter 18: Emborian Dawn,Kapitel 18: Embor erwacht
"The Avatar of Donar has returned to Tahnra, signaling the true beginning of the Nephilim Army. Our first objective is to liberate the far north lands of Embor.","Die Inkarnation Donars ist nach Tahnra zurückgekehrt, sodass jetzt die wahre Armee der Nephilim entsteht. Als Erstes müssen wir das weit im Norden gelegene Land Embor befreien."
"Embor, Year 999","Embor, Jahr 999"
Chapter 19: Return to Eastwall,Kapitel 19: Rückkehr nach Ostwall
"Lysander has managed to establish a stronghold in Eastwall Fortress, but faces overwhelming odds. We must reinforce his army and reunite with our companions.","Lysander konnte die Festung Ostwall sichern, steht aber einer feindlichen Überzahl gegenüber. Wir müssen unsere Kameraden wiederfinden und zu seiner Armee stoßen."
Chapter 20: Wild Card,Kapitel 20: Das Unbekannte
The Historium Magnus has been stolen! We know the thief has fled to the active volcano at Mount Karnac.,"Das Historium Magnus wurde gestohlen! Wir wissen, dass der Dieb zum Karnac, einem aktiven Vulkan, geflohen ist."
"Nephilim Base near Sandraka, Year 999","Basis der Nephilim in der Nähe von Sandraka, Jahr 999"
Chapter 21: Liberating Sandraka,Kapitel 21: Die Befreiung Sandrakas
"We have established a strongpoint on the Sandraka continent. If we can seize the large city of Crestmoor, we will strike a critical blow to Casamir's grip on the South.","Wir haben jetzt ein Bollwerk auf dem Kontinent Sandraka. Wenn wir die Großstadt Krastenmoor erobern können, beherrscht Casamir den Süden nicht länger."
"Greywind Peak, Year 999","Grauwindgipfel, Jahr 999"
Chapter 22: Greywind Peak,Kapitel 22: Der Grauwindgipfel
"Greywind Peak stands before us, and within it, Diana's destiny as a fully-realized Nephilim warrior.","Der Grauwindgipfel liegt vor uns, und damit auch Dianas Bestimmung als voll manifestierte Nephilimkriegerin."
"Nephilim Army Sayunaa Front Base, Year 999","Vorposten der Armee der Nephilim in Sayunaa, Jahr 999"
Chapter 23: Unwise Alliance,Kapitel 23: Unkluges Bündnis
"The Kingdom of Sayunaa has subjugated itself to Casamir to avoid war, and has disposed of their own monarchs. We must try to rein in the Sayunaari, by any means necessary.","Das Königreich Sayunaa hat sich Casamir unterworfen, um einen Krieg zu vermeiden, und die eigenen Monarchen abgesetzt. Wir müssen den Sayunaarern um jeden Preis Einhalt gebieten."
"Ezrum, Year 999","Ezrum, Jahr 999"
Chapter 24: Scorched Sands,Kapitel 24: Versengte Sande
"The Sayunaari have thrown in completely for Casamir, and against us. We must try to salvage the situation. By reducing their warmaking ability, we may demoralize them enough to call for peace.","Die Sayunaarer stehen nun komplett auf Casamirs Seite und sind uns feindselig gesinnt. Wir müssen diese Situation irgendwie retten. Wenn wir ihre Streitkräfte zerschlagen, demoralisiert sie das vielleicht genug, um einen Frieden zu akzeptieren."
"Fort Dakur, Year 999","Fort Dakur, Jahr 999"
Chapter 25: Kingdom of Gold,Kapitel 25: Königreich des Goldes
"The golden city of Sayunaa's capital lies before us. Regent Lord Cyrus stands defiant, throwing many unwilling Sayunaari into battle. May Donar bring this war to an end soon.","Sayunaas goldene Hauptstadt liegt vor uns. Fürst Cyrus, der Regent, trotzt uns und schickt viele Sayunaarer gegen ihren Willen in den Kampf. Möge Donar diesem Krieg schnell ein Ende setzen."
"Nephilim Army Front Base outside Stormrook, Year 999","Vorposten der Armee der Nephilim bei Sturmbroch, Jahr 999"
Chapter 26: Stormrook Looms,Kapitel 26: Im Schatten Sturmbrochs
"With Sayunaa and its resources on our side, our army has grown powerful. We now face a massive clash in the Rimorgue River Valley. If we can conquer Stormrook and Rimorgue, Casamir is doomed.","Nachdem Sayunaa und seine Ressourcen nun auf unserer Seite sind, ist unsere Armee mächtig geworden. Eine große Schlacht im Flusstal von Rimorgue steht bevor. Wenn wir Sturmbroch und Rimorgue erobern können, ist das Casamirs Untergang."
"Nephilim Army Front Base at Armitage, Year 999","Vorposten der Armee der Nephilim in Armitage, Jahr 999"
Chapter 27: Return to the Origin,Kapitel 27: Rückkehr zum Ursprung
"Casamir refuses to surrender despite obvious defeat. As we move to conquer Armitage, we must consider the lives of the Imperial soldiers whose morale is broken and are desperate for peace.","Casamir weigert sich trotz seiner eindeutigen Niederlage, zu kapitulieren. Bei der Eroberung Armitages müssen wir an die Leben der kaiserlichen Soldaten denken, die demoralisiert sind und sich nach Frieden sehnen."
"Armitage Base, Year 999","Basis in Armitage, Jahr 999"
Chapter 28: Downfall,Kapitel 28: Untergang
"The enemy has holed himself up in the Imperial Palace. The Followers of Zanatus have mobilized their most deadly forces. Have no mercy for the cultists, or Casamir.",Der Feind hat sich im Kaiserpalast verschanzt. Die Anhänger Zanatus’ haben ihre tödlichsten Kämpfer mobilisiert. Zeigt den Kultisten und Casamir keine Gnade.
"Imperial Palace, Year 999","Kaiserpalast, Jahr 999"
Chapter 29: Zenith of the World,Kapitel 29: Gipfel der Welt
"The Avatar of Donar is but a few steps from full realization, and the remnants of the Followers of Zanatus are the last barrier in our way. We soon face the cult Grandmaster...","Die Inkarnation Donars steht kurz davor, vollkommen manifestiert zu sein. Die verbleibenden Anhänger Zanatus’ sind die letzte Hürde auf unserem Weg. Bald müssen wir es mit dem Großmeister des Kults aufnehmen …"
"Gateway at Mount Ptolomea, Year 999","Portal am Ptolomäa, Jahr 999"
Chapter 30: Armageddon,Kapitel 30: Armageddon
All of the seals between the Divine Realm and the Mortal Realm are now broken. Armageddon has again come to Tahnra. Destroying Zanatus is the only way to avoid total annihilation.,"Alle Siegel zwischen dem Himmelsreich und der Welt der Sterblichen wurden nun gebrochen. Tahnra steht erneut vor dem Weltuntergang. Wir können ihn nur verhindern, indem wir Zanatus vernichten."
Gaiden Chapter A: Unrelenting Ambition,"Gaiden, Kapitel A: Unablässiges Streben"
"Sybil's recklessness has thrown us into a melee with the Imperial forces at the Felnamia provice. We must both save Sybil, and seize Felnamia.",Sybils Leichtsinn hat uns einen Kampf gegen die kaiserlichen Streitkräfte in der Provinz Felnamia eingebracht. Wir müssen Sybil retten und Felnamia erobern.
Gaiden Chapter B: Dragon's Haven,"Gaiden, Kapitel B: Drachenzuflucht"
"The enemy has sought to monopolize war Dragons by annihilating broods not within their control. Azuros, an ancient monarch, could be a powerful ally if we can intercept the Imperial attackers in time.","Der Feind sucht sämtliche Kriegsdrachen zu beherrschen, indem er nicht von ihm kontrollierte Bruten auslöscht. Wenn wir die kaiserlichen Angreifer rechtzeitig abfangen, könnte der uralte Monarch Azuros ein mächtiger Verbündeter werden."
Gaiden Chapter C: No Mercy for the Merciful,"Gaiden, Kapitel C: Keine Gnade für die Gnädigen"
We have located one of the largest child detention complexes in the world. This evil cannot be allowed to continue. Wipe out the enemy completely.,Wir haben eines der größten Kindergefängnisse auf der Welt ausfindig gemacht. Diesen Verbrechen müssen wir ein Ende setzen. Vernichtet den Feind vollständig.
Gaiden Chapter D: Clockwork City,"Gaiden, Kapitel D: Uhrwerkstadt"
Casamir has always had an abundance of firearms and cannons at his disposal. It's time to break into their Pyrocite stores in Sandraka City and take this advantage for ourselves.,"Casamir hatte schon immer eine Menge Feuerwaffen und Kanonen in seinem Arsenal. Es wird Zeit, dass wir in die Pyrozitlager der Stadt Sandraka einbrechen und dies zu unserem Vorteil machen."
Gaiden Chapter E: Ishtar's Lament,"Gaiden, Kapitel E: Ishtars Klage"
"I can't shake this feeling, it is familiar, but unsettling...",Ich werde dieses vertraute und doch verstörende Gefühl nicht los …
Bronze Arena,Arena (Bronze)
Silver Arena,Arena (Silber)
Gold Arena,Arena (Gold)
Platinum Arena,Arena (Platin)
Endurance Trial,Ausdauerprüfung
Legends 1A: Promise of Peace,Legenden 1A: Versprochener Frieden
Florina Iblis's claim to the Imperial throne brings hopes for the end to the Succession War. But surely the claim will be contested...,Durch Florina Iblis’ Anspruch auf den Thron zeichnet sich ein Ende des Thronfolgekriegs am Horizont ab. Doch dieser Anspruch wird auf Widerstand stoßen …
Legends 1B: Defend the Claim,Legenden 1B: Den Anspruch verteidigen
The pretenders to the throne have launched a final desperate bid to stop Florina's coronation. Defend Imperial territory from invasion!,"Die Thronräuber haben einen letzten, verzweifelten Angriff gestartet, um Florinas Krönung zu verhindern. Schützt das kaiserliche Hoheitsgebiet vor diesen Eindringlingen!"
Legends 2: Barek Tor,Legenden 2: Barek Tor
,
Legends 3A: Whispers from Grothnor,Legenden 3A: Geflüster aus Grottnor
Fort Rittenbach has claimed another scout party... missing without explanation. Duke Jaromir mobilizes his army to personally investigate.,"Ein weiterer Spähertrupp ist in Fort Rittenbach verloren gegangen … aus ungeklärten Gründen. Herzog Jaromir mobilisiert seine Armee, um das persönlich zu untersuchen."
Legends 3B: Life and Unlife,Legenden 3B: Leben und Jenseits
"Grothnor's undead hordes have reached as far as Embor, and the other nobles refuse to help. Defend Embor at all costs!","Die untoten Horden Grottnors sind bis nach Embor gelangt, und die anderen Adligen verweigern ihre Hilfe. Verteidigt Embor um jeden Preis!"
Legends 4: Pendergast's Folly,Legenden 4: Pendergasts Torheit
Legends 5: Shadowchaser,Legenden 5: Schattenjäger
Legends 6: Queen of Dragons,Legenden 6: Drachenkönigin
"Azuros has left suddenly. Scouts report a rival brood, controlled by the Archaelus Empire, has threatened Azuros's hidden brood hive.",Azuros ist plötzlich verschwunden. Spähern zufolge bedroht eine vom Kaiserreich Archaelus kontrollierte Brut seine verborgenen Nester.
Grassland,Grasland
Ramp,Rampe
Cliffs,Klippen
Hazard,Gefahr
Lava Cave,Lavahöhle
High Ground,Erhöhte Position
Ladder,Leiter
Road,Straße
Bridge,Brücke
Dungeon,Verlies
Shadows,Schatten
Ambush Trench,Graben für Hinterhalte
Industrial,Fabrik
Tower,Turm
Throne,Thron
Divine Realm,Himmelsreich
Hills,Hügel
Plains,Ebene
Wheat Field,Weizenfeld
Town,Stadt
Wall,Mauer
Desert,Wüste
Snow,Schnee
Woods,Wald
Forest,Dichter Wald
Water,Wasser
Swamp,Sumpf
Ship,Schiff
Sky,Himmel
Mountains,Gebirge
Mine,Mine
Stables,Stall
Fort,Festung
Base,Basis
Temple,Tempel
Village,Dorf
Bazaar,Basar
Slow,Langsam
Light,Leicht
Infantry,Infanterie
Cavalry,Kavallerie
Flying,Fliegend
Clear,Sonnig
Cloudy,Wolken
Overcast,Bewölkt
Rainy,Regen
Storm,Sturm
Snowy,Schnee
Blizzard,Schneesturm
Indoors,Drinnen
Stormy,Stürmisch
Heat Wave,Hitzewelle
"Ah, there you are, child of destiny. You've arrived\NEWLINE  at a very opportune time, you will find.","Ah, da seid Ihr ja, Kind des Schicksals. Ihr werdet feststellen, dass Ihr\NEWLINE genau zur richtigen Zeit kommt."
"Let me look into your heart. Who are you? Will your\NEWLINE  journey be marked by virtue, or will this land's people\NEWLINE  remember you as an adversary?","Lasst mich in Euer Herz blicken. Wer seid Ihr? Werdet Ihr\NEWLINE einen tugendhaften Weg beschreiten, oder wird das Volk dieses Landes\NEWLINE Euch als Feind wahrnehmen?"
"Thank you. What an intriguing soul! Go, and I will\NEWLINE  see you here again when the time is right.","Ich danke Euch. Welch eine faszinierende Seele. Geht nun, und ich werde Euch\NEWLINE zur rechten Zeit wieder hier sehen."
"Go forth, and leave your mark on this world!","Geht, und bewirkt etwas in dieser Welt!"
Which form suits you?,Welche Gestalt passt zu Euch?
Please tell me your name.,Bitte sagt mir Euren Namen.
So you have chosen...,Ihr seid also …
Yes,Ja
No,Nein
"When on death's door, what will you consider a life well-lived?","Was wird Euch wichtig sein, wenn Ihr Euer Leben auf dem Sterbebett überdenkt?"
I did it all my way,Dass ich mir treu geblieben bin
I fulfilled who I was meant to be,Dass ich meine Bestimmung erfüllt habe
Many will mourn my passing,Dass viele um mich trauern werden
"A desperate beggar corners you, demanding money.\NEWLINEWhat do you do?",Ein verzweifelter Bettler bedrängt Euch und will Geld.\NEWLINEWie reagiert Ihr?
Intimidate him into backing down.,"Ihm drohen, bis er mich in Ruhe lässt"
Talk your way out of the situation.,Mich durch kluge Worte aus der Situation lavieren
Offer him a warm meal at the local pub.,Ihm ein warmes Essen im Gasthaus anbieten
What is the most important trait a leader should have?,Was ist die wichtigste Eigenschaft eines Anführers?
The ability to bring people together,Menschen zusammenzubringen
An unshakeable love for the people,Eine unerschütterliche Liebe zu anderen Menschen
The power to command respect and fear,Respekt und Furcht einzuflößen
What most leads to the downfall of great civilizations?,Was führt am häufigsten zum Untergang einer Zivilisation?
Faithlessness,Unglaube
Poverty,Armut
Intolerance,Intoleranz
"You were blessed with a child. \NEWLINEIf you could choose their fate, what would it be?","Ihr werdet mit einem Kind gesegnet. \NEWLINEWas wird aus ihm, wenn Ihr es entscheiden könnt?"
A famous musician,Ein berühmter Musiker
A great general,Ein großer General
A devout follower of the faith,Ein frommer Gläubiger
What do you look for most in a mate?,Was wünscht Ihr Euch von einem Partner oder einer Partnerin?
Beauty,Attraktivität
Wealth and Prestige,Reichtum und Ansehen
Intellect,Intelligenz
"As a potential ruler in difficult times, \NEWLINEwhat are your most effective tools?","Was hilft Euch am ehesten weiter, \NEWLINEwenn Ihr in schwierigen Zeiten herrscht?"
Your kind heart,Mein gütiges Herz
Your inspiring charisma,"Mein Charisma, das andere inspiriert"
Fear,Furcht
Which personal flaw do you want to avoid most?,Welche Charakterschwäche wollt Ihr auf gar keinen Fall aufweisen?
Deceptive and exploitative,Andere zu täuschen und auszunutzen
Easily manipulated,Leicht manipulierbar sein
Lack of Willpower,Mangelnde Willenskraft
You must give up your most valuable possession. \NEWLINEWhat is it?,Ihr müsst Euren kostbarsten Besitz aufgeben. \NEWLINEWorum handelt es sich?
Your vast wealth,Um meinen enormen Reichtum
Your battle prowess,Um meine Kampfkünste
Your faith,Um meinen Glauben
"Allows us to access the Bronze Arena from Home Base, then the Token is consumed. The Bronze Arena takes place in a Temperate climate, offers a low challenge, and modest rewards.",Ermöglicht uns den Zutritt zur Arena (Bronze) von der Heimatbasis aus. Die Marke wird dabei verbraucht. Die Arena (Bronze) hat ein gemäßigtes Klima und bietet eine geringe Herausforderung sowie mäßige Belohnungen.
"Allows us to access the Silver Arena from Home Base, then the Token is consumed. The Silver Arena takes place in a Tundra climate, offers a medium challenge, and good rewards.",Ermöglicht uns den Zutritt zur Arena (Silber) von der Heimatbasis aus. Die Marke wird dabei verbraucht. Die Arena (Silber) liegt in einer Tundra und bietet eine mittlere Herausforderung sowie gute Belohnungen.
"Allows us to access the Gold Arena from Home Base, then the Token is consumed. The Gold Arena takes place in a Desert climate, offers a high challenge, and excellent rewards.",Ermöglicht uns den Zutritt zur Arena (Gold) von der Heimatbasis aus. Die Marke wird dabei verbraucht. Die Arena (Gold) liegt in einer Wüste und bietet eine anspruchsvolle Herausforderung sowie ausgezeichnete Belohnungen.
"Allows us to access the Platinum Arena from Home Base, then the Token is consumed. The Platinum Arena takes place in a Temperate climate, offers the greatest challenge, and incredible rewards.",Ermöglicht uns den Zutritt zur Arena (Platin) von der Heimatbasis aus. Die Marke wird dabei verbraucht. Die Arena (Platin) hat ein gemäßigtes Klima und bietet die ultimative Herausforderung sowie sagenhafte Belohnungen.
"To embrace your destiny, and become who you are, is life's greatest purpose.","Der wahre Sinn des Lebens liegt darin, Eure Bestimmung zu erfüllen und Euer wahres Ich zu erkennen."
"Used to unlock a huge amount of classes. Required for all Heavy Infantry and Heavy Cavalry, as well as many high-end Light Infantry and Cavalry, Archery, and Firearms units.","Wird zur Freischaltung vieler Klassen verwendet. Erforderlich für sämtliche schwere Infanterie- und Kavallerieeinheiten sowie viele fortschrittliche leichte Infanterie-, Kavallerie, Bogenschützen- und Feuerwaffeneinheiten."
"Used to unlock high-end attackers. Required for Champion, Centurion, Knight, Assassin, Warbow, and Swordmaster.","Wird zur Freischaltung fortschrittlicher Angreifer verwendet. Erforderlich für Recken, Zenturionen, Ritter, Assassinen, Bogenkrieger und Schwertmeisterinnen."
"Used for high-end Mage and Support units. Required for Paladin, Valkyrie, Fire Mage, Lightning Mage, Ice Mage, Sorceress, and Templar.","Wird für fortschrittliche Zauberwirker- und Unterstützungseinheiten verwendet. Erforderlich für Paladine, Walküren, Feuermagier, Blitzmagier, Eismagier, Zauberinnen und Templerinnen."
"Used as a baseline resource for all Magicians, as well as Priestess, Templar, and Hospitaller.","Wird als Grundressource für alle Zauberwirker sowie Priesterinnen, Templerinnen und Professritterin verwendet."
"Used to create Firearms. Required for Gunner, Dragoon, and Siege Cannon.","Wird zur Konstruktion von Feuerwaffen verwendet. Erforderlich für Gewehrschützen, Dragoner und Kanoniere."
Required for all forms of Cavalry.,Erforderlich für alle Arten Kavallerie.
Gain a small amount of gold per fallen enemy defeated in any combat,Gewährt eine geringe Menge Gold für jeden im Kampf besiegten Gegner.
Defensive bonuses from Terrain are 50% more effective,Defensivboni durch das Gelände sind 50 % wirksamer.
Deal 20% more and take 20% less damage if Covering the Squad Leader,"Die Einheit verursacht 20 % mehr Schaden und erleidet 20 % weniger Schaden, wenn sie den Anführer deckt."
Unit deals +25% damage for every incapacitated Unit in this Squad,Die Einheit verursacht pro kampfunfähiger Einheit in diesem Trupp 25 % mehr Schaden.
"Deal damage to enemy Morale, increases as STR increases","Schadet der gegnerischen Moral, wird mit der STÄ wirksamer."
This unit is more likely to be targeted by enemies in battle,Diese Einheit wird von Gegnern im Kampf eher anvisiert.
Unit is less likely to be targeted by enemies in battle,Diese Einheit wird von Gegnern im Kampf eher nicht anvisiert.
Unit takes 25% less damage when under 50% Max HP,Bei weniger als 50 % der max. LP erleidet die Einheit 25 % weniger Schaden.
Enemies cannot Critical Hit this Unit,Gegner können diese Einheit nicht kritisch treffen.
Critical hits bypass 100% of target armor,Kritische Treffer umgehen 100 % der Rüstung des Ziels.
Critical damage increased by 50%,Erhöht den kritischen Schaden um 50 %.
Archery units in this Squad cost 2 less capacity,Bogenschützeneinheiten in diesem Trupp kosten 2 Kapazität weniger.
Heavy Infantry units in this Squad cost 2 less capacity,Schwere Infanterieeinheiten in diesem Trupp kosten 2 Kapazität weniger.
Heavy Cavalry units in this Squad cost 2 less capacity,Schwere Kavallerieeinheiten in diesem Trupp kosten 2 Kapazität weniger.
"Unit can no longer Critical Hit, but deals +15% damage","Die Einheit kann nicht mehr kritisch treffen, verursacht aber 15 % mehr Schaden."
"Unit has a chance, based on SKL, to prevent its primary target from counter-attacking in the same battle","Die Einheit hat eine von der FER abhängige Chance, einen Konter ihres Primärziels zu verhindern."
Bonuses to Hit confer a partial bonus to critical hit chance (max: 15%),Boni für die Trefferrate gelten teilweise auch für die kritische Trefferchance (max. 15%).
Dealing Critical Hits restore a small amount of HP,Verursachte kritische Treffer stellen eine geringe Menge LP wieder her.
"Any Archery attacks from this unit will ignore the penalty for firing at Walls, or Woods from 2+ Range",Bogenangriffe dieser Einheit ignorieren den Malus bei Zielen auf Mauern oder (bei Entfernung von min. 2) in Wäldern.
Unit does +50% more damage to Dragons.,Die Einheit fügt Drachen 50 % mehr Schaden zu.
Unit gains resistance to Magician and Dragon attacks as STR increases,Die Einheit erhält Resistenz gegen Angriffe von Zauberwirkern und Drachen und ihre STÄ ist erhöht.
Gain +3 STR at the start of battle for every Unit in the enemy Squad,Gewährt pro Einheit im gegnerischen Trupp zu Beginn des Kampfes +3 STÄ.
Unit has a chance for an extra action for every enemy below 25% HP at the end of combat,Die Einheit hat zu Kampfende pro gegnerischer Einheit unter 25 % LP eine Chance auf eine zusätzliche Aktion.
"When being healed, the effect is increased by 50%","Wenn die Einheit geheilt wird, ist der Effekt um 50 % wirksamer."
+25% damage to already damaged enemies,Die Einheit fügt bereits verletzten Gegnern 25 % mehr Schaden zu.
"When an ally is healed, this unit is also healed for 25% of the effect","Wenn ein Verbündeter geheilt wird, erhält diese Einheit zusätzlich 25 % der Heilung."
"At the start of battle, gain a barrier equal to 50% of MAG",Gewährt zu Kampfbeginn eine Barriere in Höhe von 50 % des MAG-Werts.
Gain STR equal to 25% of MAG,Gewährt STÄ in Höhe von 25 % der MAG.
Gain SKL equal to 33% of MAG,Gewährt FER in Höhe von 33 % der MAG.
Gain MaxHP equal to 100% of MAG,Erhöht die max. LP um 100 % der MAG.
Deal +25% damage while on defense,Verursacht in der Defensive 25 % mehr Schaden.
Unit has a chance to take another action in battle based on lower %HP remaining,"Die Einheit hat eine Chance auf eine zusätzliche Aktion im Kampf, die mit sinkenden LP steigt."
"Once per Chapter, this unit will survive an enemy turn that would otherwise be fatal",Die Einheit überlebt einmal pro Kapitel einen ansonsten tödlichen gegnerischen Zug.
"Unit does +50% more damage to Rogues, Assassins, and Magician units","Die Einheit fügt Schurken, Assassinen und Zauberwirkern 50 % mehr Schaden zu."
Firearms units in this Squad cost 2 less capacity,Feuerwaffeneinheiten in diesem Trupp kosten 2 Kapazität weniger.
Restore a small amount of HP when an enemy unit is killed in combat,"Stellt eine geringe Menge LP wieder her, wenn eine gegnerische Einheit im Kampf getötet wird."
"When this Squad uses Forced Surrender, Enemy Units are more likely to Surrender","Erhöht die Wahrscheinlichkeit einer Kapitulation, wenn der Trupp eine Kapitulation erzwingt."
Increased drop chance when destroying or forcing the surrender of enemy Squads,Erhöhte Chance auf Beute bei Vernichtung oder Kapitulation gegnerischer Trupps.
"Squad is immune to negative effects of Blizzard weather, and gains bonus evasion in Blizzard and Snow",Der Trupp ist immun gegen die negativen Effekte eines Schneesturms und sein Ausweichen ist bei Schnee oder Schneesturm erhöht.
Squad is immune to Heat Wave and Desert movement penalty,Der Trupp ist immun gegen Hitzewellen und den Bewegungsmalus von Wüsten.
