ENGLISH,GERMAN
A legendary treasure that has remained a mainstay of adventurer's desires for millenia. Has unique control over the flow of time.,"Ein sagenhafter Schatz, nach dem Abenteurer bereits seit Jahrtausenden trachten. Nur mit ihm vermag man es, Kontrolle über die Zeit zu erlangen."
Black Belt,Schwarzer Gürtel
Adorned with faded engraving about an ancient Arena Champion.,"Er ist mit einer verblichenen Gravur verziert, die von einem uralten Arenastreiter handelt."
Cloak of Cunning,Umhang der Arglist
Equal the playing field against speedy foes with this masterfully-woven cloak.,Mit diesem meisterhaft gewebten Umhang kannst du deine Nachteile gegen blitzschnelle Gegner wieder wettmachen.
Essence of Embor,Essenz von Embor
Magical charm that captures the bitter cold of the Emborian Tundra.,"Ein magisches Amulett, das die Eiseskälte der emborischen Tundra eingefangen hat."
Belinda's Field Kit,Belindas Marschgepäck
The well-organized medical supply kit originally curated by a legendary Priestess of times past.,Diese gut organisierte Sammlung an Heilutensilien hat wurde von einer sagenhaften Prinzessin vergangener Zeiten zusammengestellt.
Signet of Wrath,Siegel von Grimm
"The encapsulated power of the ancient demon of sin, Wrath.","Die verborgene Macht des uralten Dämons der Sünde, Grimm."
Firewalker Boots,Feuerläufer-Stiefel
Boots specifically designed for Obsidian miners braving the lava tubes of Mt. Karnac.,"Stiefel, die eigens für die Arbeiter in den Obsidianminen entworfen wurden, um der Hitze in den Lavahöhlen des Karnac zu trotzen."
Shadowchaser Boots,Schattenjäger-Stiefel
"Enchanted Boots worn by the notorious assassin, Kuroda.","Verzauberte Stiefel, die vom berüchtigten Assassinen Kuroda getragen wurden."
Gilded Clover,Vergoldeter Klee
What DOES Lucky do?!,Was all dieses Glück wohl bedeutet?!
Mercurial Shoes,Lebhafte Schuhe
It's like walking on a cloud.,"Es ist, als würde man auf einer Wolke laufen."
Caladori Charm,Caladori-Amulett
The Grandmaster always had a delightful sense of humor!,Der Großmeister hatte schon immer einen köstlichen Sinn für Humor!
Fitch Farm Rancher Hat,Fitch-Viehzüchterhut
Ain't no one who can handle 'em like old Barnabas!,"Keiner hat sie besser im Griff als der gute, alte Barnabas!"
Grothnor Lich's Skull,Grottnor-Leichenschädel
Decent people shouldn't think about how one gets one of these things.,Anständige Leute sollten hiervon lieber die Finger lassen.
Spencer's Spectacles,Spencers Brille
Technologically-advanced relic of a bygone era with unknown mechanical properties.,Ein technisch fortgeschrittenes Relikt eines vergangenen Zeitalters mit unbekannten mechanischen Eigenschaften.
Aetherium Gemstone,Aitherium-Edelstein
"A piece of the Arc Donarium's inner core, salvaged recently and nearly priceless.","Ein Teil des inneren Kerns des Arkus von Donarium, das kürzlich geborgen wurde und einen unschätzbaren Wert besitzt."
Sunset Bay Theatre Mask,Maske der Abendröte
Ceremonial mask worn by the elusive Tidereaver sect in a remote pirate colony known as Sunset Bay.,"Eine zeremonielle Maske, die von den trügerischen Gezeitenräubern in einer fernen Piratenkolonie namens Abendrötebucht getragen wurde."
Unequip,Ablegen
Unequip the current artifact.,Das aktuelle Artefakt ablegen.
Empty,Leer
Select to equip an item.,"Wählen, um einen Gegenstand anzulegen."
Locked,Gesperrt
Locked.  Unlock Adept Artificer tech to unlock.,Gesperrt.  Zum Freischalten Technologie des Werkmeisterexperten freischalten.
Locked.  Unlock Journeyman Artificer tech to unlock.,Gesperrt.  Zum Freischalten Technologie des Werkmeistergesellen freischalten.
Ace of Spaces,Raum-As
An indestructible card that defies age and time.,"Eine unverwüstliche Karte, der die Zeit nichts anhaben kann."
Warfarer's Boots,Kriegstreiber-Stiefel
Shuffle becomes a free action,Platz tauschen wird zur Zusatzaktion.
Duelist's Contract,Vertrag des Duellanten
All units on both teams get +1 attack at 1 range,Alle Einheiten beider Teams erhalten +1 Angriff und Reichweite.
Do-It-Yourself Bandage,Verband zum Selbstanlegen
Map heals are a free action,Heilen auf der Karte wird zur Zusatzaktion.
Emperor's Missive,Schrieb des Kaisers
Tier 1 Units take 50% damage,Einheiten der Stufe 1 erleiden 50 % mehr Schaden.
Donari Charm,Donari-Amulett
2 additional Map Heal charges,2 zusätzliche Heilungen auf der Karte.
Commoner's Goblet,Kelch des Bürgers
Non-story squad leaders only,Nur für gewöhnliche Truppanführer.
Can only be equipped on Squads not lead by story characters,Nur von Trupps mit nicht handlungsrevelanten Anführern ausrüstbar.
Tailored Great Helm,Passgenauer Topfhelm
2 additional Armor per unit archetype in Squad,Zwei Rüstung zusätzlich pro Einheiten-Archetyp in Trupp.
Thorny Charm,Dorniges Amulett
Every Unit in Squad will resist 1 status effect per combat,Jede Einheit im Trupp widersteht pro Kampf 1 Statuseffekt.
