ENGLISH,PORTUGUÊS (BRASIL)
Somewhat commonly-found gemstones that are required in most magicraft.,Gemas comumente encontradas que são necessárias na maioria das fabricações mágicas.
Pyrocite,Pirocita
"The most precious resource of our time. This highly unstable ore has been useless until recently. Now, we can harness its explosive power.",O recurso mais precioso de nossa época. Este é um minério altamente instável que era inútil até pouco tempo atrás. Agora podemos explorar seu poder explosivo.
Horses,Cavalos
Specially-bred war horses large and brave enough to enter the flames of battle.,Cavalos criados especificamente para guerra que são valentes o suficiente para adentrar as chamas da batalha.
Tech Points,Tecnopontos
Donari Chronicle,Crônica Donari
"Used by Squad Leaders only to simulate defeating an enemy squad of 6 equal level units,
granting XP and CP, as well as LDR and Loyalty progress to the whole squad.","Usado por líderes de esquadrões para simular derrotar um esquadrão inimigo de 6 unidades de nível iguais,
concedendo EXP e PC, bem como LID e aumento de lealdade a todo o esquadrão."
Mint Leaves of Magic,Folhas de hortelã da magia
Used to increase a Unit's MAG by a small amount.,Usadas para aumentar um pouco a MAG da unidade.
Roast Beef of Might,Carne assada da força
Used to increase a Unit's STR by a small amount.,Usada para aumentar um pouco a FOR da unidade.
Apple of Agility,Maçã da agilidade
Used to increase a Unit's SKL by a small amount.,Usada para aumentar um pouco a HAB da unidade.
Salmon of Health,Salmão do vigor
Used to increase a Unit's MaxHP by a small amount.,Usado para aumentar um pouco o PV Máx. da unidade.
Medal of Valor,Medalha de valor
"Increase a unit's LDR by +3 up to 50, +2 up to 60, +1 up to 70, cannot be used on a Unit with 70+ LDR.","Aumenta da LID da unidade em +3 até 50, +2 até 60, +1 até 70. Não pode ser usada em uma unidade com mais de 70 de LID."
Affinity: Earth,Afinidade: Terra
"Change a unit's Affinity to Earth. Stats will change retroactively. ++HP, -SKL","Muda a afinidade de uma unidade para Terra. As estatísticas mudarão retroativamente. ++PV, -HAB"
Affinity: Water,Afinidade: Água
"Change a unit's Affinity to Water. Stats will change retroactively. +HP, -STR, -SKL, + MAG","Muda a afinidade de uma unidade para Água. As estatísticas mudarão retroativamente. +PV, -FOR, -HAB, +MAG"
Affinity: Lightning,Afinidade: Trovão
"Change a unit's Affinity to Lightning. Stats will change retroactively. -HP, +STR, +SKL, -Loyalty","Muda a afinidade de uma unidade para Trovão. As estatísticas mudarão retroativamente. -PV, +FOR, +HAB, -Lealdade"
Affinity: Fire,Afinidade: Fogo
"Change a unit's Affinity to Fire. Stats will change retroactively. +STR, -MAG, +Loyalty","Muda a afinidade de uma unidade para Fogo. As estatísticas mudarão retroativamente. +FOR, -MAG, +Lealdade"
Affinity: Dark,Afinidade: Trevas
"Change a unit's Affinity to Dark. Stats will change retroactively. ++STR, ++MAG, --LDR, --Loyalty","Muda a afinidade de uma unidade para Trevas. As estatísticas mudarão retroativamente. ++FOR, ++MAG, --LID, --Lealdade"
Affinity: Light,Afinidade: Luz
"Change a unit's Affinity to Light. Stats will change retroactively. ++LDR, ++Loyalty","Muda a afinidade de uma unidade para Luz. As estatísticas mudarão retroativamente. ++LID, ++Lealdade"
Trait: Scavenger,Característica: Coletor
Teach trait to a unit.,Ensina uma característica a uma unidade.
Trait: Garrison,Característica: Guarnição
Trait: Bodyguard,Característica: Guarda-costas
Trait: Vengeance,Característica: Vingança
Trait: Overpower,Característica: Subjugar
Trait: Imposing,Característica: Impor
Trait: Unassuming,Característica: Modéstia
Trait: Resolve,Característica: Resolução
Trait: Unscathed,Característica: Incólume
Trait: Precision,Característica: Precisão
Trait: Assassin's Heart,Característica: Coração de assassino
Trait: Archer Captain,Característica: Arqueiro capitão
Trait: Soldier Captain,Característica: Soldado capitão
Trait: Knight Captain,Característica: Cavaleiro capitão
Trait: Concentration,Característica: Concentração
Trait: Disarm,Característica: Desarmar
Trait: Lithe Assault,Característica: Investida ágil
Trait: Assassin's Reaper,Característica: Ceifador assassino
Trait: Bowmanship,Característica: Arquearia
Trait: Dragonslayer,Característica: Matadragão
Trait: Warrior's Hubris,Característica: Arrogância de guerreiro
Trait: Challenger,Característica: Desafiador
Trait: Executioner,Característica: Executor
Trait: Healing Attuned,Característica: Cura sintonizada
Trait: Cold-Blooded,Característica: Sangue-frio
Trait: Beacon,Característica: Baliza
Trait: Arcane Barrier,Característica: Barreira arcana
Trait: Arcane Might,Característica: Força arcana
Trait: Arcane Speed,Característica: Velocidade arcana
Trait: Arcane Vigor,Característica: Vigor arcano
Trait: Counterattack,Característica: Contra-ataque
Trait: Desperation,Característica: Desespero
Trait: Immortal Spirit,Característica: Espírito imortal
Trait: Smite,Característica: Punir
Trait: Shock and Awe,Característica: Choque e pavor
Trait: Bloodlust,Característica: Sede de sangue
Trait: Silver-Tongued,Característica: Eloquência
Trait: Treasure Hunter,Característica: Caçador de tesouros
Trait: Tundra Warrior,Característica: Guerreiro de tundra
Trait: Desert Warrior,Característica: Guerreiro do deserto
"""This battlefield, suspended in the clouds is reserved for all the fiercest and most celebrated warriors.""","“Este campo de batalha, suspenso nas nuvens, está reservado aos mais valentes e aclamados guerreiros.”"
Mark of the Risen,Marca dos ressuscitados
Use on any Tier 3 Mage or Support Unit to class change them to a Necromancer.,Use em qualquer Mago ou unidade de Suporte Nível 3 para torná-lo Necromante.
Defiled Donari Tome,Tomo donari profanado
Use on any Tier 3 Mage or Support Unit to class change them to a Dark Mage.,Use em qualquer Mago ou unidade de Suporte Nível 3 para torná-lo Mago sombrio.
Trait: Benevolent,Característica: Benevolente
Trait: Liberator,Característica: Libertador
Trait: Rally,Característica: Mobilização
Trait: Barricade,Característica: Barricada
Trait: Pacifist,Característica: Pacifista
Trait: Wide Guard,Característica: Guarda ampla
Trait: Raid Captain,Característica: Cavaleiro de investida
Book of Unlife,Livro da Inexistência
Use during Squad Organize to summon a persistent Risen.,Use durante a organização do esquadrão para evocar um Ressuscitado persistente.
Blank Tome,Tomo em branco
Copy a Learned Trait,Copia uma característica aprendida
