ENGLISH,PORTUGUÊS (BRASIL)
Crusader's Mace,Maça do cruzado
A massive weapon plated with obsidian wielded by the elite Donari Paladin order.,Uma arma grande forjada com obsidiana. Foi usada pela ordem de elite das Paladinas Donari.
Refuge,Refúgio
A blessed hammer granting troops enhanced healing powers.,Um martelo abençoado que garante às tropas poderes aprimorados de cura.
Guerilla Bow,Arco de guerrilha
A war-worn weapon proven to be highly accurate.,Uma arma desgastada pela guerra que se provou muito precisa.
Trueshot Bow,Arco de mira certa
"A magically-crafted bow, designed to give its arrows incredible accuracy.","Um arco forjado magicamente, projetado para dar às suas flechas uma precisão incrível."
Ataraxia,Ataraxia
"Millenia-old bow wielded by Lorelai, slayer of Duros, King of Dragons.","Arco milenar usado por Lorelai, quem assassinou Duros, Rei dos Dragões."
Heartseeker,Miracoração
A bow enchanted with unknown dark energies whose arrows are extremely deadly.,Um arco encantado com energias sombrias desconhecidas cujas flechas são extremamente mortais.
Obsidian Arquebus,Arquebus de obsidiana
"Specialized firearm developed from the exotic material, obsidian.",Arma de fogo especializada construída a partir do material exótico obsidiana.
Donari Staff,Bastão Donari
Standard issue enchanted staff wielded by the Sisterhood of Mercy.,Bastão encantada padrão usado pela dada à Irmandade da Misericórdia.
Blood Staff,Bastão de sangue
A weapon that draws upon the wielder's own life force to grant them incredible magic power.,Uma arma que consome a força vital de quem a usa em troca de um incrível poder mágico.
Apprentice Spellbook,Livro de feitiços de aprendiz
Standard issue magical guidebook wielded by Imperial Academy war mages.,Guia mágico padrão usado pelos magos de guerra da Academia Imperial.
Grandmaster Spellbook,Livro de feitiços de grão-mestre
Decades of study allows a war mage to understand the powerful techniques within this book.,Décadas de estudo permitem que um mago de guerra compreenda as poderosas técnicas neste livro.
Auraweave Cloak,Capa de Vibraura
"An exsquisite cloak made from Auraweave, silk imbued with magic.","Uma magnífica capa feita de vibraura, uma seda imbuída em magia."
Cyrene's Regalia,Regalia de Cyrene
The divinely-enchanted uniform of the Avatar of Compassion.,O uniforme divinamente encantado da Avatar da Compaixão.
Sergeant's Uniform,Uniforme de sargento
Imperial Academy officer's uniform.,Uniforme de oficial da Academia Imperial.
Officer's Regalia,Regalia de oficial
Higher echelons of Imperial military officers are granted this familiar uniform.,Escalões superiores de oficiais militares imperiais recebem este uniforme familiar.
Scout's Gear,Equipamento de batedor
Standard issue Imperial Light Infantry battle gear.,Equipamento padrão de batalha de infantaria imperial leve.
Guerilla Armor,Armadura de guerrilha
"Rugged leather armor of an ancient Barek Tor design, optimal for jungle combat.","Armadura de couro resistente de um antigo desenho de Barek Tor, ideal para combates na selva."
Shinobi Gi,Gi de Shinobi
The garb of a master of the Caladori Arts allowing the wielder to dodge many incoming attacks.,"A vestimenta de um mestre das Artes Caladori, que permite ao usuário se esquivar de muitos ataques recebidos."
Blademaster's Armor,Armadura do Mestre da Espada
Mastercraft lamellar-plated armor from the new extinct Caladori civilization that occupied what is now known as Western Sayunaa.,Armadura obra-prima de lamelar da recém-extinta civilização Caladori que ocupou o que hoje conhecemos como Sayunaa Ocidental.
Landis's Mirage,Miragem de Landis
"Divine cloak of the master of Guile, Saint Landis.","Capa divina do mestre de Guile, Santo Landis."
Steel Plate Armor,Amadura de aço
Standard issue Imperial Heavy Infantry battle gear.,Equipamento padrão de batalha de infantaria imperial pesada.
Donari Armor,Armadura Donari
Battle armor worn by the order of Donari Paladins for centuries.,Armadura de batalha usada pela ordem das Paladinas Donari por séculos.
Dragonscale Armor,Amadura de escamas de dragão
A steel full-plate battle armor adorned with the armored scales of a defeated dragon. ,Uma armadura de batalha fechada de aço adornada com escamas reforçadas de um dragão derrotado. 
Imperial Battle Armor,Armadura imperial de batalha
Modern design of steel heavy armor worn by elite Veridian warriors. ,Desenho moderno de uma armadura pesada de aço usada pelos guerreiros Veridianos de elite. 
Obsidian Plate Armor,Amadura de obsidiana
"Full plate armor made from obsidian. Cumbersome, but offers incredible protection.","Armadura fechada feita de obsidiana. Pesada, mas oferece uma proteção incrível."
St. Teresa's Tiara,Tiara de Sta. Teresa
"Tiara of Saint Teresa, one of the great heroes of the events surrounding the succession crisis of the last Veridian Emperor of House Krauser.","Tiara de Santa Teresa, uma das grandes heroínas dos eventos da crise de sucessão do último Imperador Veridiano da Casa Krauser."
Hulking Pavise ,Pavisa reforçado 
"A recently-created, large wall of steel designed to attempt to deflect the bullets from Firearms.",Uma parede grande recém-criada de aço projetada para tentar repelir balas de armas de fogo.
Aldor's Tower Shield,Escudo de torre de Aldor
Massive shield made from obsidian. Was gifted to the Duke of Rimorgue before the times of the Aetherium Crisis.,Escudo massivo feito de obsidiana. Foi dado ao Duque de Rimorgue antes da época da Crise de Aetério.
St. Teresa's Bulwark,Baluarte de Sta. Teresa
"Shield of Saint Teresa, one of the great heroes of the events surrounding the succession crisis of the last Veridian Emperor of House Krauser.","Escudo de Santa Teresa, uma das grandes heroínas dos eventos da crise de sucessão do último Imperador Veridiano da Casa Krauser."
Skull of Rowdain,Crânio de Rowdain
"Long thought forgotten, this millennia-old artifact bears the latent energy of a powerful necromancer who once terrorized Tahnra.","Este artefato milenar, esquecido há eras, contém a energia latente de um poderoso necromante que um dia aterrorizara Tahnra."
Puffin Feather Amulet,Amuleto de pena de Puffin
"Amulet made from the venerated Puffin, a mainstay of Tahnra's fauna.","Amuleto feito do venerado Puffin, um pilar da fauna de Tahnra."
Ruby Ring,Anel de rubi
Ring with a simple strength enchantment.,Anel com um simples encantamento de força.
Emerald Ring,Anel de esmeralda
Ring with a simple skill enchantment.,Anel com um simples encantamento de habilidade.
Sapphire Ring,Anel de safira
Ring with a simple magic enchantment.,Anel com um simples encantamento de magia.
Ribbon,Laço
Several of these were created by an eccentric wizard. They protect the wearer from the binding effects of the Siren and the Sorceress's magic.,Diversos laços foram criados por um excêntrico feiticeiro. Eles protegem seu portador dos efeitos vinculantes da magia da Sirene e da Feiticeira.
Kesh's Toolkit,Kit de ferramentas de Kesh
The Barek Tor War Chieftain Eskandar's special grappling hook crafted for him personally by Grandmaster Kesh.,"Gancho especial de do Chefe de Guerra de Barek Tor, Eskandar, forjado pessoalmente para ele pelo Grão-mestre Kesh."
Noisy Cricket,Grilo ruidoso
The sound given off by these extraordinary creatures is indescribably irritating...,O som gerado por estas criaturas extraordinárias é incrivelmente irritante...
Boots of Tyranny,Botas da tirania
"Enchanted boots that drains the spirit of the user, while granting them incredible stamina.",Botas encantadas que drenam o espírito de seu usuário ao passo que lhe concede incrível estamina.
Imperial War Banner,Estandarte imperial de guerra
"The Imperial blue flag adorned with the likeness of Adorimetra, Queen of the Golden Dragon Brood, is known the world over.","A bandeira imperial azul adornada com a semelhança de Adorimetra, Rainha da Raça de Dragões Dourados, é conhecida mundo a fora."
Everlasting Potion,Poção eterna
A treasure of unknown origin. Highly sought after for its incredible ability to replenish itself over some time.,Um tesouro de origem desconhecida. Altamente desejada por sua incrível capacidade de se regenerar ao longo do tempo.
Jade Figurine,Estatueta de jade
"Find one of these, and the fortunes of war will turn to your favor.",Encontre uma destas e a sorte na guerra virará a seu favor.
Iblis Family Signet,Selo da família Iblis
"The Iblis family has a legendary history and a far-reaching impact on Tahnra, having offered the world many great warriors of days past.","A família Iblis possui uma história lendária e grande participação em Tahnra, já que ofereceu ao mundo muitos dos grandes heróis no passado."
Donar's Treatise of War,Tratado de guerra de Donar
One of the few ancient divine documents written in Common Veridian that all may understand its secrets.,"Um dos poucos documentos divinos ancestrais escrito em veridiano popular, tornando seus segredos compreensíveis a qualquer um."
Soha's Blood Shard,Estilhaço de sangue de Soha
Fragment of a mysterious crystal shard of unfathomable power. No one has possessed it and lived.,Fragmento de um estilhaço de cristal misterioso de poder incomensurável. Ninguém que o possuiu sobreviveu.
Landis's Fixed Dice,Dados fixos de Landis
"The Divine Avatar of Justice created his own luck at every turn, though it earned him a suspicious reputation.","O Divino Avatar da Justiça fez sua própria sorte a cada turno, apesar de que isso o gerou uma reputação duvidosa."
Genbu Shell Fragment,Fragmento do casco de Genbu
"A lone turtle, who inadvertedly consumed a piece of an Aetherium Shard, was transformed into a massive and powerful beast known today as Genbu. The pieces of his shell are priceless.","Uma tartaruga solitária, que consumiu inadvertidamente um pedaço de estilhaço de aetério, se transformou em uma besta gigantesca e poderosa, conhecida hoje como Genbu. Os pedaços de seu casco são inestimáveis."
Temporal Modulator,Modulador temporal
A legendary treasure that has remained a mainstay of adventurer's desires for millenia. Has unique control over the flow of time.,Um tesouro lendário que permaneceu sendo um troféu para aventureiros por milênios. Possui um controle único sobre o fluxo do tempo.
Black Belt,Faixa-preta
Adorned with faded engraving about an ancient Arena Champion.,Adornado de uma gravação apagada sobre um antigo Campeão da Arena.
Cloak of Cunning,Capa da astúcia
Equal the playing field against speedy foes with this masterfully-woven cloak.,Iguale o campo de batalha contra inimigos velozes ao usar esta capa tecida com maestria.
Essence of Embor,Essência de Embor
Magical charm that captures the bitter cold of the Emborian Tundra.,Amuleto mágico que captura o frio sufocante da Tundra Emboriana.
Belinda's Field Kit,Kit médico de Belinda
The well-organized medical supply kit originally curated by a legendary Priestess of times past.,O kit de suprimentos médicos organizados originalmente curado por uma lendária sacerdotisa do passado.
Signet of Wrath,Sinete de Ira
"The encapsulated power of the ancient demon of sin, Wrath.","O poder encapsulado do antigo demônio do pecado, Ira."
Firewalker Boots,Botas passachamas
Boots specifically designed for Obsidian miners braving the lava tubes of Mt. Karnac.,Botas projetadas especificamente para mineradores de obsidiana desbravar tubos de lava do Monte Karnac.
Shadowchaser Boots,Botas das sombras
"Enchanted Boots worn by the notorious assassin, Kuroda.",Botas encantadas usadas pelo notório assassino Kuroda.
Gilded Clover,Trevo dourado
What DOES Lucky do?!,O que a sorte TRAZ?
Mercurial Shoes,Calçados de mercúrio
It's like walking on a cloud.,É como andar em uma nuvem.
Caladori Charm,Amuleto Caladori
The Grandmaster always had a delightful sense of humor!,O grão-mestre sempre teve um incrível senso de humor!
Fitch Farm Rancher Hat,Chapéu de fazendeiro
Ain't no one who can handle 'em like old Barnabas!,Ninguém fica tão bem como velho Barnabas!
Grothnor Lich's Skull,Crânio de Grothnor Lich
Decent people shouldn't think about how one gets one of these things.,Pessoas decentes não deveriam pensar sobre como alguém consegue algo assim.
Spencer's Spectacles,Óculos de Spencer
Technologically-advanced relic of a bygone era with unknown mechanical properties.,Relíquia tecnologicamente avançada de uma época passada com propriedades mecânicas desconhecidas.
Aetherium Gemstone,Gema de aetério
"A piece of the Arc Donarium's inner core, salvaged recently and nearly priceless.","Uma parte do núcleo do Arco Donarium, resgatado recentemente e quase inestimável."
Sunset Bay Theatre Mask,Máscara de teatro da Baía do Pôr do Sol
Ceremonial mask worn by the elusive Tidereaver sect in a remote pirate colony known as Sunset Bay.,Máscara cerimonial usada pela seita ardilosa dos Saquemar em uma colônia pirata remota conhecida como Baía do Pôr do Sol.
Unequip,Desequipar
Unequip the current artifact.,Desequipa o artefato atual.
Empty,Vazio
Select to equip an item.,Selecione para equipar um item.
Locked,Bloqueado
Locked.  Unlock Adept Artificer tech to unlock.,Bloqueado.  Desbloqueie a tecnologia artífice do adepto para desbloquear.
Locked.  Unlock Journeyman Artificer tech to unlock.,Bloqueado.  Desbloqueie a tecnologia artífice do viajante para desbloquear.
Ace of Spaces,Ás de Espadas
An indestructible card that defies age and time.,Uma carta indestrutível que desafia a idade e o tempo.
Warfarer's Boots,Botas do desbravador
Shuffle becomes a free action,Embaralhar se torna uma ação livre
Duelist's Contract,Contrato do duelista
All units on both teams get +1 attack at 1 range,Todas as unidades em ambas as equipes recebem +1 de ataque com alcance 1
Do-It-Yourself Bandage,Curativo faça-você-mesmo
Map heals are a free action,Curas de mapa é uma ação grátis
Emperor's Missive,Comunicado do Imperador
Tier 1 Units take 50% damage,Unidades Nível 1 recebem 50% de dano
Donari Charm,Amuleto Donari
2 additional Map Heal charges,2 cargas adicionais de Cura de mapa
Commoner's Goblet,Cálice do plebeu
Non-story squad leaders only,Somente líderes de esquadrão que não fazem parte da história
Can only be equipped on Squads not lead by story characters,Pode ser equipado apenas em Esquadrões que não são liderados por personagens da história
Tailored Great Helm,Grande elmo sob medida
2 additional Armor per unit archetype in Squad,2 armaduras adicionais por arquétipo de unidade no esquadrão
Thorny Charm,Amuleto espinhoso
Every Unit in Squad will resist 1 status effect per combat,Cada unidade no esquadrão resistirá a 1 efeito de status por combate
