ENGLISH,PORTUGUÊS (BRASIL)
"Squads move on the Tactical Map at your command. When first selecting a Squad, you will be given the option to move them to a tile within their movement range.\\PARSquads can attack before OR after moving, but if a Squad attacks, its turn is automatically over. The exception is Cavalry Squads, who can move after attacking.","Os esquadrões se movem no Mapa Tático ao seu comando. Ao selecionar um Esquadrão pela primeira vez, você terá a opção de movê-lo para uma posição dentro do seu alcance de movimento.\\PAREsquadrões podem atacar antes OU depois de se moverem, mas se um Esquadrão atacar, seu turno terminará automaticamente. A exceção são os Esquadrões de Cavalaria, que podem se mover após o ataque."
Settlements,Assentamentos
"Villages, Towns, Castles, and Palaces are Settlements. When captured, these grant you Faction XP and Gold.","Vilarejos, cidades, castelos e palácios são assentamentos. Quando capturados, eles concedem EXP de facção e Ouro."
Mines,Minas
"Provides resources, including Iron, Gems, Gold, Obsidian, Pyrocite, and Sunstone.","Fornecem recursos, incluindo Ferro, Gemas, Ouro, Obsidiana, Pirocitas e Pedras do sol."
Bases,Bases
"Powerful defense bonuses for the gate defender. If one enemy Squad lands on the entrance tile to your Home Base, you will be defeated. Can usually Deploy squads mid-mission from Home Base. -10% damage taken from all attacks to a squad on the Base tile. -40% additional damage taken from range 2+ attacks.","Poderosos bônus de defesa para o defensor do portão. Se um esquadrão inimigo parar no quadrado da entrada da sua Base principal, você será derrotado. Pode desdobrar esquadrões no meio da missão a partir da Base principal. -10% de dano recebido de todos os ataques a um esquadrão no quadrado da base. -40% de dano adicional recebido de 2 ou + ataques a distância."
Forts,Fortes
Grants a bonus to high ground and evasion to the defender. -10% damage taken from all attacks to a squad on the Fort tile.,Concede um bônus de terreno elevado e evasão para o defensor. -10% de dano recebido de todos os ataques a um esquadrão no quadrado do Forte.
Forests,Florestas
Rough Terrain. Ambushable Terrain. Provides a 50% evasion bonus against range2+ archery attacks.,Terreno irregular. Terreno emboscável. Fornece um bônus de 50% de evasão contra 2 ou + ataques de arquearia a distância.
Hills,Colinas
Rough Terrain. Ambushable Terrain. High Ground.,Terreno irregular. Terreno emboscável. Terreno alto.
Allies (Green Army),Aliados (exército verde)
"Allied Squads will appear in Green on the Tactical Map. Allies move on their own, and will be fighting against the same enemy as you. They cannot attack you, and you cannot attack them.",Esquadrões aliados aparecerão em verde no mapa tático. Aliados se movem por conta própria e lutarão contra o mesmo inimigo que você. Eles não podem atacar suas unidades e você não pode atacá-los.
Roads,Estradas
Open Terrain. Provides a tile movement bonus.,Terreno livre. Fornece um bônus de movimento.
Walls,Muralhas
Special defense Terrain. Provides high ground. Defense bonus vs Squads not on a Wall. Blocks melee attacks from the ground and blocks tile map movement. Can be traversed via a Ramp.,Terreno de defesa especial. Fornece um terreno alto. Bônus de defesa contra esquadrões que não estão em uma muralha. Bloqueia ataques corpo-a-corpo no solo e bloqueia o movimento no mapa. Pode ser atravessado com uma rampa.
Cavalry,Cavalaria
"If the majority of a Squad's Capacity cost is from Cavalry unit types, it becomes a Cavalry Squad.\\PARCavalry Squads can move faster in 'Open' terrain, and can move after attacking. In the Tactics tech tree, Cavalry can learn how to perform a 'Charge Attack' when moving a large number of tiles in the same turn, and both attacker and defender are in Open Terrain.\\PARCavalry units are all vulnerable to Polearm users, or Hussars, an advanced Light Cavalry Class.'Hit and Run' is a feature of Normal Cavalry and Light Cavalry Squad Types. After taking an action such as attacking or healing, a Cavalry Squad can then move again using half of their original total Movement Points.","Se a maior parte do custo de capacidade de um esquadrão for de unidades de cavalaria, ele se tornará um esquadrão de cavalaria.\\PAREsquadrões de cavalaria podem se mover mais rápido em terreno “aberto” e podem se mover após o ataque. Na árvore de tecnologias Táticas, a Cavalaria pode aprender a realizar um “Ataque de Carga” ao mover um grande número de peças no mesmo turno e tanto o atacante quanto o defensor estão em Terreno Aberto.\\PARUnidades de cavalaria são todas vulneráveis a armas de haste, ou Hussars, uma classe de cavalaria leve avançada. “Bater e correr” é um recurso de Tipos de Esquadrão de Cavalaria Normal e Cavalaria Leve. Depois de realizar uma ação como atacar ou curar, um Esquadrão de Cavalaria pode se mover novamente usando metade de seus Pontos de Movimento totais originais."
Stables,Estábulos
Provides War Horse resources when captured.,Fornecem recursos de Cavalo de Guerra quando capturados.
Donari Temples,Templos Donari
"Visit a Temple to refresh out-of-battle heals, and revive defeated allies, for a gold fee.",Visite um templo para obter curas fora da batalha e reviver os aliados derrotados por uma taxa de ouro.
Conscripts and Mercenaries,Recrutas e mercenários
"Conscripts are fresh, untrained recruits that are cheap and unlimited. Mercenaries are strong, but expensive, and not as loyal to your cause, but often come with their own gear and special traits.\\PARConscripts are the first 4 slots in the recruiting pool in the Home Base market.","Os conscritos são recrutas novos e não treinados, baratos e ilimitados. Os mercenários são fortes mas caros e não tão leais à sua causa, mas geralmente vêm com seus próprios equipamentos e características especiais.\\PAROs conscritos são os 4 primeiros espaços no grupo de recrutamento no mercado da Base principal."
Artifacts,Artefatos
Artifacts modify the entire Squad. Effects can be positive or negative. Up to 3 Artifacts can be equipped on a Squad with full technology.,Artefatos modificam todo o Esquadrão. Os efeitos podem ser positivos ou negativos. Até 3 Artefatos podem ser equipados em um Esquadrão com tecnologia completa.
Stealth,Furtividade
"Assassins, Rogues, and Stefan's unit Classes are able to execute Stealth attacks. A Stealth attack is achieved when attacking as one of these Classes.\\PARWhen Stealth attacking, your attacks automatically target the back of the enemy formation.\\PAROn defense, these classes attack normally.","Classes de Assassinos, Ladinos e unidade do Stefan são capazes de executar ataques furtivos. Um ataque furtivo é obtido ao atacar como uma dessas classes.\\PARAo atacar furtivamente, seus ataques visam automaticamente a parte de trás da formação inimiga.\\PARNa defesa, essas classes atacam normalmente."
Zanatus,Zanatus
"The demonic being who dominated humanity over 1000 years ago. Is the antithesis of Donar in every way. Origins still unknown, but the best translations and accounts can be summarized in a way that paints Zanatus as something not of this world. Something disturbingly unfamiliar to Donar's creation. Defeated in battle by the Avatar of Donar when stabbed through the heart with the holy blade, Lightfury.","O ser demoníaco que dominou a humanidade há mais de 1000 anos. É a antítese de Donar em todos os sentidos. As origens ainda são desconhecidas, mas as melhores traduções e relatos podem ser resumidos de uma forma que pinta Zanatus como algo que não é deste mundo. Algo perturbadoramente desconhecido para a criação de Donar. Derrotado em batalha pelo Avatar de Donar quando perfurado no coração com a espada sagrada, Furiluz."
Battle of Mount Ptolomea,Batalha do Monte Ptolomea
"Date: Year 0\\PARThe confrontation between Zanatus and the five Nephilim, The Avatar of Donar, Galzus, Landis, Cyrene, and Ishtar. Just before this battle, the Avatar of Donar had lead a resistance effort to attempt to liberate Humanity from Zanatus's tyranny. In the final, desperate moments before ultimate defeat, the five experienced a divine intervention, infusing them with godlike power, divine weapons, and changed them from human to Nephilim by blood. Zanatus was ill-prepared for this, and the Nephilim destroyed the demon with a final blow from Lightfury. Zanatus's armies, who relied completely on the demon's singular leadership, fled in disarray, allowing humanity to break its shackles and win its salvation. Thereafter, the Donari Temple was founded, and the Nephilim canonized as gods.","Data: Ano 0\\PARO confronto entre Zanatus e os cinco Nephilim, O Avatar de Donar, Galzus, Landis, Cyrene e Ishtar. Pouco antes desta batalha, o Avatar de Donar liderou um esforço de resistência para tentar libertar a Humanidade da tirania de Zanatus. No final, nos momentos desesperadores antes da grande vitória, os cinco experimentaram uma intervenção divina, infundindo-se com poder divino, armas divinas e os transformando de humanos em Nephilins por sangue. Zanatus não estava preparado para isso e os Nephilins destruíram o demônio com um golpe final da Furiluz. Os exércitos de Zanatus, que confiavam completamente na liderança singular do demônio, fugiram em desordem, permitindo que a humanidade quebrasse seus grilhões e ganhasse sua salvação. Posteriormente, o Templo Donari foi fundado e os Nephilins canonizados como deuses."
Donar,Donar
"The creator of Tahnra and all things. Nature unknown, but is the being from which all of the Donari Temple's beliefs evolved. Believed to reside in a higher dimension commonly referred to as the ''Divine Realm''. Thought to have only made its presence known in the mortal realm once, during the intervention against Zanatus, but this is not confirmed. Donar's power has been infused into the divine weapons, and in the bloodline of the Nephilim. Commonly confused with the Avatar of Donar, who is often referred to simply as Donar. In the Temple scriptures, very little distinction is made between the mortal Nephilim who defeated Zanatus, and the creator god of all things. The Avatar of Donar represents the virtue of Truth, and the element of Light.","O criador de Tahnra e de todas as coisas. Natureza desconhecida, mas é o ser a partir do qual todas as crenças do Templo Donari evoluíram. Acredita-se que resida em uma dimensão superior comumente referida como “Reino Divino”. Acredita-se que só fez sua presença conhecida no reino mortal uma única vez, durante a intervenção contra Zanatus, mas não há confirmação disso. O poder de Donar infundiu as armas divinas e a linhagem dos Nephilins. Comumente confundido com o Avatar de Donar, que é frequentemente referido simplesmente como Donar. Nas escrituras do Templo, muito pouca distinção é feita entre os Nephilins mortais que derrotaram Zanatus e o deus criador de todas as coisas. O Avatar de Donar representa a virtude da Verdade e o elemento da Luz."
"Lightfury, Sword of Donar","Furiluz, a Espada de Donar"
"Of course the divine weapon of the Avatar of Donar. However, this weapon seems unique among the other divine weapons. Lightfury has existed in Tahnra long before the Battle of Mount Ptolomea. Scholars and theologians have thrown around many beliefs and theories about Lightfury. The prevailing wisdom is that Lightfury is as old as Tahnra itself, and is the personal tool of Donar... his primary way of manifesting in the mortal realm wherever it is needed.","Claro, a arma divina do Avatar de Donar. No entanto, esta arma parece única entre as outras armas divinas. A Furiluz já existia em Tahnra muito antes da Batalha do Monte Ptolomea. Estudiosos e teólogos lançaram muitas crenças e teorias sobre a Furiluz. O senso comum predominante é que a Furiluz é tão antiga quanto a própria Tahnra e é a ferramenta pessoal de Donar... sua principal forma de se manifestar no reino mortal onde quer que se faça necessário."
Morale,Moral
"Morale is a Squad's fighting spirit. Player Morale, when high, has a chance to trigger extra turns in combat. Player Morale, when low, decreases attack power significantly.\\PAREnemy Morale, when high, increases attack power significantly, Enemy Morale, when low, decreases attack power significantly, and increases the chance they will willfully Surrender.\\PARMorale is mostly affected by battle victories, but can also be increased through relationships, and traits. Morale can be hurt via combat defeats, especially if the Squad leader falls.","O moral é o espírito de luta de um Esquadrão. O moral do jogador, quando alto, tem chance de desencadear turnos extras em combate. O moral do jogador, quando baixo, diminui significativamente o poder de ataque.\\PARO moral do inimigo, quando alto, aumenta significativamente o poder de ataque. Quando baixo, diminui significativamente o poder de ataque e aumenta a chance de se render intencionalmente.\\PARO moral é afetado principalmente pelas vitórias em batalha, mas também pode ser aumentado por meio de relacionamentos e características. O moral pode ser prejudicado por meio de derrotas em combate, especialmente se o líder do esquadrão for derrotado."
Weather,Clima
"Storm and Blizzards will render Gunners, Dragoons, and Cannons unable to fire, unless you have the 'Breech-Loading Rifle' technology.\\PARHeat Wave can happen in Desert Climates, and causes significant Morale damage to unsheltered squads, unless your Squad is equipped with the 'Desert Warrior' trait.\\PARAll types of Weather have an effect on units depending on their Affinity - see the Quick Reference Guide for Affinity.","Tempestade e nevascas tornarão Artilheiros, Artilheiros montados e Canhões incapazes de disparar, a menos que você tenha a tecnologia “Rifle de carga de brecha”.\\PARA onda de calor pode acontecer em climas desérticos e causa dano moral significativo a esquadrões desprotegidos, a menos que seu esquadrão esteja equipado com a característica “Guerreiro do Deserto”.\\PARTodos os tipos de Clima têm efeito nas unidades dependendo de sua Afinidade - veja o Guia de Referência Rápida para entender sobre Afinidade."
Bazaars,Bazares
Bazaars are tents found on the tactical map. Sells Mercenaries and Artifacts higher in quality and rarity than you can purchase at the Home Base.,Bazares são tendas encontradas no mapa tático. Vende Mercenários e Artefatos com maior qualidade e raridade do que você pode comprar na Base principal.
Tidereaver Pirates,Piratas Saquemares
"A massive, multi-layered organization of outlaws, warlords, raiders, assassins, extortionists, and slave traders who have connections to many government officials world wide.","Uma organização massiva e multifacetada de bandidos, senhores da guerra, invasores, assassinos, extorsionários e traficantes de escravos que têm conexões com muitos funcionários do governo em todo o mundo."
The Barek Tor,Os Barek Tor
"One of the major sapient species of Tahnra outside of the Human realms. Mostly bipedal humanoids who have retained the advantages and drawbacks of their feline ancestors. They boast exceptional agility, night vision, and the ability to dominate the forest landscape far better than Humans. They mostly reside in their home island of Sinarra, a land utterly dominated by the deep jungle.","Uma das principais espécies sapientes de Tahnra fora dos reinos humanos. Principalmente humanoides bípedes que mantiveram as vantagens e desvantagens de seus ancestrais felinos. Eles possuem agilidade excepcional, visão noturna e a capacidade de dominar o ambiente floresta muito melhor do que os humanos. Eles residem principalmente em sua ilha natal de Sinarra, uma terra totalmente dominada pela selva profunda."
Historium Magnus,Historium Magnus
"The divine book written after the Battle of Mount Ptolomea, codifying the founding of the Donari Temple. It contains a recounting of the events of the war with Zanatus, the Nephilim and Donar's influence, and of the building of the new Temple and human empires that followed the victory over Zanatus. It is written in a language that has long been nearly extinct.","O livro divino escrito após a Batalha do Monte Ptolomea, codificando a fundação do Templo Donari. Ele contém uma recontagem dos eventos da guerra contra Zanatus, da influência dos Nephilins e de Donar e da construção do novo Templo e dos impérios humanos que se seguiram à vitória sobre Zanatus. Está escrito em uma linguagem que há muito foi quase extinta."
Veridian Civil War,Guerra Civil Veridiana
"Date: Year 997\\PARLocation: Southern Veridia Province\\PARBelligerents: The West comprised of the Duchy of Isanter and the Donari Temple, The East comprised of the Duchy of Rimorgue and the Central Imperial government.\\PARResult: Annihilation of the West and the Duchy of Rimorgue, ascent of the Empire of Archaelus and Emperor Casamir\\PARTerritory changes: The lands of the Donari Temple, Duchy of Rimorgue, and the Duchy of Isanter completely dismanted and absorbed into the Empire of Archaelus\\PARCasualties: 11,000 military deaths","Data: Ano 997\\PARLocal: Província de Veridia do Sul\\PARBeligerantes: O Oeste compreendia o Ducado de Isanter e o Templo Donari, o Leste compreendia o Ducado de Rimorgue e o Governo Imperial Central.\\PARResultado: Aniquilação do Oeste e do Ducado de Rimorgue, ascensão do Império de Archaelus e do Imperador Casamir\\PARMudanças de território: As terras dos Templo Donari, Ducado de Rimorgue e Ducado de Isanter foram completamente desmanteladas e absorvidas pelo Império de Archaelus\\PARBaixas: 11.000 mortes militares"
Hand of Zanatus,Mão de Zanatus
"The fully-armored and heavily-armed champion who was unleashed to destroy the Lemelin Monastery. He possesses superhuman strength and magical power, as well as the Blade of Destruction, Balmung, which he wields with unsurpassed skill.","O campeão totalmente blindado e fortemente armado que foi lançado para destruir o Mosteiro de Lemelin. Ele possui força sobre-humana e poder mágico, bem como a Espada da Destruição, Balmung, que ele empunha com habilidade insuperável."
Treasures,Tesouros
"By walking any Squad on top of a Treasure on the map, we will automatically open the chest, yielding Gold, Resources, or Equipment. There is no need to execute an extra command, simply walk right on top of it.","Ao caminhar com qualquer Esquadrão em cima de um Tesouro no mapa, abriremos automaticamente o baú, rendendo Ouro, Recursos ou Equipamentos. Não há necessidade de executar um comando extra, basta caminhar sobre ele."
Empire of Archaelus,Império de Archaelus
"The current hegemon of the Human world, ruled by Emperor Casamir. Archaelus directly controls all of Veridia and Sandraka nations, and imposes its will over Sayunaa which has become a vassal state. Derives its name from the original Human hegemony that followed the Battle of Mount Ptolomea, which was the first significant Human empire in Tahnra.","O atual hegemonia do mundo humano, governado pelo imperador Casamir. Archaelus controla diretamente todas as nações de Veridia e Sandraka e impõe sua vontade sobre Sayunaa, que se tornou um estado vassalo. Deriva seu nome da hegemonia humana original que se seguiu à Batalha do Monte Ptolomea, que foi o primeiro império humano significativo em Tahnra."
Mount Ptolomea,Monte Ptolomea
"The tallest mountain in the Human realm, which lies at the heart of the massive mountain ranges separating Veridia from Sayunaa. Pathways to this mountain are far too treacherous for travel by foot, other than one path painstakingly carved out over decades, which is tightly-controlled - its only outlet is to the Imperial Palace at Armitage.\\PARMount Ptolomea was the location of the last stand of humanity in the war against Zanatus, the location of Donar's miracle. Today, atop the summit lies the physical portal to the Divine Realm, which has not budged since its brief opening which allowed the power of Donar to flow into the mortal realm.","A montanha mais alta do reino humano, que fica no coração das enormes cordilheiras que separam Veridia de Sayunaa. Os caminhos para esta montanha são muito traiçoeiros para serem percorridos a pé, além de um caminho meticulosamente esculpido ao longo de décadas, que é rigidamente controlado. Sua única saída é para o Palácio Imperial em Armitage.\\PARO Monte Ptolomea foi o local da última posição da humanidade na guerra contra Zanatus, o local do milagre de Donar. Hoje, no topo do cume está o portal físico para o Reino Divino, que não se moveu desde sua breve abertura, que permitiu que o poder de Donar fluísse para o reino mortal."
Nephilim Battlefield Powers,Poderes Nephilins do campo de batalha
"Battlefield skills that can be used at any time, independent of the move/attack turn cycle of our Squads. These powers are charged by the actions and events of the battle, such as dealing or taking damage, time passing, and other triggers.\\PARGalzus's power, Exemplar, reduces damage to one squad by %50, and provokes enemies to attack that squad for one turn. Accumulate this power by taking damage.\\PARLandis's Power, Teleport, teleports one squad up to 5 tiles away without spending movement points or using that squad's turn. Accumulate this power with movement that results in an attack in the same turn.\\PARIshtar's Power, Terror, greatly demoralizes Squads in a 3x3 area of effect. This power accumulates naturally over time.\\PARCyrene's power, Meteor, lands a meteor on a plus-shaped area of effect that damages all units in that squad. Cannot target enemies on Fort or Base tiles. Cannot exceed 50% of MaxHP depleted. Accumulate this power by dealing damage.\\PARDonar's power, Blessing, instantly refreshes one squad that has already spent their movement and/or attack, allowing another full action cycle in the same player phase. Accumulate this power as a sum of all four other Nephilim powers.\\PARTo use, access the ''Powers'' section of the main menu, as pictured above.","Habilidades de campo de batalha que podem ser usadas a qualquer momento, independentemente do ciclo de turno de movimento/ataque de nossos Esquadrões. Esses poderes são cobrados pelas ações e eventos da batalha, como causar ou receber dano, passagem do tempo e outros gatilhos.\\PARO poder de Galzus, Exemplar, reduz o dano a um esquadrão em 50% e faz com que os inimigos ataquem esse esquadrão por um turno. Acumule este poder tomando dano.\\PARO poder de Landis, Teleporte, teleporta um esquadrão até 5 quadrados de distância sem gastar pontos de movimento ou usar o turno daquele esquadrão. Acumule esse poder com movimentos que resultem em um ataque no mesmo turno.\\PARO poder de Ishtar, Terror, desmoraliza muito os Esquadrões em uma área de efeito de 3x3. Este poder acumula-se naturalmente ao longo do tempo.\\PARO poder de Cyrene, Meteoro, lança um meteoro em uma área de efeito em forma de cruz que danifica todas as unidades naquele esquadrão. Não pode atingir inimigos em blocos de Forte ou Base. Não pode exceder 50% do PV Máx. esgotado. Acumule esse poder causando dano.\\PARO poder de Donar, Bênção, atualiza instantaneamente um esquadrão que já gastou seu movimento e/ou ataque, permitindo outro ciclo de ação completo na mesma fase do jogador. Acumule este poder como uma soma de todos os quatro poderes Nephilim.\\PARPara utilizar, acesse a seção “Poderes” no menu principal, conforme a imagem acima."
Tech Tree,Árvore de tecnologias
"We should always invest in Technology whenever we can. Tech advances will offer Army-wide benefits of many different types. There are 4 'tiers' of Technology that we can unlock as our faction continues to advance. To unlock technology, we need to level up Faction Rank. With every promotion in Faction Rank, we will be awarded a haul of Tech Points.\\PARAcademy of War focuses mostly on magic, the elements, and certain specialized warriors such as the Paladin, and War Mages.\\PARTactics and Command will advance our ability to field larger, more tactically-advanced armies, and give us certain specific advantages and new classes, such as the Swordmaster and Champion.\\PARCraftsmanship is the direct application of physical sciences to improve our army's weapons and armor.\\PAREach tech branch has its own 'Capstone' technology, which requires a complete fulfillment of all that branch's techs in the first 3 tiers. If you complete two whole tech trees, you can then unlock 'Dual Capstone's, which represent the ultimate in technological advance available.","Devemos investir em Tecnologia sempre que pudermos. Os avanços tecnológicos oferecerão benefícios de muitos tipos diferentes para todo o Exército. Existem 4 “níveis” de tecnologia que podemos desbloquear conforme nossa facção continua avançando. Para desbloquear a tecnologia, precisamos subir de nível no Ranque da Facção. A cada promoção no Ranque de Facção, receberemos uma quantidade de Tecnopontos.\\PARA Academia de Guerra se concentra principalmente na magia, nos elementos e em certos guerreiros especializados, como a Paladina e os Magos de Guerra. \\PARAs táticas e o comando aumentarão nossa capacidade de colocar em campo exércitos maiores e mais avançados taticamente, além de nos dar certas vantagens específicas e novas classes, como a Mestra espadachim e o Campeão.\\PARFabricação é a aplicação direta das ciências físicas para melhorar as armas e armaduras de nosso exército.\\PARCada ramo de tecnologia tem sua própria tecnologia Principal, que requer um cumprimento completo de todas as tecnologias daquele ramo nos primeiros 3 níveis. Se você completar duas árvores de tecnologias inteiras, poderá desbloquear Tecnologias Duplas, que representam o máximo em avanço tecnológico disponível."
Scions of Dargon,Herdeiros de Dargon
"An underground spy organization made up of loyalitsts to the now-deposed Sayunaari monarchy who view the last legitimate monarch as the late King Kasim Dargon, who inherited a broken Sayunaari kingdom after the death of Queen Soha Dargon.","Uma organização de espionagem clandestina composta por leais à agora deposta monarquia Sayunaari, que veem o último monarca legítimo como o falecido Rei Kasim Dargon, que herdou um reino Sayunaari quebrado após a morte da Rainha Soha Dargon."
The Aetherium Crisis,A Crise de Aetério
"Date: Year 876-877\\PARLocation: Empire of Veridia, Kingdom of Sayunaa, Gondwanna Federation\\PARResult: Destruction of Novas Kedah and Ezrum, reform of the Donari Temple\\PARCasualties: 124,000 civilian deaths\\PARThe great tragedy and climax of the last age of Humanity, which spawned incredible heroes and legends, and set the foundation for the modern age.","Data: Anos 876-877\\PARLocal: Império de Veridia, Reino de Sayunaa, Federação de Gondwanna\\PARResultado: Destruição de Novas Kedah e Ezrum, reforma do Templo Donari\\PARBaixas: 124.000 mortes de civis\\PARA grande tragédia e clímax da última era da Humanidade, que gerou heróis e lendas incríveis e estabeleceu as bases para a era moderna."
XP and CP,EXP e PC
"XP is Experience Points, and CP is Class Points / Class Mastery.\\PARXP is gained from doing battle, defeating any units, or using an XP codex. Units that did not participate in the campaign will also gain a small amount, so that no one is severely left behind. You will always see your XP represented in increments of 100. Get 100 more XP to level up, which will increase your stats.\\PARCP, or Class Points / Class Mastery, is only gained from real combat experience, or using a CP Codex. In order to upgrade classes, you must fill up the CP Bar to ''Max''.","EXP são Pontos de Experiência e PC são Pontos de Classe/Maestria de Classe.\\PAREXP é obtido em batalhas, derrotando quaisquer unidades ou usando um códice de EXP. As unidades que não participaram da campanha também ganharão uma pequena quantidade para que ninguém fique severamente para trás. Você sempre verá sua EXP representada em incrementos de 100. Obtenha mais 100 EXP para subir de nível, o que aumentará suas estatísticas.\\PARPC, ou Pontos de Classe/Maestria de Classe, só são obtidos com a experiência real de combate ou usando um códice de PC. Para atualizar as classes, você deve preencher a barra PC até “Máx.”."
Battle of Rimorgue River Valley,Batalha do Vale do Rio de Rimorgue
