"We've taken Fort Eureeka, but the Eastern forces remain steadfast. Man the defenses at Fort Eureeka and prepare for the battle of our lives.","Нам удалось захватить форт Эврика, однако Восточная коалиция не намерена сдаваться. Укрепитесь в форте Эврика и готовьтесь к ожесточённой битве.",
"Rimorgue River Valley, Year 997","Долина реки Риморг, 997 год",
Chapter 13: Conquest,Глава 13: Смерть врагам,
Casamir has no business leading armies. Let us show him how it is done. Conquer Rimorgue and crush the resistance at Stormrook.,"Казамир не умеет командовать армиями. Покажем ему, как это делается. Завоюйте Риморг и разбейте силы защитников Штормрука.",
"Westerfield Keep, Year 999","Крепость Вестерфилд, 999 год",
"Chapter 14: Paladin, Undaunted",Глава 14: Неустрашимый паладин,
"Diana's Rebellion has stormed Westerfield Keep, a child detention facility. Wipe out the defenders and free the prisoners.","Мятежные силы Дианы атаковали крепость Вестерфилд, где удерживали похищенных детей. Расправьтесь с защитниками и освободите пленных.",
"Outside Westerfield, year 999","Близ Вестерфилда, 999 год",
Chapter 15: Westerfield Escape,Глава 15: Бегство из Вестерфилда,
"We've freed the children, but overwhelming reinforcements have arrived. We must cross the river and arrive safely at Centurion's Rest before we are overtaken.","Нам удалось освободить детей, но враг прислал мощное подкрепление. Нам придётся пересечь реку и отступить к Убежищу Центуриона, иначе нас несдобровать.",
"Centurion's Rest, Year 999","Убежище Центуриона, 999 год",
Chapter 16: Desperation,Глава 16: Отчаяние,
"We cannot ignore the Nephilim Prophecy any longer. Break into the Imperial Palace via its rear sally port, clearing the way to Mount Ptolomea.","Пророчество о нефилимах уже невозможно игнорировать. Используйте вылазные ворота, чтобы проникнуть в имперский дворец, откуда лежит путь на вершину горы Птоломея.",
"Rebel Front Base, Year 999","Передовая база мятежников, 999 год",
Chapter 17: Coaxing the Divine,Глава 17: Переговоры с богами,
"The enemy has taken great measures to prevent access to the path to Mount Ptolomea. We must shatter their magical barrier, allowing Diana free passage to her destiny.","Враг сделал всё, чтобы не подпустить нас к тропе, ведущей на гору Птоломея. Необходимо прорвать их магический барьер и помочь Диане исполнить своё предназначение.",
Chapter 18: Emborian Dawn,Глава 18: Рассвет Эмбории,
"The Avatar of Donar has returned to Tahnra, signaling the true beginning of the Nephilim Army. Our first objective is to liberate the far north lands of Embor.",Возвращение Аватара Донара в Танру ознаменовало новый прилив сил для армии нефилимов. И первым делом нам необходимо освободить земли Эмбора на крайнем севере.,
"Embor, Year 999","Эмбор, 999 год",
Chapter 19: Return to Eastwall,Глава 19: Возвращение в Иствол,
"Lysander has managed to establish a stronghold in Eastwall Fortress, but faces overwhelming odds. We must reinforce his army and reunite with our companions.","Лисандер смох укрепиться в крепости Иствол, но враг сильно превосходит численностью. Надо отправится ему на подмогу.",
Chapter 20: Wild Card,Глава 20: Тёмная лошадка,
The Historium Magnus has been stolen! We know the thief has fled to the active volcano at Mount Karnac.,"Историум Магнус украден! Известно, что вор отправился в сторону горы Карнак, действующего вулкана.",
"Nephilim Base near Sandraka, Year 999","База нефилимов близ Сандрака, 999 год",
Chapter 21: Liberating Sandraka,Глава 21: Освобождение Сандрака,
"We have established a strongpoint on the Sandraka continent. If we can seize the large city of Crestmoor, we will strike a critical blow to Casamir's grip on the South.","Мы заняли уверенные позиции на континенте Сандрака. Теперь осталось захватить крупный город Крестмур, чтобы вытеснить силы Казамира из южных территорий.",
"Greywind Peak, Year 999","Пик Грейвинд, 999 год",
Chapter 22: Greywind Peak,Глава 22: Пик Грейвинд,
"Greywind Peak stands before us, and within it, Diana's destiny as a fully-realized Nephilim warrior.","Прямо по курсу Пик Грейвинд, где Диана наконец сможет исполнить своё предназначение и стать полноценным воином-нефилимом.",
"Nephilim Army Sayunaa Front Base, Year 999","Передовая база нефилимов в Саюна, 999 год",
Chapter 23: Unwise Alliance,Глава 23: Неразумный союз,
"The Kingdom of Sayunaa has subjugated itself to Casamir to avoid war, and has disposed of their own monarchs. We must try to rein in the Sayunaari, by any means necessary.","Королевство Саюна перешло под подданство Казамира, чтобы избежать войны. Теперь у них нет монархии. Но нам надо переманить саюнари на свою сторону чего бы это ни стоило.",
"Ezrum, Year 999","Эзрум, 999 год",
Chapter 24: Scorched Sands,Глава 24: Выжженные пески,
"The Sayunaari have thrown in completely for Casamir, and against us. We must try to salvage the situation. By reducing their warmaking ability, we may demoralize them enough to call for peace.","Саюнари встали на сторону Казамира и бросили свои силы против нас. Нужно срочно что-то делать. Если снизить эффективность их армии, возможно, это заставит их пойти на мирные переговоры.",
"Fort Dakur, Year 999","Форт Дакур, 999 год",
Chapter 25: Kingdom of Gold,Глава 25: Царство золота,
"The golden city of Sayunaa's capital lies before us. Regent Lord Cyrus stands defiant, throwing many unwilling Sayunaari into battle. May Donar bring this war to an end soon.","Отсюда уже виден золотой город, столица Саюна. Лорд-наместник Сайрус не готов признать поражение и бросает в бой саюнари, многие из которых не хотят этой войны. Донар, помоги нам скорее закончить это кровопролитие.",
"Nephilim Army Front Base outside Stormrook, Year 999","Передовая база армии нефилимов близ Штормрука, 999 год",
Chapter 26: Stormrook Looms,Глава 26: В тени Штормрука,
"With Sayunaa and its resources on our side, our army has grown powerful. We now face a massive clash in the Rimorgue River Valley. If we can conquer Stormrook and Rimorgue, Casamir is doomed.","Теперь саюнари и их ресурсы на нашей стороне, и наша армия сильна как никогда прежде. Теперь нам предстоит крупное сражение в долине реки Риморг. Если мы завоюем Штормрук и Риморг, то Казамиру настанет конец.",
"Nephilim Army Front Base at Armitage, Year 999","Передовая база армии нефилимов в Армитаже, 999 год",
Chapter 27: Return to the Origin,Глава 27: Возвращение к истокам,
"Casamir refuses to surrender despite obvious defeat. As we move to conquer Armitage, we must consider the lives of the Imperial soldiers whose morale is broken and are desperate for peace.","Положение Казамира безвыходное, но он отказывается сдаваться. Наша армия на подходе к Армитажу, но не стоит понапрасну жертвовать жизнями имперских солдат, ведь их моральный дух сломлен и они просто хотят мира.",
"Armitage Base, Year 999","База в Армитаже, 999 год",
Chapter 28: Downfall,Глава 28: Низвержение,
"The enemy has holed himself up in the Imperial Palace. The Followers of Zanatus have mobilized their most deadly forces. Have no mercy for the cultists, or Casamir.",Вражеские силы забаррикадировались в имперском дворце. Это лучшие войска Последователей Занатуса. Культисты и Казамир не заслужили пощады.,
"Imperial Palace, Year 999","Имперский дворец, 999 год",
Chapter 29: Zenith of the World,Глава 29: Зенит мира,
"The Avatar of Donar is but a few steps from full realization, and the remnants of the Followers of Zanatus are the last barrier in our way. We soon face the cult Grandmaster...","Осталось совсем немного, прежде чем Аватар Донара сможет набрать полную силу. Но на пути стоят оставшиеся воины Последователей Занатуса. Скоро нам придётся сразиться с самим магистром культа...",
"Gateway at Mount Ptolomea, Year 999","Врата на горе Птоломея, 999 год",
Chapter 30: Armageddon,Глава 30: Армагеддон,
All of the seals between the Divine Realm and the Mortal Realm are now broken. Armageddon has again come to Tahnra. Destroying Zanatus is the only way to avoid total annihilation.,"Теперь не осталось барьеров между миром смертных и Царством богов. Над Танрой снова нависла угроза армагеддона. Чтобы избежать его, придётся убить Занатуса.",
Gaiden Chapter A: Unrelenting Ambition,"Гайден, глава А: Ненасытные амбиции",
"Sybil's recklessness has thrown us into a melee with the Imperial forces at the Felnamia provice. We must both save Sybil, and seize Felnamia.",Необдуманные действия Сибил привели к вынужденному конфликту с имперскими войсками в провинции Фелнамия. Теперь у нас две задачи: спасти Сибил и захватить Фелнамию.,
Gaiden Chapter B: Dragon's Haven,"Гайден, глава B: Убежище дракона",
"The enemy has sought to monopolize war Dragons by annihilating broods not within their control. Azuros, an ancient monarch, could be a powerful ally if we can intercept the Imperial attackers in time.","Враги решили установить полный контроль над драконами и истребляет все драконьи семейства, которые им не подчиняются. Древний король драконов Азурос мог бы стать для нас сильным союзником, если мы помешаем имперским силам уничтожить его.",
Gaiden Chapter C: No Mercy for the Merciful,"Гайден, глава C: Милосердие не останется безнаказанным",
We have located one of the largest child detention complexes in the world. This evil cannot be allowed to continue. Wipe out the enemy completely.,"Мы выяснили местоположение одного из крупнейших лагерей, где удерживают похищенных детей. Такое зло не должно остаться безнаказанным. Надо уничтожить врага.",
Gaiden Chapter D: Clockwork City,"Гайден, глава D: Механический город",
Casamir has always had an abundance of firearms and cannons at his disposal. It's time to break into their Pyrocite stores in Sandraka City and take this advantage for ourselves.,У Казамира никогда не было недостатка в огнестрельном оружии и артиллерии. Настала пора нам захватить склады пироцита в городе Сандрака и тоже завладеть таким вооружением.,
Gaiden Chapter E: Ishtar's Lament,"Гайден, глава E: Плач Иштар",
"I can't shake this feeling, it is familiar, but unsettling...","Никак не могу избавиться от этого вроде бы знакомого, но такого тревожного чувства...",
Bronze Arena,Бронзовая арена,
Silver Arena,Сереб. арена,
Gold Arena,Золотая арена,
Platinum Arena,Платиновая арена,
Endurance Trial,Испытание выносливости,
Legends 1A: Promise of Peace,Легенды 1A: Надежда на мир,
Florina Iblis's claim to the Imperial throne brings hopes for the end to the Succession War. But surely the claim will be contested...,Заявка на престолонаследие Флорины Иблис могла бы положить конец Войне за престол. Однако вряд ли конкуренты допустят её до трона без боя...,
Legends 1B: Defend the Claim,Легенды 1B: Защита твердыни,
The pretenders to the throne have launched a final desperate bid to stop Florina's coronation. Defend Imperial territory from invasion!,"Претенденты на престол готовы на всё, чтобы не допустить восхождения Флорины на трон. Защитите имперские территории от вторжения!",
Legends 2: Barek Tor,Легенды 2: Барек Тор,
,,
Legends 3A: Whispers from Grothnor,Легенды 3A: В Гротноре всё не спокойно,
Fort Rittenbach has claimed another scout party... missing without explanation. Duke Jaromir mobilizes his army to personally investigate.,"В районе форта Риттенбах снова бесследно пропал отряд разведчиков. Герцог Яромир поднял армию и намерен выяснить, в чём же дело.",
Legends 3B: Life and Unlife,Легенды 3B: Жизнь и нежизнь,
"Grothnor's undead hordes have reached as far as Embor, and the other nobles refuse to help. Defend Embor at all costs!","Полчища нежити из Гротнора уже достигли Эмбора, но другие дворяне отказываются помогать. Защитите Эмбор любой ценой!",
Legends 4: Pendergast's Folly,Легенды 4: Ошибка Перндергаста,
Legends 5: Shadowchaser,Легенды 5: Теневой охотник,
Legends 6: Queen of Dragons,Легенды 6: Королева драконов,
"Azuros has left suddenly. Scouts report a rival brood, controlled by the Archaelus Empire, has threatened Azuros's hidden brood hive.","Азурос внезапно куда-то улетел. Разведчики сообщают, что другой драконий род, который подчиняется Империи Архаилус, грозится уничтожить род Азуроса, который и без того вынужден скрываться.",
Grassland,Трава,
Ramp,Подъём,
Cliffs,Утёс,
Hazard,Опасность,
Lava Cave,Лавовая пещера,
High Ground,Возвышенность,
Ladder,Лестница,
Road,Дорога,
Bridge,Мост,
Dungeon,Подземелье,
Shadows,Тени,
Ambush Trench,Траншея для засады,
Industrial,Промышленный,
Tower,Башня,
Throne,Трон,
Divine Realm,Царство богов,
Hills,Холм,
Plains,Равнина,
Wheat Field,Пшеничное поле,
Town,Город,
Wall,Стена,
Desert,Пустыня,
Snow,Снег,
Woods,Деревья,
Forest,Лес,
Water,Вода,
Swamp,Болото,
Ship,Корабль,
Sky,Небо,
Mountains,Горы,
Mine,Шахта,
Stables,Конюшня,
Fort,Форт,
Base,База,
Temple,Храм,
Village,Деревня,
Bazaar,Базар,
Slow,Медленные,
Light,Лёгкие,
Infantry,Пехота,
Cavalry,Кавалерия,
Flying,Летающие,
Clear,Ясно,
Cloudy,Облачно,
Overcast,Пасмурно,
Rainy,Дождливо,
Storm,Буря,
Snowy,Снежно,
Blizzard,Метель,
Indoors,В помещении,
Stormy,Гроза,
Heat Wave,Жара,
"Ah, there you are, child of destiny. You've arrived\NEWLINE  at a very opportune time, you will find.","Ах, вот и ты, дитя судьбы. Я тебя\NEWLINE давно уже жду.",
"Let me look into your heart. Who are you? Will your\NEWLINE  journey be marked by virtue, or will this land's people\NEWLINE  remember you as an adversary?","Позволь взглянуть на твоё сердце. Кто ты? Запомнят\NEWLINE  тебя добродетельным человеком, или жители этих земель\NEWLINE  запомнят тебя как своего врага?",
"Thank you. What an intriguing soul! Go, and I will\NEWLINE  see you here again when the time is right.","Благодарю. Какая необычная душа! Ступай,\NEWLINE  увидимся снова, когда придёт время.",
"Go forth, and leave your mark on this world!",Иди и оставь свой след в этом мире!,
Which form suits you?,Выбери свой внешний вид.,
Please tell me your name.,Скажи мне своё имя.,
So you have chosen...,"Итак, ты выбираешь...",
Yes,Да,
No,Нет,
"When on death's door, what will you consider a life well-lived?","Будучи на смертном одре, какую жизнь\NEWLINE ты сочтёшь прожитой не зря?",
I did it all my way,"Ту, где все решения были только моими",
I fulfilled who I was meant to be,"Ту, где мне довелось исполнить своё предназначение",
Many will mourn my passing,"Ту, где мою гибель оплакивает множество людей",
"A desperate beggar corners you, demanding money.\NEWLINEWhat do you do?","Отчаявшийся попрошайка не даёт тебе пройти, выпрашивая деньги.\NEWLINEТвои действия?",
Intimidate him into backing down.,Запугаю его и заставлю уйти.,
Talk your way out of the situation.,Попробую найти выход из положения с помощью слов.,
Offer him a warm meal at the local pub.,Предложу угостить его горячим обедом в местной забегаловке.,
What is the most important trait a leader should have?,Какая самая главная черта для лидера?,
The ability to bring people together,Способность сплачивать людей под своими знамёнами,
An unshakeable love for the people,Непоколебимая любовь к людям,
The power to command respect and fear,Способность вызывать уважение и страх,
What most leads to the downfall of great civilizations?,Какая главная причина падения великих цивилизаций?,
Faithlessness,Потеря веры,
Poverty,Нищета,
Intolerance,Отсутствие толерантности,
"You were blessed with a child. \NEWLINEIf you could choose their fate, what would it be?",У тебя появился ребёнок. \NEWLINEКакую судьбу тебе бы хотелось для него?,
A famous musician,Знаменитый музыкант,
A great general,Великий генерал,
A devout follower of the faith,Преданный последователь религии,
What do you look for most in a mate?,Что больше всего тебя привлекает в потенциальном партнёре?,
Beauty,Красота,
Wealth and Prestige,Богатство и престиж,
Intellect,Интеллект,
"As a potential ruler in difficult times, \NEWLINEwhat are your most effective tools?","Будучи правителем в непростое время, \NEWLINEкакое основное качество тебе бы больше всего пригодилось?",
Your kind heart,Моё доброе сердце,
Your inspiring charisma,Моя вдохновляющая харизма,
Fear,Умение внушать страх,
Which personal flaw do you want to avoid most?,Каким из плохих качеств тебе ни за что не хотелось бы обладать?,
Deceptive and exploitative,Обманывать и эксплуатировать людей,
Easily manipulated,Легко поддаваться манипуляциям,
Lack of Willpower,Проявлять малодушие,
You must give up your most valuable possession. \NEWLINEWhat is it?,"Если тебе придётся пожертвовать тем, чем дорожишь больше всего, \NEWLINEчто это будет?",
Your vast wealth,Своё огромное богатство,
Your battle prowess,Свои выдающиеся боевые навыки,
Your faith,Своя вера,
"Allows us to access the Bronze Arena from Home Base, then the Token is consumed. The Bronze Arena takes place in a Temperate climate, offers a low challenge, and modest rewards.","Используйте знак, чтобы получить доступ на бронзовую арену с главной базы. Бои бронзовой арены происходят в умеренном климате против врагов низкой сложности и дают относительно небольшие награды.",
"Allows us to access the Silver Arena from Home Base, then the Token is consumed. The Silver Arena takes place in a Tundra climate, offers a medium challenge, and good rewards.","Используйте знак, чтобы получить доступ на серебряную арену с главной базы. Бои серебряной арены происходят в тундре против врагов средней сложности и дают относительно хорошие награды.",
"Allows us to access the Gold Arena from Home Base, then the Token is consumed. The Gold Arena takes place in a Desert climate, offers a high challenge, and excellent rewards.","Используйте знак, чтобы получить доступ на золотую арену с главной базы. Бои золотой арены происходят в пустыне против врагов высокой сложности и дают отличные награды.",
"Allows us to access the Platinum Arena from Home Base, then the Token is consumed. The Platinum Arena takes place in a Temperate climate, offers the greatest challenge, and incredible rewards.","Используйте знак, чтобы получить доступ на платиновую арену с главной базы. Бои платиновой арены происходят в умеренном климате против врагов наивысшей сложности и дают превосходные награды.",
"To embrace your destiny, and become who you are, is life's greatest purpose.",Высшее достижение в жизни — это найти своё предназначение и исполнить его.,
"Used to unlock a huge amount of classes. Required for all Heavy Infantry and Heavy Cavalry, as well as many high-end Light Infantry and Cavalry, Archery, and Firearms units.","Позволяет открыть множество классов войск. Требуется для тяжёлой пехоты, тяжёлой кавалерии, многих видов продвинутой лёгкой пехоты, а также для кавалерии, лучников и огнестрельных юнитов.",
"Used to unlock high-end attackers. Required for Champion, Centurion, Knight, Assassin, Warbow, and Swordmaster.","Позволяет открыть продвинутых атакующих юнитов. Требуется для героя, центуриона, рыцаря, ассасина, мастера-лучника и мастера-мечника.",
"Used for high-end Mage and Support units. Required for Paladin, Valkyrie, Fire Mage, Lightning Mage, Ice Mage, Sorceress, and Templar.","Позволяет открыть продвинутых магов и юнитов поддержки. Требуется для паладина, валькирии, мага огня, мага молнии, мага льда, чародейки и храмовника.",
"Used as a baseline resource for all Magicians, as well as Priestess, Templar, and Hospitaller.","Основной ресурс для всех магов, а также для чародейки, храмовника и госпитальера.",
"Used to create Firearms. Required for Gunner, Dragoon, and Siege Cannon.","Позволяет создавать огнестрельное оружие. Требуется для стрелка, драгуна и осадной пушки.",
Required for all forms of Cavalry.,Требуется для всех видов кавалерии.,
Gain a small amount of gold per fallen enemy defeated in any combat,Даёт немного золота за каждого павшего в бою врага,
Defensive bonuses from Terrain are 50% more effective,Защитные бонусы от местности на 50% более эффективны,
Deal 20% more and take 20% less damage if Covering the Squad Leader,"Наносит на 20% больше и получает на 20% меньше урона, если прикрывает лидера отряда",
Unit deals +25% damage for every incapacitated Unit in this Squad,Этот юнит наносит +25% урона за каждого побеждённого союзного юнита в отряде,
"Deal damage to enemy Morale, increases as STR increases","Снижает боевой дух врагов, повышается по мере роста СИЛ",
This unit is more likely to be targeted by enemies in battle,Этот юнит с повышенной вероятностью будут атаковать враги в бою,
Unit is less likely to be targeted by enemies in battle,Этот юнит с меньшей вероятностью будут атаковать враги в бою,
Unit takes 25% less damage when under 50% Max HP,"Этот юнит получает на 25% меньше урона, когда остаётся менее 50% от макс. ОЗ",
Enemies cannot Critical Hit this Unit,Этот юнит невосприимчив в крит. урону от врагов,
Critical hits bypass 100% of target armor,Критические удары игнорируют 100% вражеской брони,
Critical damage increased by 50%,Критический урон выше на 50%,
Archery units in this Squad cost 2 less capacity,Лучники в этом отряде отнимают на 2 меньше от размера отряда,
Heavy Infantry units in this Squad cost 2 less capacity,Тяжёлая пехота в этом отряде отнимает на 2 меньше от размера отряда,
Heavy Cavalry units in this Squad cost 2 less capacity,Тяжёлая кавалерия в этом отряде отнимает на 2 меньше от размера отряда,
"Unit can no longer Critical Hit, but deals +15% damage","Этот юнит не сможет наносить крит. урон, но будет наносить +15% своего обычного урона",
"Unit has a chance, based on SKL, to prevent its primary target from counter-attacking in the same battle","С некоторым шансом, в зависимости от НАВ, этот юнит блокирует контратаку выбранного врага в ходе боя",
Bonuses to Hit confer a partial bonus to critical hit chance (max: 15%),Бонусы к точности дают небольшой бонус к шансу крит. удара (но не более +15%),
Dealing Critical Hits restore a small amount of HP,Каждый крит. удар восстанавливает немного ОЗ,
"Any Archery attacks from this unit will ignore the penalty for firing at Walls, or Woods from 2+ Range",Все атаки из лука этого юнита с расстояния 2+ игнорируют штрафы за стрельбу по стенам и по лесу,
Unit does +50% more damage to Dragons.,Этот юнит наносит +50% урона драконам.,
Unit gains resistance to Magician and Dragon attacks as STR increases,По мере роста СИЛ этого юнита также растёт его устойчивость против атак багов и драконов,
Gain +3 STR at the start of battle for every Unit in the enemy Squad,В начале боя получает +3 СИЛ за каждого юнита во вражеском отряде,
Unit has a chance for an extra action for every enemy below 25% HP at the end of combat,"За каждого врага, у которого в конце боя осталось ниже 25% ОЗ, этот юнит получает шанс на дополнительное действие",
"When being healed, the effect is increased by 50%",+50% к эффекту от получаемого лечения,
+25% damage to already damaged enemies,+25% к урону уже раненым врагам,
"When an ally is healed, this unit is also healed for 25% of the effect","Если союзник лечится, то этот юнит также лечится на 25% от эффекта лечения",
"At the start of battle, gain a barrier equal to 50% of MAG",В начале боя получает барьер прочностью 50% от МАГ,
Gain STR equal to 25% of MAG,Получает больше СИЛ на 25% от уровня МАГ,
Gain SKL equal to 33% of MAG,Получает больше ОПТ на 33% от уровня МАГ,
Gain MaxHP equal to 100% of MAG,Получает больше макс. ОЗ на 100% от уровня МАГ,
Deal +25% damage while on defense,Наносит +25% урона в защите,
Unit has a chance to take another action in battle based on lower %HP remaining,"Чем ниже ОЗ этого юнита в конце боя, тем выше его шансы на дополнительное действие",
"Once per Chapter, this unit will survive an enemy turn that would otherwise be fatal",Один раз в каждой главе этот юнит выживает во время смертельной атаки при ходе врага,
"Unit does +50% more damage to Rogues, Assassins, and Magician units","Этот юнит наносит +50% урона разбойникам, ассасинам и магам",
Firearms units in this Squad cost 2 less capacity,Огнестрельные юниты в этом отряде отнимают на 2 меньше от размера отряда,
Restore a small amount of HP when an enemy unit is killed in combat,При гибели врага в бою этот юнит восстанавливает немного ОЗ,
"When this Squad uses Forced Surrender, Enemy Units are more likely to Surrender",С повышенной вероятностью заставляет врагов сдаться при использовании принуждения к сдаче,
Increased drop chance when destroying or forcing the surrender of enemy Squads,"Повышенный шанс получить награду, если вражеский отряд уничтожен или сдался",
"Squad is immune to negative effects of Blizzard weather, and gains bonus evasion in Blizzard and Snow",Этот отряд игнорирует штрафы за метель и получает бонус к уклонению в метели и снегу,
Squad is immune to Heat Wave and Desert movement penalty,Этот отряд игнорирует штрафы к движению от жары и пустыни,
Trait Learnable,Обучаемая черта,
Use a tome to learn a trait in this slot!,Том позволяет изучить черту в этой ячейке!,
Polearm Warrior,Древковое оружие,
"Increases attack versus Cavalry units by 35%, and grants immunity to Shock",Получает +35% к атаке против кавалерии и иммунитет от шока,
35% bonus damage to firearms troops,Наносит +35% урона огнестрельным юнитам,
Guardian,Хранитель,
Unit takes -25% damage while on defense,Этот юнит получает –25% урона в защите,
Magic Armor,Магическая броня,
Reduces incoming spell damage by 50% of Armor.,Снижает получаемый урон от заклинаний на 50% от параметра брони.,
Stealth Attack,Скрытная атака,
Attack rear row without penalty on the first round of combat,В первом раунде боя атакует тыл вражеского отряда без штрафа,
Guerilla,Партизан,
Bonus hit and evasion when standing in rough terrain and/or on Offense,Бонус к точности и уклонению на пересечённой местности и/или в нападении,
Firearms Slayer,Убийца огнестрелов,
+35% damage to firearms,+35% к урону против огнестрельных юнитов,
Hit and Run,Бей и беги,
Bonus hit and evasion when standing in Open terrain and/or on Offense,Бонус к точности и уклонению на открытой местности и/или в нападении,
Shadowchaser,Теневой охотник,
Bonus movement in Ambushable terrain and ignore enemy Zones of Control,"Получает бонус к движению в зоне возможной засады, также игнорирует вражеские зоны контроля",
Imposing,Внушительность,
Noisy Cricket,Шумный сверчок,
Squad loses 15% threat for the purposes of being targeted (more likely to be targeted),Этот отряд выглядит на 15% менее опасным для врагов (которые атакуют его с большей вероятностью),
Combat Medic,Военный лекарь,
Support units in this squad heal for 20% more,Союзные юниты поддержки в том же отряде лечат на 20% более эффективно,
Hospitaller,Госпитальер,
Out-of-battle Healing is 25% stronger,Вне боя лечит на 25% более эффективно,
Unassuming,Неприметность,
Archer Captain,Капитан лучников,
Soldier Captain,Капитан солдат,
Knight Captain,Капитан рыцарей,
Melee Cavalry units in this Squad cost 2 less capacity,Юниты кавалерии ближнего боя в этом отряде отнимают на 2 меньше от размера отряда,
Bowmanship,Мастерство лука,
Arcane Vigor,Магический тонус,
Gain Max HP equal to 100% of MAG,Получает макс. ОЗ в размере 100% от уровня МАГ,
Arcane Might,Магическая сила,
Arcane Speed,Магическая скорость,
Coldblooded,Хладнокровие,
Beacon,Маяк,
Colossal,Колосс,
"Cannot dodge, deals increased morale damage","Не может уклоняться, сильнее снижает боевой дух врагов",
Desperation,Отчаянность,
Smite,Праведный удар,
Dragonslayer,Убийца драконов,
Unit does +50% more damage to Dragons,Этот юнит наносит +50% урона драконам,
Field Marshal,Трибунал,
+10 Hit/Evade to entire army while squad is deployed,"+10 к точности/уклонению всей армии, если этот отряд развёрнут",
Bloodlust,Кровожадность,
Genbu Shell Fragment,Фрагмент панциря Генбу,
Soha's Blood Shard,Кровавый кристалл Сохи,
Giant's Thresher,Гигантская коса,
"Squad does +25% damage to larger Squads, and -25% damage to smaller Squads",Этот отряд наносит +25% урона более крупным отрядам и –25% отрядам меньшего размера,
Sayunaari War Pike,Боевая пика саюнари,
Squad does +15% damage to Cavalry,Этот отряд наносит +15% урона кавалерии,
