ENGLISH,Russian
Trait: Smite,Черта: Праведный удар
Trait: Shock and Awe,Черта: Шок и трепет
Trait: Bloodlust,Черта: Кровожадность
Trait: Silver-Tongued,Черта: Красноречие
Trait: Treasure Hunter,Черта: Охотник за сокровищами
Trait: Tundra Warrior,Черта: Воин тундры
Trait: Desert Warrior,Черта: Воин пустыни
"""This battlefield, suspended in the clouds is reserved for all the fiercest and most celebrated warriors.""",«Это поле битвы парит облаках. Здесь встречаются самые неистовые и прославленные воины».
Mark of the Risen,Метка Восставшего
Use on any Tier 3 Mage or Support Unit to class change them to a Necromancer.,"Снарядите на мага или юнит поддержки 3 ранга, чтобы изменить его класс на некроманта."
Defiled Donari Tome,Осквернённый том Донари
Use on any Tier 3 Mage or Support Unit to class change them to a Dark Mage.,"Снарядите на мага или юнит поддержки 3 ранга, чтобы изменить его класс на Тёмного мага."
Trait: Benevolent,Черта: Великодушие
Trait: Liberator,Черта: Освободитель
Trait: Rally,Черта: Сбор
Trait: Barricade,Черта: Баррикада
Trait: Pacifist,Черта: Миролюбие
Trait: Wide Guard,Черта: Широкая защита
Book of Unlife,Книга нежизни
Use during Squad Organize to summon a persistent Risen.,Можно использовать в меню управления отрядом для призыва восставших юнитов на постоянной основе.
Blank Tome,Пустой том
Copy a Learned Trait,Скопировать изученную черту
