ENGLISH,RUSSIAN
"Your Army is organized into Squads. Squads are comprised of between 1 and 9 units, with one of them serving as the Squad Leader.\\PARSquad Capacity, the ability to include more units and artifacts, is determined by the LDR stat of the Squad Leader.\\PARSquad unit composition determines Squad Type, which affects movement and combat.\\PARUse the 'Organize' command in Home Base and Deployment phases to create, disband, and edit your Squads. You are also able to change class, equipment, traits, and assign Squad Leader.","Ваша армия состоит из отрядов. В отряде состоит от 1 до 9 юнитов, включая лидера отряда.\\PARРазмер отряда или способность вместить в отряд больше юнитов или артефактов определяет ЛДР лидера отряда.\\PARТип отряда зависит от того, какие юниты в него входят. Отряды разных типов двигаются и сражаются по-разному.\\PARВоспользуйтесь командой «Армия» на экране главной базы, чтобы создавать, распускать и редактировать отряды. Кроме того, вы можете изменять класс, снаряжение и черты юнитов, а также назначать лидеров отрядов. Это также можно сделать на стадии развёртывания."
Moving and Attacking,Движение и атака
"Squads move on the Tactical Map at your command. When first selecting a Squad, you will be given the option to move them to a tile within their movement range.\\PARSquads can attack before OR after moving, but if a Squad attacks, its turn is automatically over. The exception is Cavalry Squads, who can move after attacking.","Отряды двигаются по тактической карте, повинуясь вашим приказам. Вы можете выбрать отряд и переместить его в пределах его максимальной дальности движения.\\PARОтряды могут атаковать до или после движения, но если отряд атакует, то его ход автоматически завершается. Исключением являются отряды кавалерии, которые могут двигаться после атаки."
Settlements,Поселения
"Villages, Towns, Castles, and Palaces are Settlements. When captured, these grant you Faction XP and Gold.","Деревни, города, замки и дворцы являются поселениями, за захват которых вы получите опыт фракции и золото."
Mines,Шахты
"Provides resources, including Iron, Gems, Gold, Obsidian, Pyrocite, and Sunstone.","Шахты обеспечивают вас ресурсами: железом, самоцветами, золотом, обсидианом, пироцитом и янтарём."
Bases,Базы
"Powerful defense bonuses for the gate defender. If one enemy Squad lands on the entrance tile to your Home Base, you will be defeated. Can usually Deploy squads mid-mission from Home Base. -10% damage taken from all attacks to a squad on the Base tile. -40% additional damage taken from range 2+ attacks.","Расположенные на базах защитники получают огромные бонусы. Если вражеский отряд достигнет клетки входа на вашу главную базу, то вы проиграете. Во время миссии с вашей главной базы обычно можно вызвать подкрепления. Отряды на базе получают –10% урона и дополнительно –40% урона от атак с расстояния 2+."
Forts,Форты
Grants a bonus to high ground and evasion to the defender. -10% damage taken from all attacks to a squad on the Fort tile.,Увеличивают уклонение и дают защитникам бонусы возвышенности. Отряды в форте получают –10% урона от атак.
Forests,Леса
Rough Terrain. Ambushable Terrain. Provides a 50% evasion bonus against range2+ archery attacks.,Вид пересечённой местности. Позволяют устраивать засады. Дают бонус 50% уклонения от атак из луков с расстояния 2+.
Hills,Холмы
Rough Terrain. Ambushable Terrain. High Ground.,Вид пересечённой местности. Позволяют устраивать засады. Дают бонус возвышенности.
Allies (Green Army),Союзники (Зелёная армия)
"Allied Squads will appear in Green on the Tactical Map. Allies move on their own, and will be fighting against the same enemy as you. They cannot attack you, and you cannot attack them.","Союзные отряды выделены на тактической карте зелёным цветом. Союзники не находятся под вашим контролем, двигаются самостоятельно и сражаются против тех же врагов. Они не могут атаковать вас, а вы не можете атаковать их."
Roads,Дороги
Open Terrain. Provides a tile movement bonus.,Открытая местность. Дают бонус к движению.
Walls,Стены
Special defense Terrain. Provides high ground. Defense bonus vs Squads not on a Wall. Blocks melee attacks from the ground and blocks tile map movement. Can be traversed via a Ramp.,"Особая оборонительная местность. Дают бонус возвышенности. Дают бонус в защите против отрядов, которые не находятся на стене. Блокирует проход и атаки наземных юнитов ближнего боя. Можно пройти только по специальной рампе."
Cavalry,Кавалерия
"If the majority of a Squad's Capacity cost is from Cavalry unit types, it becomes a Cavalry Squad.\\PARCavalry Squads can move faster in 'Open' terrain, and can move after attacking. In the Tactics tech tree, Cavalry can learn how to perform a 'Charge Attack' when moving a large number of tiles in the same turn, and both attacker and defender are in Open Terrain.\\PARCavalry units are all vulnerable to Polearm users, or Hussars, an advanced Light Cavalry Class.'Hit and Run' is a feature of Normal Cavalry and Light Cavalry Squad Types. After taking an action such as attacking or healing, a Cavalry Squad can then move again using half of their original total Movement Points.","Если большая часть отряда состоит из кавалерии, то отряд считается кавалерийским.\\PARКавалерия быстрее двигается по открытой местности и может продолжить ход даже после атаки. Если кавалерия перед атакой двигается по открытой местности на большое расстояние и враг тоже находится на открытой местности, то отряд атакует с разбега.\\PARКавалерия уязвима для древкового оружия или гусаров — улучшенного класса лёгкой кавалерии. Обычная и лёгкая кавалерия стандартно используют тактику «Бей и беги». После атаки или лечения отряд кавалерии может двигаться на половину от своих макс. очков движения."
Stables,Конюшни
Provides War Horse resources when captured.,После захвата обеспечивают вас лошадьми.
Donari Temples,Храмы Донари
"Visit a Temple to refresh out-of-battle heals, and revive defeated allies, for a gold fee.","Посетите храм, чтобы пополнить заряды исцеления вне боя или воскресить погибших союзников."
Conscripts and Mercenaries,Рекруты и наёмники
"Conscripts are fresh, untrained recruits that are cheap and unlimited. Mercenaries are strong, but expensive, and not as loyal to your cause, but often come with their own gear and special traits.\\PARConscripts are the first 4 slots in the recruiting pool in the Home Base market.","Рекруты — это дешёвые и неопытные солдаты, доступные в неограниченном количестве. Наёмники — это сильные, но дорогие воины, которые не очень преданы вашему делу, зато зачастую они обладают своим снаряжением и особыми чертами.\\PARРекрутов можно приобрести в первых четырёх ячейках на рынке главной базы."
Artifacts,Артефакты
Artifacts modify the entire Squad. Effects can be positive or negative. Up to 3 Artifacts can be equipped on a Squad with full technology.,"Артефакты влияют на весь отряд. Эффекты от них могут быть положительными или отрицательными. Отряд может использовать до 3 артефактов, если изучены соответствующие технологии."
Stealth,Скрытность
"Assassins, Rogues, and Stefan's unit Classes are able to execute Stealth attacks. A Stealth attack is achieved when attacking as one of these Classes.\\PARWhen Stealth attacking, your attacks automatically target the back of the enemy formation.\\PAROn defense, these classes attack normally.","Ассасины, разбойники и юниты того же класса, что и Стефан, могут проводить скрытные атаки. Скрытная атака происходит, когда нападает один из этих классов.\\PARСкрытные атаки автоматически нацеливаются на тыл вражеского отряда.\\PARВ защите эти классы проводят обычные атаки."
Zanatus,Занатус
"The demonic being who dominated humanity over 1000 years ago. Is the antithesis of Donar in every way. Origins still unknown, but the best translations and accounts can be summarized in a way that paints Zanatus as something not of this world. Something disturbingly unfamiliar to Donar's creation. Defeated in battle by the Avatar of Donar when stabbed through the heart with the holy blade, Lightfury.","Могущественный демон, поработивший человечество 1000 лет назад. Во всех смыслах противоположность Донара. Его происхождение до сих пор не установлено, но наиболее точные переводы древних текстов и предания указывают на то, что Занатус не является частью нашего мироздания. Он вторгся извне в мир, созданный Донаром. В решающей битве Занатуса одолел Аватар Донара, пронзив сердце противника священным оружием под названием Ярость Света."
Battle of Mount Ptolomea,Битва на горе Птоломея
"Date: Year 0\\PARThe confrontation between Zanatus and the five Nephilim, The Avatar of Donar, Galzus, Landis, Cyrene, and Ishtar. Just before this battle, the Avatar of Donar had lead a resistance effort to attempt to liberate Humanity from Zanatus's tyranny. In the final, desperate moments before ultimate defeat, the five experienced a divine intervention, infusing them with godlike power, divine weapons, and changed them from human to Nephilim by blood. Zanatus was ill-prepared for this, and the Nephilim destroyed the demon with a final blow from Lightfury. Zanatus's armies, who relied completely on the demon's singular leadership, fled in disarray, allowing humanity to break its shackles and win its salvation. Thereafter, the Donari Temple was founded, and the Nephilim canonized as gods.","Время событий: 0 год текущей эры.\\PARШёл конфликт между Занатусом и пятью нефилимами, в число которых вошли Аватар Донара, Гальзус, Ландис, Кирена и Иштар. Незадолго до этой битвы Аватар Донара возглавил армию сопротивления в попытке освободить человечество от гнёта Занатуса. Битва уже шла к завершению, поражение казалось неминуемым, когда в результате божественного вмешательства пятеро героев получили сверхъестественные силы и божественное оружие, а сами они перестали быть людьми и стали божественными сущностями. Занатус был застигнут врасплох, и нефилимам удалось поразить врага человечества с помощью Ярости Света. Армии Занатуса, неспособные действовать без постоянного понукания демона, обратились в бегство. Человечество было спасено, начался период восстановления от тирании. Вскоре после этого был основан Храм Донари, а нефилимов канонизировали как богов."
Donar,Донар
"The creator of Tahnra and all things. Nature unknown, but is the being from which all of the Donari Temple's beliefs evolved. Believed to reside in a higher dimension commonly referred to as the ''Divine Realm''. Thought to have only made its presence known in the mortal realm once, during the intervention against Zanatus, but this is not confirmed. Donar's power has been infused into the divine weapons, and in the bloodline of the Nephilim. Commonly confused with the Avatar of Donar, who is often referred to simply as Donar. In the Temple scriptures, very little distinction is made between the mortal Nephilim who defeated Zanatus, and the creator god of all things. The Avatar of Donar represents the virtue of Truth, and the element of Light.","Создатель Танры и всего сущего. Его происхождение неизвестно, но он является оплотом веры последователей Храма Донари. Считается, что Донар обитает в божественном мире, в так называемом Царстве богов. По легендам, Донар напрямую вмешивался в жизнь мира людей лишь однажды, чтобы помочь человечеству одолеть Занатуса, однако нельзя исключать, что были и другие случаи. Сила Донара осталась в этом мире и хранится в божественном оружии, а также течёт в крови нефилимов. Нередко Аватара Донара путают с самим Донаром. Даже в храмовых писаниях почти отсутствуют указания на то, что смертный нефилим, победивший Занатуса, и создатель мироздания — это де одно и то же. Аватар Донара считается носителем Правды и владеет стихией Света."
"Lightfury, Sword of Donar","Ярость Света, меч Донара"
"Of course the divine weapon of the Avatar of Donar. However, this weapon seems unique among the other divine weapons. Lightfury has existed in Tahnra long before the Battle of Mount Ptolomea. Scholars and theologians have thrown around many beliefs and theories about Lightfury. The prevailing wisdom is that Lightfury is as old as Tahnra itself, and is the personal tool of Donar... his primary way of manifesting in the mortal realm wherever it is needed.","Само собой, этим божественным оружием дано повелевать лишь Аватару Донара. И оно отличается от божественного оружия других нефилимов. Ярость Света уже была в Танре задолго до Битвы на горе Птоломея. Историки и теологи выдвигали множество гипотиз и теорий относительно Ярости Света. Преобладает мнение, что Ярость Света существует ещё со времён создания Танры, и отождествляется с Донаром... как инструмент, посредством которого он направляет свою силу в мир смертных, когда это необходимо."
Morale,Боевой дух
"Morale is a Squad's fighting spirit. Player Morale, when high, has a chance to trigger extra turns in combat. Player Morale, when low, decreases attack power significantly.\\PAREnemy Morale, when high, increases attack power significantly, Enemy Morale, when low, decreases attack power significantly, and increases the chance they will willfully Surrender.\\PARMorale is mostly affected by battle victories, but can also be increased through relationships, and traits. Morale can be hurt via combat defeats, especially if the Squad leader falls.","Боевой дух отряда — это стойкость характеров всех его бойцов. Отряды с высоким боевым духом могут получать дополнительный ход в бою, а низкий боевой дух значительно снижает силу атаки.\\PARУ вражеских отрядов с высоким боевым духом сила атаки значительно выше, а низкий боевой дух мораль не только снижает силу атаки, но и увеличивает вероятность того, что отряд добровольно сдастся.\\PARВ основном боевой дух увеличивается с каждой победой в бою, но его также можно повысить, развивая отношения со спутниками и наделяя юниты специальными чертами. Из-за поражений в боях боевой дух снижается, особенно со смертью лидера отряда."
Weather,Погода
"Storm and Blizzards will render Gunners, Dragoons, and Cannons unable to fire, unless you have the 'Breech-Loading Rifle' technology.\\PARHeat Wave can happen in Desert Climates, and causes significant Morale damage to unsheltered squads, unless your Squad is equipped with the 'Desert Warrior' trait.\\PARAll types of Weather have an effect on units depending on their Affinity - see the Quick Reference Guide for Affinity.","Бури и метели не позволят вести огонь из огнестрельного оружия стрелкам, драгунам и пушкам, если только не изучена технология «Зарядный картуз».\\PARЖара в пустынной местности может серьёзно подорвать боевой дух отрядов, если бойцам негде от неё укрыться. Черта «Воин пустыни» помогает справиться с этой проблемой.\\PARПогода в любом случае влияет на ваши юниты, в зависимости от их стихии. Подробнее — в справочнике стихий."
Bazaars,Базар
Bazaars are tents found on the tactical map. Sells Mercenaries and Artifacts higher in quality and rarity than you can purchase at the Home Base.,"Базары на тактической карте представлены в виде шатров. Здесь можно приобрести лучших наёмников и редкие артефакты, которые нечасто можно встретить на рынке вашей главной базы."
Tidereaver Pirates,Пираты Тайдривера
"A massive, multi-layered organization of outlaws, warlords, raiders, assassins, extortionists, and slave traders who have connections to many government officials world wide.","Масштабная и многоуровневая организация, в которую входят всевозможные преступники, военачальники, налётчики, наёмные убийцы, вымогатели и работорговцы, которые имеют обширные связи в правительственных кругах по всему миру."
The Barek Tor,Барек Тор
"One of the major sapient species of Tahnra outside of the Human realms. Mostly bipedal humanoids who have retained the advantages and drawbacks of their feline ancestors. They boast exceptional agility, night vision, and the ability to dominate the forest landscape far better than Humans. They mostly reside in their home island of Sinarra, a land utterly dominated by the deep jungle.","Одна из нескольких разумных рас Танры, обитающих за пределами мира людей. Этот гуманоидный вид передвигается преимущественно на двух задних конечностях, однако сохранил как многие привычки, так и недостатки своих кошачьих предков. Отличаются исключительной ловкостью, способны видеть в темноте, а также гораздо эффективнее людей действуют в лесной местности. Преимущественно обитают глубоко в джунглях на своего родного острова Синарра."
Historium Magnus,Историум Магнус
"The divine book written after the Battle of Mount Ptolomea, codifying the founding of the Donari Temple. It contains a recounting of the events of the war with Zanatus, the Nephilim and Donar's influence, and of the building of the new Temple and human empires that followed the victory over Zanatus. It is written in a language that has long been nearly extinct.","Священный манускрипт, написанный после Битвы на горе Птоломея при основании Храма Донари. В нём собраны исторические сведения о войне с Занатусом, о нефилимах и вмешательстве Донара, а также об основании нового Храма и зарождении человеческих империй вслед за победой над Занатусом. Язык, на котором написан Историум Магнус, давно уже практически вымер."
Veridian Civil War,Веридийская гражданская война
"Date: Year 997\\PARLocation: Southern Veridia Province\\PARBelligerents: The West comprised of the Duchy of Isanter and the Donari Temple, The East comprised of the Duchy of Rimorgue and the Central Imperial government.\\PARResult: Annihilation of the West and the Duchy of Rimorgue, ascent of the Empire of Archaelus and Emperor Casamir\\PARTerritory changes: The lands of the Donari Temple, Duchy of Rimorgue, and the Duchy of Isanter completely dismanted and absorbed into the Empire of Archaelus\\PARCasualties: 11,000 military deaths","Время событий: 997 год.\\PARМесто действия: юг провинции Веридия.\\PARСтороны конфликта: Запад, включающий графство Изантер и Храм Донари, Восток, включающий графство Риморг и центральное имперское правительство.\\PARИтог: Западная коалиция и графство Риморг были разбиты, а победителями вышла Империя Архаилус под предводительством императора Казамира.\\PARТерриториальные изменения: земли, ранее принадлежавшие Храму Донари, а также графствам Риморг и Изантер, полностью вошли в состав Империи Архаилус.\\PARЖертвы: 11 000 военных погибло."
Hand of Zanatus,Длань Занатуса
"The fully-armored and heavily-armed champion who was unleashed to destroy the Lemelin Monastery. He possesses superhuman strength and magical power, as well as the Blade of Destruction, Balmung, which he wields with unsurpassed skill.","Великий воин в мощной броне и с могучим оружием, который практически единолично уничтожил монастырь Лемелин. Обладает сверхчеловеческой силой и магическими способностями. Его оружие — Меч Рока, также известный как Бальмунг, которым он владеет поистине виртуозно."
Treasures,Сокровища
"By walking any Squad on top of a Treasure on the map, we will automatically open the chest, yielding Gold, Resources, or Equipment. There is no need to execute an extra command, simply walk right on top of it.","Остановившись любым отрядом на клетке с сокровищем, вы автоматически откроете сундук и получите золото, ресурсы или снаряжение. Никаких дополнительных команд не требуется, просто закончите перемещение отряда на сокровище."
Empire of Archaelus,Империя Архаилус
"The current hegemon of the Human world, ruled by Emperor Casamir. Archaelus directly controls all of Veridia and Sandraka nations, and imposes its will over Sayunaa which has become a vassal state. Derives its name from the original Human hegemony that followed the Battle of Mount Ptolomea, which was the first significant Human empire in Tahnra.","Сильнейшая держава человеческого мира, которой правит император Казамир. Архаилус полностью контролирует всю Веридию и Сандраку, а также диктует свою волю вассальному государству Саюна. Название происходит от первого великого царства людей, основанного после битвы на горе Птоломея. Это была первая крупная империя людей во всей Танре."
Mount Ptolomea,Гора Птоломея
"The tallest mountain in the Human realm, which lies at the heart of the massive mountain ranges separating Veridia from Sayunaa. Pathways to this mountain are far too treacherous for travel by foot, other than one path painstakingly carved out over decades, which is tightly-controlled - its only outlet is to the Imperial Palace at Armitage.\\PARMount Ptolomea was the location of the last stand of humanity in the war against Zanatus, the location of Donar's miracle. Today, atop the summit lies the physical portal to the Divine Realm, which has not budged since its brief opening which allowed the power of Donar to flow into the mortal realm.","Высочайшая вершина в мире людей, расположенная в самом сердце огромного горного хребта, по одну сторону которого Веридия, а по другую — Саюна. Пешком взойти на эту гору практически невозможно. Есть лишь одна узкая тропа, которую десятилетиями вырезали в скалистых склонах. Но этот проход ревностно держит под контролем имперский дворец в Армитаже, откуда эта тропа и начинается.\\PARИменно на горе Птоломея произошло решающее сражение армии людей против сил Занатуса, и именно здесь Донар обрёл божественную силу. Сейчас на вершине расположен портал в Царство богов, который ни разу не открывался с тех самых пор, как сила Донара за короткий миг проникла в мир смертных."
Nephilim Battlefield Powers,Боевые умения нефилимов
"Battlefield skills that can be used at any time, independent of the move/attack turn cycle of our Squads. These powers are charged by the actions and events of the battle, such as dealing or taking damage, time passing, and other triggers.\\PARGalzus's power, Exemplar, reduces damage to one squad by %50, and provokes enemies to attack that squad for one turn. Accumulate this power by taking damage.\\PARLandis's Power, Teleport, teleports one squad up to 5 tiles away without spending movement points or using that squad's turn. Accumulate this power with movement that results in an attack in the same turn.\\PARIshtar's Power, Terror, greatly demoralizes Squads in a 3x3 area of effect. This power accumulates naturally over time.\\PARCyrene's power, Meteor, lands a meteor on a plus-shaped area of effect that damages all units in that squad. Cannot target enemies on Fort or Base tiles. Cannot exceed 50% of MaxHP depleted. Accumulate this power by dealing damage.\\PARDonar's power, Blessing, instantly refreshes one squad that has already spent their movement and/or attack, allowing another full action cycle in the same player phase. Accumulate this power as a sum of all four other Nephilim powers.\\PARTo use, access the ''Powers'' section of the main menu, as pictured above.","Боевые умения можно использовать в любой момент сражения, чей бы ни был ход. Умения заряжаются за счет действий и событий во время боёв, например, при нанесении или получении урона, просто с течением времени или за счёт других факторов.\\PARУмение Гальзуса «Экземплар» снижает получаемый одним отрядом урон на 50% и провоцирует врагов атаковать этот отряд в течение одного хода. Заряжается при получении урона.\\PARУмение Ландиса «Телепорт» мгновенно переносит один из отрядов на клетку в радиусе 5 клеток, при этом не тратит очки движения и не считается действием отряда. Заряжается при перемещении, после которого отряд сразу атакует врага в течение того же хода.\\PARУмение Иштар «Ужас» значительно снижает боевой дух всех отрядов в зоне размером 3 на 3 клетки. Заряжается с течением времени.\\PARУмение Кирены «Метеор» обрушивает метеор на крестообразную область, нанося урон всем юнитам в попавших под удар отрядах. Не действует на врагов, расположенных в форте или на базе. Наносимый урон не может превышать 50% от макс. ОЗ юнита. Заряжается при нанесении урона.\\PARУмение Донара «Благословение» мгновенно полностью восстанавливает очки хода любому отряду, который уже потратил их на перемещение и/или атаку, что позволяет выполнить еще одно действие в течение стадии игрока. Заряжается, когда заряжаются умения четверых других нефилимов.\\PARЧтобы использовать, откройте главное меню и войдите в меню «Умения», как показано выше."
Tech Tree,Дерево развития
"We should always invest in Technology whenever we can. Tech advances will offer Army-wide benefits of many different types. There are 4 'tiers' of Technology that we can unlock as our faction continues to advance. To unlock technology, we need to level up Faction Rank. With every promotion in Faction Rank, we will be awarded a haul of Tech Points.\\PARAcademy of War focuses mostly on magic, the elements, and certain specialized warriors such as the Paladin, and War Mages.\\PARTactics and Command will advance our ability to field larger, more tactically-advanced armies, and give us certain specific advantages and new classes, such as the Swordmaster and Champion.\\PARCraftsmanship is the direct application of physical sciences to improve our army's weapons and armor.\\PAREach tech branch has its own 'Capstone' technology, which requires a complete fulfillment of all that branch's techs in the first 3 tiers. If you complete two whole tech trees, you can then unlock 'Dual Capstone's, which represent the ultimate in technological advance available.","Изучать технологии следует при любой возможности. Улучшения дадут вашей армии различные преимущества. Есть 4 уровня технологий, для получения доступа к которым необходимо повышать наш ранг фракции. С каждым новым рангом фракции мы будем получать очки технологий.\\PARВетка «Академия войны» касается в основном магии, стихий и специализирующихся на этом юнитах, таких как паладины и боевые маги.\\PARВетка «Тактика и командование» позволит управлять более крупными и тактически продвинутыми армиями, а также откроет определённые преимущества и новые классы юнитов, например мастеров-мечников и героев.\\PARВетка «Производство» позволяет воплощать научные достижения в средства улучшения оружия и брони наших воинов.\\PARВ каждой ветке есть одна «кульминационная» технология, для открытия которой необходимо полностью изучить все технологии первых 3 рангов в той же ветке. Если вам удастся полностью исследовать две технологические ветки, то вы сможете открыть «двойную кульминацию» — высшую ступень технологического прогресса в игре."
Scions of Dargon,Потомки Даргона
"An underground spy organization made up of loyalitsts to the now-deposed Sayunaari monarchy who view the last legitimate monarch as the late King Kasim Dargon, who inherited a broken Sayunaari kingdom after the death of Queen Soha Dargon.","Подпольная шпионская организация, состоящая из приверженцев свергнутой монархии Саюна. Они считают истинными правителем страны покойного короля Касима Даргона, который унаследовал право на престол, когда королева Соха Даргон приказала долго жить."
The Aetherium Crisis,Эфирный кризис
"Date: Year 876-877\\PARLocation: Empire of Veridia, Kingdom of Sayunaa, Gondwanna Federation\\PARResult: Destruction of Novas Kedah and Ezrum, reform of the Donari Temple\\PARCasualties: 124,000 civilian deaths\\PARThe great tragedy and climax of the last age of Humanity, which spawned incredible heroes and legends, and set the foundation for the modern age.","Время событий: 876–877 годы.\\PARМесто действия: Веридийская империя, королевство Саюна и Федерация Гондвана.\\PARИтог: Новас Кедах и Эзрум был уничтожены, а Храм Донари реформирован.\\PARЖертвы: 124 000 погибших среди гражданского населения.\\PARВеличайшая трагедия и климатический момент в истории предыдущей эпохи человечества, когда на свет появились великие герои и легендарные личности и было положено начало нынешней эпохи."
XP and CP,ОПТ и КО
"XP is Experience Points, and CP is Class Points / Class Mastery.\\PARXP is gained from doing battle, defeating any units, or using an XP codex. Units that did not participate in the campaign will also gain a small amount, so that no one is severely left behind. You will always see your XP represented in increments of 100. Get 100 more XP to level up, which will increase your stats.\\PARCP, or Class Points / Class Mastery, is only gained from real combat experience, or using a CP Codex. In order to upgrade classes, you must fill up the CP Bar to ''Max''.","ОПТ — это очки опыта, а КО — это классовые очки или мастерство класса.\\PARОПТ можно получить за победы против вражеских юнитов и отрядов или воспользовавшись книгой ОПТ. Юниты, не участвующие в миссиях, тоже получают немного опыта, поэтому сильного отставания в развитии быть не должно. Шкала опыта на 100 единиц отображается постоянно. После каждых 100 ОПТ повышается уровень и улучшаются характеристики.\\PARКО — классовые очки или мастерство класса — можно получить только за опыт, полученный непосредственно в боях, или воспользовавшись книгой КО. Заполняйте шкалу классовых очков до максимума, чтобы улучшать классы."
Battle of Rimorgue River Valley,Битва в Долине реки Риморг
"Date: Year 999\\PARLocation: Stormrook, Rimorgue, banks of the Herald River\\PARBelligerents: Nephilim Army, Empire of Archaelus and Followers of Zanatus\\PARResult: Decisive Nephilim Army victory, near total destruction of the Empire of Archaelus military forces\\PARTerritory changes: Nephilim Army annexes Stormrook, Rimorgue, Fort Eureeka\\PARCasualties: 6,000 military deaths","Время событий: 999 год.\\PARМесто действия: Штормрук, Риморг, берега реки Геральд.\\PARСтороны конфликта: армия нефилимов, Империя Архаилус и Последователи Занатуса.\\PARИтог: армия нефилимов одержала решительную победу, военные силы Империи Архаилус почти полностью разгромлены.\\PARТерриториальные изменения: Штормрук, Риморг и форт Эврика полностью перешли под контроль армии нефилимов.\\PARЖертвы: 6000 погибших военных."
Nephilim Millennium War,Тысячелетняя война нефилимов
