ENGLISH,KOREAN
Artifacts modify the entire Squad. Effects can be positive or negative. Up to 3 Artifacts can be equipped on a Squad with full technology.,"유물은 부대 전체에 영향을 끼칩니다. 그 영향은 긍정적일 수도, 부정적일 수도 있습니다. 연구 개발에 따라 최대 3개의 유물을 한 부대에 장착할 수 있습니다."
Stealth,은신
"Assassins, Rogues, and Stefan's unit Classes are able to execute Stealth attacks. A Stealth attack is achieved when attacking as one of these Classes.\\PARWhen Stealth attacking, your attacks automatically target the back of the enemy formation.\\PAROn defense, these classes attack normally.","암살자, 도적 병과 및 스테판은 은신 공격이 가능합니다. 은신 공격은 이 병과 유닛으로 공격할 때 발생합니다.\\PAR은신 공격 시에는 자동으로 적 진형의 배후를 공격하게 됩니다.\\PAR방어 시에는 이 병과 유닛들도 일반적인 방법으로 공격합니다."
Zanatus,자나투스
"The demonic being who dominated humanity over 1000 years ago. Is the antithesis of Donar in every way. Origins still unknown, but the best translations and accounts can be summarized in a way that paints Zanatus as something not of this world. Something disturbingly unfamiliar to Donar's creation. Defeated in battle by the Avatar of Donar when stabbed through the heart with the holy blade, Lightfury.","천년보다 더 오래전, 인류를 지배하던 악마적 존재. 모든 면에서 도나르의 반대이다. 기원은 아직까지도 알 수 없으나, 가장 믿을 수 있는 구전과 기록들을 종합하면 자나투스를 이계의 존재로 요약할 수 있다. 도나르의 창조물들과는 불쾌할 정도로 닮지 않은 존재이다. 도나르의 현신과의 전투에서 신성한 검 라이트퓨리로 심장을 찔려 패배했다."
Battle of Mount Ptolomea,프톨로메아 산 전투
"Date: Year 0\\PARThe confrontation between Zanatus and the five Nephilim, The Avatar of Donar, Galzus, Landis, Cyrene, and Ishtar. Just before this battle, the Avatar of Donar had lead a resistance effort to attempt to liberate Humanity from Zanatus's tyranny. In the final, desperate moments before ultimate defeat, the five experienced a divine intervention, infusing them with godlike power, divine weapons, and changed them from human to Nephilim by blood. Zanatus was ill-prepared for this, and the Nephilim destroyed the demon with a final blow from Lightfury. Zanatus's armies, who relied completely on the demon's singular leadership, fled in disarray, allowing humanity to break its shackles and win its salvation. Thereafter, the Donari Temple was founded, and the Nephilim canonized as gods.","날짜: 0년\\PAR자나투스와 다섯 명의 네필림 -도나르의 현신, 갈주스, 란디스, 사이린, 이슈타르-의 대결. 이 전투 직전, 도나르의 현신은 자나투스의 폭정으로부터 인류를 해방시키기 위한 저항을 이끌었다. 최후의 패배를 앞둔 마지막 절망적인 순간에 다섯은 신의 개입을 경험하여, 신적인 힘과 신성한 무기를 받았으며, 인간을 초월한 네필림으로 변화하게 되었다. 자나투스는 이에 대한 준비가 되어 있지 않았고, 네필림은 라이트퓨리를 통한 최후의 일격으로 악마를 파괴했다. 자나투스의 통솔력에 전적으로 의존했던 자나투스의 군대는 와해되어 달아나, 인류는 자신의 족쇄를 끊고 구원을 쟁취할 수 있었다. 그 후 도나리교가 설립되었고, 네필림은 신으로 공표되었다."
Donar,도나르
"The creator of Tahnra and all things. Nature unknown, but is the being from which all of the Donari Temple's beliefs evolved. Believed to reside in a higher dimension commonly referred to as the ''Divine Realm''. Thought to have only made its presence known in the mortal realm once, during the intervention against Zanatus, but this is not confirmed. Donar's power has been infused into the divine weapons, and in the bloodline of the Nephilim. Commonly confused with the Avatar of Donar, who is often referred to simply as Donar. In the Temple scriptures, very little distinction is made between the mortal Nephilim who defeated Zanatus, and the creator god of all things. The Avatar of Donar represents the virtue of Truth, and the element of Light.","탄라와 삼라만상의 창조자. 정체는 알 수 없지만, 모든 도나리교의 신앙이 생겨나온 근원. 일반적으로 ‘신의 영역’이라고 불리는 더 높은 차원에 존재한다고 여겨진다. 필멸자들의 영역에는 단 한 번, 자나투스를 상대로 개입하였을 때, 강림한 것으로 알려져 있으나 확인할 수는 없다. 도나르의 힘은 신성한 무기와 네필림의 혈통에 스며들어 있다. 그냥 도나르라고 자주 불리는 도나르의 현신과 흔히 혼동된다. 도나리교의 경전에서 자나투스를 물리친 필멸자 네필림과 만물의 창조신은 거의 구분되지 않는다. 도나르의 현신은 진리의 미덕과 빛 속성을 상징한다."
"Lightfury, Sword of Donar","라이트퓨리, 도나르의 검"
"Of course the divine weapon of the Avatar of Donar. However, this weapon seems unique among the other divine weapons. Lightfury has existed in Tahnra long before the Battle of Mount Ptolomea. Scholars and theologians have thrown around many beliefs and theories about Lightfury. The prevailing wisdom is that Lightfury is as old as Tahnra itself, and is the personal tool of Donar... his primary way of manifesting in the mortal realm wherever it is needed.","당연하게도 도나르의 현신이 사용한 신성한 무기. 하지만 이 무기는 다른 신성한 무기들 중에서도 독보적인 것 같다. 라이트퓨리는 프톨로메아 산 전투 전부터 이미 탄라에 오래도록 존재해 왔다. 학자와 이론가들은 라이트퓨리에 대한 여러 믿음과 이론을 주장해 왔다. 현재 주류 가설은, 라이트퓨리를 탄라의 탄생부터 있던 것으로 여기며, 도나르의 개인적인 도구... 창조신이 필멸자들의 영역에 모습을 드러낼 필요가 있을 때 주로 쓰는 도구가 아닌지 추측된다."
Morale,사기
"Morale is a Squad's fighting spirit. Player Morale, when high, has a chance to trigger extra turns in combat. Player Morale, when low, decreases attack power significantly.\\PAREnemy Morale, when high, increases attack power significantly, Enemy Morale, when low, decreases attack power significantly, and increases the chance they will willfully Surrender.\\PARMorale is mostly affected by battle victories, but can also be increased through relationships, and traits. Morale can be hurt via combat defeats, especially if the Squad leader falls.","사기란 부대의 전투 의지입니다. 플레이어의 사기가 높을 때는 전투에서 추가 행동이 발동될 확률이 생깁니다. 플레이어의 사기가 낮을 때는 공격력이 대폭 줄어듭니다.\\PAR적의 사기가 높을 때는 공격력이 대폭 증가하고, 적의 사기가 낮을 때는 공격력이 대폭 감소하며 항복할 확률이 상승합니다.\\PAR사기는 주로 전투에서 승리를 거둘 때 영향을 받지만, 관계와 특성에 의해 상승하기도 합니다. 사기는 전투의 패배에 의해, 특히 부대장이 사망시 떨어집니다."
Weather,날씨
"Storm and Blizzards will render Gunners, Dragoons, and Cannons unable to fire, unless you have the 'Breech-Loading Rifle' technology.\\PARHeat Wave can happen in Desert Climates, and causes significant Morale damage to unsheltered squads, unless your Squad is equipped with the 'Desert Warrior' trait.\\PARAll types of Weather have an effect on units depending on their Affinity - see the Quick Reference Guide for Affinity.","폭풍과 눈보라는 ‘후미장전포’ 기술이 없다면 총병, 총기병, 대포를 무용지물로 만듭니다.\\PAR사막 기후에서 일어나는 열파는 부대에 ‘사막 전사’ 특성이 없으면 그늘막이 없는 부대의 사기를 현저히 떨어뜨립니다.\\PAR모든 날씨는 유닛의 속성에 따라 유닛에 영향을 미칩니다 - 참고 가이드의 속성 페이지를 확인하세요."
Bazaars,천막상점
Bazaars are tents found on the tactical map. Sells Mercenaries and Artifacts higher in quality and rarity than you can purchase at the Home Base.,천막상점은 전술 지도에 천막으로 표시됩니다. 기지에서 판매하는 것보다 높은 품질의 용병과 더 희귀한 용병을 구입할 수 있습니다.
Tidereaver Pirates,타이드리버 해적
"A massive, multi-layered organization of outlaws, warlords, raiders, assassins, extortionists, and slave traders who have connections to many government officials world wide.","전 세계 여러 정부 관료들과 끈이 닿아있는 범법자, 군벌, 약탈자, 암살자, 착취자 그리고 노예 매매상들의 대규모 다층적 조직."
The Barek Tor,바렉 토르
"One of the major sapient species of Tahnra outside of the Human realms. Mostly bipedal humanoids who have retained the advantages and drawbacks of their feline ancestors. They boast exceptional agility, night vision, and the ability to dominate the forest landscape far better than Humans. They mostly reside in their home island of Sinarra, a land utterly dominated by the deep jungle.","인간의 땅 밖에 있는 탄라의 주요 지적 종족 중 하나. 고양이과 조상의 장점과 단점을 모두 간직한, 주로 직립보행하는 휴머노이드 종족이다. 뛰어난 민첩성과 야간 시력, 그리고 인간보다 숲속 지형을 더 잘 장악할 수 있는 능력을 자랑한다. 대부분 고향 땅인 시나라 섬에 살고 있는데, 이 섬은 깊은 정글로 완전히 뒤덮여 있다."
Historium Magnus,히스토리움 마그누스
"The divine book written after the Battle of Mount Ptolomea, codifying the founding of the Donari Temple. It contains a recounting of the events of the war with Zanatus, the Nephilim and Donar's influence, and of the building of the new Temple and human empires that followed the victory over Zanatus. It is written in a language that has long been nearly extinct.","프톨로메아 산 전투 이후 쓰여진 신성한 책으로, 도나리교의 설립을 문서화한 것이다. 자나투스와의 전쟁, 네필림과 도나르의 영향력, 자나투스를 상대로 거둔 승리 이후 새로운 교단과 인간 제국들의 건립에 대한 이야기가 담겨있다. 오래 전에 거의 사멸한 언어로 쓰여져 있다."
Veridian Civil War,베리디아 내전
"Date: Year 997\\PARLocation: Southern Veridia Province\\PARBelligerents: The West comprised of the Duchy of Isanter and the Donari Temple, The East comprised of the Duchy of Rimorgue and the Central Imperial government.\\PARResult: Annihilation of the West and the Duchy of Rimorgue, ascent of the Empire of Archaelus and Emperor Casamir\\PARTerritory changes: The lands of the Donari Temple, Duchy of Rimorgue, and the Duchy of Isanter completely dismanted and absorbed into the Empire of Archaelus\\PARCasualties: 11,000 military deaths","날짜: 997년\\PAR위치: 베리디아 주 남부\\PAR교전자: 이산테르 공작령과 도나리교로 구성된 서부군, 리모르그 공작령과 중앙 제국 정부로 구성된 동부군.\\PAR결과: 서부군과 리모르그 공작령의 궤멸, 아르켈루스 제국과 카사미르 황제의 비상\\PAR영토 변경: 도나리교, 리모르그 공작령, 이산테르 공작령의 영토가 완전히 해체되어 아르켈루스 제국에 흡수되었다\\PAR사상자: 11,000 군사 사망자"
Hand of Zanatus,자나투스의 손
"The fully-armored and heavily-armed champion who was unleashed to destroy the Lemelin Monastery. He possesses superhuman strength and magical power, as well as the Blade of Destruction, Balmung, which he wields with unsurpassed skill.","레멜린 대수도원을 파괴하기 위해 해방된 완전히 중무장한 챔피언. 초인적인 힘과 마법을 갖추고 있으며, 타의 추종을 불허하는 기술로 휘두르는 파괴의 칼 발뭉을 가지고 있다."
Treasures,보물
"By walking any Squad on top of a Treasure on the map, we will automatically open the chest, yielding Gold, Resources, or Equipment. There is no need to execute an extra command, simply walk right on top of it.","지도의 보물 위에 어떤 부대든 걸어가면 자동으로 상자가 열리고 금화, 자원, 또는 장비를 얻게 됩니다. 별도의 명령어를 실행할 필요 없이 그냥 타일 위에 올라서면 됩니다."
Empire of Archaelus,아르켈루스 제국
"The current hegemon of the Human world, ruled by Emperor Casamir. Archaelus directly controls all of Veridia and Sandraka nations, and imposes its will over Sayunaa which has become a vassal state. Derives its name from the original Human hegemony that followed the Battle of Mount Ptolomea, which was the first significant Human empire in Tahnra.","카사미르 황제가 지배하는 인간 세계의 현 패권국. 아르켈루스는 베리디아와 산드라카의 모든 나라를 직접 통치하며, 속국이 된 사유나에게 자신의 의지를 강요하고 있다. 탄라 최초의 중요한 인간 제국이었던, 프톨로메아 산 전투 이후의 인간 패권국에서 그 이름이 유래했다."
Mount Ptolomea,프톨로메아 산
"The tallest mountain in the Human realm, which lies at the heart of the massive mountain ranges separating Veridia from Sayunaa. Pathways to this mountain are far too treacherous for travel by foot, other than one path painstakingly carved out over decades, which is tightly-controlled - its only outlet is to the Imperial Palace at Armitage.\\PARMount Ptolomea was the location of the last stand of humanity in the war against Zanatus, the location of Donar's miracle. Today, atop the summit lies the physical portal to the Divine Realm, which has not budged since its brief opening which allowed the power of Donar to flow into the mortal realm.","베리디아와 사유나를 가르는 거대한 산맥의 중심에 위치한 인간 영역의 가장 높은 산. 이 산으로 가는 길은 수십 년에 걸쳐 공들여 만들어진, 엄격하게 관리되는 하나의 길을 제외하고는 걸어서 여행하기에 너무 위험하다. 이 길의 유일한 출입구는 아미티지의 황궁이다.\\PAR프톨로메아 산은 자나투스와의 전쟁에서 인류의 최후 저항이 있었던 곳으로, 도나르의 기적이 일어난 곳이다. 오늘날, 정상의 꼭대기에는 도나르의 힘이 신의 영역으로 갈 수 있는 물리적인 관문이 있으나, 해당 관문은 도나르가 필멸자들의 영역으로 힘을 흘려 보냈을 당시의 짧은 개방 이후 꿈쩍도 하지 않고 있다."
Nephilim Battlefield Powers,네필림 전장의 권능
"Battlefield skills that can be used at any time, independent of the move/attack turn cycle of our Squads. These powers are charged by the actions and events of the battle, such as dealing or taking damage, time passing, and other triggers.\\PARGalzus's power, Exemplar, reduces damage to one squad by %50, and provokes enemies to attack that squad for one turn. Accumulate this power by taking damage.\\PARLandis's Power, Teleport, teleports one squad up to 5 tiles away without spending movement points or using that squad's turn. Accumulate this power with movement that results in an attack in the same turn.\\PARIshtar's Power, Terror, greatly demoralizes Squads in a 3x3 area of effect. This power accumulates naturally over time.\\PARCyrene's power, Meteor, lands a meteor on a plus-shaped area of effect that damages all units in that squad. Cannot target enemies on Fort or Base tiles. Cannot exceed 50% of MaxHP depleted. Accumulate this power by dealing damage.\\PARDonar's power, Blessing, instantly refreshes one squad that has already spent their movement and/or attack, allowing another full action cycle in the same player phase. Accumulate this power as a sum of all four other Nephilim powers.\\PARTo use, access the ''Powers'' section of the main menu, as pictured above.","부대의 이동/공격 턴 주기에 관계 없이 언제든 사용할 수 있는 전장의 특수 기술입니다. 이러한 권능은 부대가 피해를 입거나 입힐 때, 시간의 경과, 기타 다른 발동 조건 등 전장에서의 행동과 이벤트에 의해 충전됩니다.\\PAR갈주스의 힘인 모범은 부대 하나가 입는 피해를 50% 감소시키고, 한 턴 동안 해당 부대가 적들에게 공격 받도록 적들을 도발합니다. 피해를 받을 때 이 힘이 축적됩니다.\\PAR란디스의 힘인 순간 이동은 한 부대를 이동 포인트 및 해당 부대의 턴을 소모하지 않고 최대 5 타일 이동시킵니다. 한 턴 내에서 공격으로 이어지는 이동을 통해 이 힘을 축적합니다.\\PAR이슈타르의 힘인 공포는 3x3 효과 범위 안의 부대들의 사기를 대폭 꺾습니다. 이 힘은 시간이 흐르면서 자연히 누적됩니다.\\PAR사이린의 힘인 운석 소환은 + 형태의 효과 범위에 유성을 떨어뜨려, 해당 부대의 모든 유닛에 피해를 입힙니다. 요새나 기지 타일의 적은 대상으로 삼을 수 없습니다. 최대 체력의 50% 이상을 고갈시킬 수 없습니다. 피해를 입히면 이 힘이 누적됩니다.\\PAR도나르의 힘인 축복은 이동 및 공격 포인트를 이미 소진한 부대 하나를 즉시 회복시켜, 플레이어의 단계에서 완전한 행동 사이클을 다시 수행할 수 있도록 해 줍니다. 이 힘은 다른 네 네필림의 힘의 합으로 누적됩니다.\\PAR사용하려면, 위 그림과 같이 메인 메뉴의 ‘권능’ 부분으로 가세요."
Tech Tree,연구 개발
"We should always invest in Technology whenever we can. Tech advances will offer Army-wide benefits of many different types. There are 4 'tiers' of Technology that we can unlock as our faction continues to advance. To unlock technology, we need to level up Faction Rank. With every promotion in Faction Rank, we will be awarded a haul of Tech Points.\\PARAcademy of War focuses mostly on magic, the elements, and certain specialized warriors such as the Paladin, and War Mages.\\PARTactics and Command will advance our ability to field larger, more tactically-advanced armies, and give us certain specific advantages and new classes, such as the Swordmaster and Champion.\\PARCraftsmanship is the direct application of physical sciences to improve our army's weapons and armor.\\PAREach tech branch has its own 'Capstone' technology, which requires a complete fulfillment of all that branch's techs in the first 3 tiers. If you complete two whole tech trees, you can then unlock 'Dual Capstone's, which represent the ultimate in technological advance available.","기술에는 가능할 때마다 투자해야 합니다. 기술 진보는 전군에 다양한 여러 종류의 혜택을 제공합니다. 진영이 성장함에 따라, 기술에서는 4개의 ‘티어’를 잠금 해제할 수 있습니다. 기술을 잠금 해제하려면 진영 랭크를 승급해야 합니다. 진영 랭크가 승급할 때마다 연구 포인트가 지급됩니다.\\PAR전쟁 대학은 주로 마법, 원소, 그리고 성기사, 전투 마법사 같은 특화된 전사들에 중점을 둡니다.\\PAR전술과 명령은 더 대규모의 전술적으로 발전한 군을 지휘할 능력을 키워주고, 소드마스터와 챔피언 등의 새로운 병과와 특정한 이득을 줍니다.\\PAR제작과 기술은 군대의 무기와 방어구를 개선해 주는 물리 과학에 직접 적용됩니다.\\PAR각 기술 트리는 해당 트리의 기술 첫 3 티어를 채워야만 열리는 ‘캡스톤’ 기술이 있습니다. 연구 트리 두 개를 완료하면, 그 다음 ‘듀얼 캡스톤’이 잠금 해제되어, 궁극의 기술 발전을 이룰 수 있게 됩니다."
Scions of Dargon,다르곤의 후예들
"An underground spy organization made up of loyalitsts to the now-deposed Sayunaari monarchy who view the last legitimate monarch as the late King Kasim Dargon, who inherited a broken Sayunaari kingdom after the death of Queen Soha Dargon.","소하 다르곤 여왕의 사망 후, 분열된 사유나 왕국을 물려받은 고 카심 다르곤 왕을 최후의 적법한 군왕으로 인정하는, 이제는 폐위된 사유나 군주정에 충성하는 이들로 구성된 지하 첩보 조직."
The Aetherium Crisis,아테리움 사태
"Date: Year 876-877\\PARLocation: Empire of Veridia, Kingdom of Sayunaa, Gondwanna Federation\\PARResult: Destruction of Novas Kedah and Ezrum, reform of the Donari Temple\\PARCasualties: 124,000 civilian deaths\\PARThe great tragedy and climax of the last age of Humanity, which spawned incredible heroes and legends, and set the foundation for the modern age.","날짜: 876-877년\\PAR위치: 베리디아 제국, 사유나 왕국, 곤드와나 연방\\PAR결과: 노바스 케다와 에즈룸의 파괴, 도나리교의 개혁\\PAR사상자: 124,000 민간인 사망자\\PAR믿을 수 없는 영웅과 전설을 낳으며 근대의 기틀을 마련한, 이전 시대의 크나큰 비극이자 절정."
XP and CP,XP와 CP
