Column1,Column2
Kushluk,쿠실루크
Dylan,딜런
Ephraim,에프라임
Johannes,조하네스
Benny,베니
Hela,헬라
Evette,이베트
Linvy,린비
Ariana,아리아나
Sara,사라
Kaylein,케일라인
Emma,엠마
Magdalen,막달렌
Bethany,베타니
Sabine,사빈
Victoria,빅토리아
Jessimond,제시몬드
Cristina,크리스티나
Isolde,이졸데
Tilda,틸다
Lina,리나
Oriel,오리엘
Ezabell,이자벨
Gabriela,가브리엘라
Gwen,그웬
Beatrice,베아트리스
Linette,리네트
Muriel,뮤리엘
Nancy,낸시
Alison,앨리슨
Godiva,고다이바
Marione,마리온
Adelena,아델레나
Jacqueline,재클린
Sarra,사라
Tabitha,타비사
Freya,프레야
Natalie,나탈리
Anna,애나
Stefanie,스테파니
Rita,리타
Teresa,테레사
Janina,제니나
Marion,마리온
Cornelia,코넬리아
Anke,앙케
Rikke,리케
Caroline,캐롤라인
Yasmin,야스민
Dorothea,도로테아
Madleen,매들린
Helena,헬레나
Wilhelmina,윌헬미나
Millie,밀리
Karin,카린
Lisette,리세트
Vera,베라
Miriam,미리엄
Katrine,카트린
Sigrid,시그리드
Oriana,오리아나
Linnea,리네아
Heidi,하이디
Signy,시그니
Sofia,소피아
Vedia,베디아
Theodora,테오도라
Sima,시마
Ozra,오즈라
Mahya,마햐
Dorsa,도르사
Leylani,레일라니
Pardis,파르디스
Sofala,소팔라
Nassim,나심
Fakhri,파크리
Marzieh,마르지에
Roya,로야
Halimeh,할리메스
Khatoun,카토운
Erika,에리카
Katherine,캐더린
Crystal,크리스탈
Somayeh,소말리에
Amelia,아멜리아
Ekkon,에콘
Kuthex,쿠텍스
Izeth,이제스
Thozilg,토질그
Olkoz,올코즈
Chuzzax,쿠작스
Tesath,테사스
Druzgix,드루직스
Gurgogg,거고그
Ushtoz,우시토즈
Orzi,오르지
Nelkai,넬카이
Oskaz,오스카즈
Algozu,알고주
Strigoz,스트리고즈
Moda,모다
Gedrir,게드리르
Naddrus,나드루스
Qezud,퀘저드
Kirgonath,커고나스
Qathog,콰쏘그
Gorvu,고르부
Torrax,토락스
Burith,부리스
Narlox,날록스
Durgath,더가스
Myrga,머가
Gothai,고타이
Ruzog,루조그
Aldroc,알드록
Irdiru,어디루
Xyzzyx,장이직스
Vogniax,보그니악스
Sinagg,시나그
Katko,캇코
Kristax,크리스탁스
Etrae,에트레
Kheshnax,케시낙스
Ilkuta,리쿠타
Trollian,트롤리안
Clyde,클라이드
Oten,오텐
Kabura,카부라
Dmitry,드미트리
Manilyn,마닐린
Nossfe,노스페
Ashim,아심
Guy Verre Kanon,가이 베르 카논
"Granis, The Lightbringer",빛의 인도자 그라니스
"""Donar, send me your greatest foes.""","도나르여, 당신의 큰 적들을 제게 보내소서."
"""From destitution findeth restitution.""",구차함에서 회복을 찾으리라.
Sato the Cautious,조심성 많은 사토
"""One must save themselves before they can save others.""",다른 이를 구하려면 우선 자신부터 구해야 하는 법.
Calden Blackwall,칼든 블랙월
"""History is written by the army with the best artillery.""",역사는 가장 뛰어난 포병을 가진 군대에 의해 쓰여진다.
Aggarak the Returned,귀환자 아가라크
"""Break their will to live.""",놈들의 삶에 대한 집착을 끊어주어라
Volkan the Grave,무덤의 볼칸
"""The things you've tried to bury won't remain that way!""",네가 묻으려 했던 것들은 영원히 묻혀있지는 않을 것이다!
Bulwark Bartolo,방벽 바르톨로
"""The people of the Midlands have suffered too much.""",중부 지방의 사람들은 너무도 많은 고통을 겪었다.
Volkan the Grave,무덤의 볼칸
"""What you have tried to bury will not stay buried!""",네가 묻으려 했던 것은 영원히 묻혀있지 않을 것이다!
