Chapter 28: Downfall,제 28장: 몰락
"The enemy has holed himself up in the Imperial Palace. The Followers of Zanatus have mobilized their most deadly forces. Have no mercy for the cultists, or Casamir.",적은 황궁에 몸을 숨기고 있습니다. 자나투스의 추종자들은 그들의 가장 치명적인 병력을 움직였습니다. 광신도들이나 카사미르에게 자비를 품지 마세요.
"Imperial Palace, Year 999","황궁, 999년"
Chapter 29: Zenith of the World,제 29장: 세상의 정점
"The Avatar of Donar is but a few steps from full realization, and the remnants of the Followers of Zanatus are the last barrier in our way. We soon face the cult Grandmaster...","도나르의 현신은 완전한 실현까지 고작 몇 발자국만 남겨놓고 있으며, 남아있는 자나투스의 추종자 허깨비들은 우리 길을 막는 마지막 방어선입니다. 우리는 곧 광신도들의 교주를 마주하게 됩니다..."
"Gateway at Mount Ptolomea, Year 999","프톨로메아 산 관문, 999년"
Chapter 30: Armageddon,제 30장: 종말
All of the seals between the Divine Realm and the Mortal Realm are now broken. Armageddon has again come to Tahnra. Destroying Zanatus is the only way to avoid total annihilation.,신의 영역과 필멸자들의 영역 사이의 봉인이 이제 모두 깨졌습니다. 다시 탄라에 종말이 왔습니다. 자나투스를 파괴하는 것만이 완전한 파멸을 막는 길입니다.
Gaiden Chapter A: Unrelenting Ambition,외전 장 A: 꺾이지 않는 야망
"Sybil's recklessness has thrown us into a melee with the Imperial forces at the Felnamia provice. We must both save Sybil, and seize Felnamia.","시빌의 무모함은 우리를 펠나미아 지방의 제국군과 싸우게 만듭니다. 우리는 시빌도 구하고, 펠나미아도 손에 넣어야 합니다."
Gaiden Chapter B: Dragon's Haven,외전 장 B: 용의 안식처
"The enemy has sought to monopolize war Dragons by annihilating broods not within their control. Azuros, an ancient monarch, could be a powerful ally if we can intercept the Imperial attackers in time.",적은 자신들이 통제하지 못하는 용의 부족을 궤멸시킴으로써 전쟁 용을 독점하려 합니다. 다가올 제국의 공격을 막기 위해서는 고대의 왕 아주로스가 강력한 아군이 될 수 있습니다.
Gaiden Chapter C: No Mercy for the Merciful,외전 장 C: 자비로운 이를 위한 자비는 없다
We have located one of the largest child detention complexes in the world. This evil cannot be allowed to continue. Wipe out the enemy completely.,세상에서 가장 큰 아동 수용소를 찾아냈습니다. 이 사악한 곳이 지속되도록 허락할 수는 없습니다. 적을 완전히 쓸어내 버리세요.
Gaiden Chapter D: Clockwork City,외전 장 D: 시계태엽 도시
Casamir has always had an abundance of firearms and cannons at his disposal. It's time to break into their Pyrocite stores in Sandraka City and take this advantage for ourselves.,카사미르의 손끝에는 항상 많은 화기와 대포가 있습니다. 산드라카 시에 있는 파이로사이트 보관소를 뚫고 들어가 우리의 이점으로 삼을 때가 왔습니다.
Gaiden Chapter E: Ishtar's Lament,외전 장 E: 이슈타르의 탄식
"I can't shake this feeling, it is familiar, but unsettling...","이 감정을 떨칠 수가 없어, 이 익숙하지만 불안한..."
Bronze Arena,황동 투기장
Silver Arena,순은 투기장
Gold Arena,황금 투기장
Platinum Arena,백금 투기장
Endurance Trial,인내의 시험
Legends 1A: Promise of Peace,전설들 1A: 평화의 약속
Florina Iblis's claim to the Imperial throne brings hopes for the end to the Succession War. But surely the claim will be contested...,플로리나 이블리스의 황위 계승 주장은 계승 전쟁의 종식에 대한 희망을 가져옵니다. 하지만 이 주장에도 당연히 이론의 여지가 있으니...
Legends 1B: Defend the Claim,전설들 1B: 권리주장의 방어
The pretenders to the throne have launched a final desperate bid to stop Florina's coronation. Defend Imperial territory from invasion!,황위 계승권자들은 플로리나의 대관식을 막기 위해 필사적으로 최후의 시도를 감행했습니다. 제국의 영토를 침공에서 막아내십시오!
Legends 2: Barek Tor,전설들 2: 바렉 토르
,
Legends 3A: Whispers from Grothnor,전설들 3A: 그로트너로부터 온 속삭임
Fort Rittenbach has claimed another scout party... missing without explanation. Duke Jaromir mobilizes his army to personally investigate.,리텐바흐 요새에서 아무 설명도 없이 또다른 정찰대가 실종됐습니다. 야로미어 공작은 군대를 움직여 개인적인 조사를 시작합니다.
Legends 3B: Life and Unlife,전설들 3B: 생명과 언데드
"Grothnor's undead hordes have reached as far as Embor, and the other nobles refuse to help. Defend Embor at all costs!","그로트너의 언데드 무리가 엠보어까지 당도했으며, 다른 귀족들은 도움을 거부합니다. 어떤 댓가를 치르든 엠보어를 방어하세요!"
Legends 4: Pendergast's Folly,전설들 4: 펜더가스트의 어리석음
Legends 5: Shadowchaser,전설들 5: 그림자 추적자
Legends 6: Queen of Dragons,전설들 6: 용들의 여왕
"Azuros has left suddenly. Scouts report a rival brood, controlled by the Archaelus Empire, has threatened Azuros's hidden brood hive.",아주로스가 갑자기 떠났습니다. 정찰대는 아르켈루스 제국이 제어하는 라이벌 부족이 아주로스의 숨겨진 둥지를 위협했다고 보고합니다.
Grassland,풀밭
Ramp,경사로
Cliffs,절벽
Hazard,위험 요소
Lava Cave,용암 동굴
High Ground,고지대
Ladder,사다리
Road,도로
Bridge,다리
Dungeon,지하감옥
Shadows,그림자
Ambush Trench,매복 참호
Industrial,산업
Tower,탑
Throne,왕좌
Divine Realm,신의 영역
Hills,언덕
Plains,벌판
Wheat Field,밀밭
Town,마을
Wall,성벽
Desert,사막
Snow,눈
Woods,숲
Forest,삼림
Water,물
Swamp,늪지
Ship,배
Sky,하늘
Mountains,산
Mine,광산
Stables,마구간
Fort,요새
Base,기지
Temple,사원
Village,마을
Bazaar,천막상점
Slow,느림
Light,가벼움
Infantry,보병
Cavalry,기병
Flying,비행
Clear,맑음
Cloudy,구름
Overcast,흐림
Rainy,비
Storm,폭풍
Snowy,눈
Blizzard,눈보라
Indoors,실내
Stormy,폭풍우
Heat Wave,열파
"Ah, there you are, child of destiny. You've arrived\NEWLINE  at a very opportune time, you will find.","아, 거기 있었구나, 운명의 아이야.\NEWLINE 아주 때맞춰 당도했어, 곧 너도 알게 되겠지."
"Let me look into your heart. Who are you? Will your\NEWLINE  journey be marked by virtue, or will this land's people\NEWLINE  remember you as an adversary?","네 마음을 보자꾸나. 너는 어떤 존재지?\NEWLINE 너의 여정은 미덕으로 기록될 것이냐,\NEWLINE 아니면 이 땅의 사람들이 너를 대적자로서 기억할 것이냐?"
"Thank you. What an intriguing soul! Go, and I will\NEWLINE  see you here again when the time is right.","고맙구나. 이토록 흥미로운 영혼이라니!\NEWLINE 이제 가거라, 그리고 알맞은 때가 되면 여기에서 다시 보자꾸나."
"Go forth, and leave your mark on this world!","나아가거라, 이 세상에 네 자취를 남겨라!"
Which form suits you?,어떤 형태가 어울릴까?
Please tell me your name., 네 이름을 알려다오.
So you have chosen...,"그래, 선택했구나..."
Yes,네
No,아니오
"When on death's door, what will you consider a life well-lived?","죽음의 문턱에서, 과연 어떤 삶이 잘 산 것이라고 너는 생각하느냐?"
I did it all my way,나는 나만의 방식으로 모든걸 해냈다
I fulfilled who I was meant to be,나는 내가 되고 싶은 사람이 되었다
Many will mourn my passing,많은 이들이 나의 죽음을 애도할 것이다
"A desperate beggar corners you, demanding money.\NEWLINEWhat do you do?",필사적인 거지가 널 구석으로 몰고 돈을 요구한다면\NEWLINE어떻게 하겠느냐?
Intimidate him into backing down.,물러나라고 위협한다.
Talk your way out of the situation.,잘 말해서 상황을 빠져나간다.
Offer him a warm meal at the local pub.,동네 식당에서 따뜻한 식사를 사주겠다고 한다.
What is the most important trait a leader should have?,지도자가 가져야 하는 가장 중요한 자질은 무엇이라고 생각하느냐?
The ability to bring people together,사람들을 한 데 모으는 능력
An unshakeable love for the people,사람들에 대한 흔들리지 않는 애정
The power to command respect and fear,존경과 두려움을 불러일으키는 힘
What most leads to the downfall of great civilizations?,위대한 문명이 몰락하게 되는 가장 큰 원인은 무엇이라고 생각하느냐?
Faithlessness,불성실
Poverty,가난
Intolerance,편협함
"You were blessed with a child. \NEWLINEIf you could choose their fate, what would it be?","네가 아이를 잉태했다고 생각해보거라. \NEWLINE아이의 운명을 선택할 수 있다면, 무엇을 원하느냐?"
A famous musician,유명한 음악가
A great general,위대한 장군
A devout follower of the faith,신앙의 독실한 추종자
What do you look for most in a mate?,배우자에게 가장 중요하게 생각하는 것은 무엇이냐?
Beauty,아름다움
Wealth and Prestige,부와 명예
Intellect,지성
"As a potential ruler in difficult times, \NEWLINEwhat are your most effective tools?","어려운 시대의 잠재적 지배자로서, \NEWLINE네 가장 효과적인 도구는 무엇이 될 것 같으냐?"
Your kind heart,당신의 착한 마음
Your inspiring charisma,영감을 주는 카리스마
Fear,두려움
Which personal flaw do you want to avoid most?,다음 인간적 결함 중 가장 피하고 싶은 것은 무엇이냐?
Deceptive and exploitative,기만적이고 착취적임
Easily manipulated,쉽게 이용 당함
Lack of Willpower,의지 박약
You must give up your most valuable possession. \NEWLINEWhat is it?,가지고 있는 가장 소중한 것을 포기해야 한다면 \NEWLINE무엇을 버릴것이냐?
Your vast wealth,너의 막대한 부
Your battle prowess,너의 전투 기술
Your faith,너의 신앙
"Allows us to access the Bronze Arena from Home Base, then the Token is consumed. The Bronze Arena takes place in a Temperate climate, offers a low challenge, and modest rewards.","기지에서 황동 투기장에 들어가게 해 준 다음, 토큰이 소모됩니다. 황동 투기장은 온화한 기후에서 열리며 난이도가 낮고 보상도 소소합니다."
"Allows us to access the Silver Arena from Home Base, then the Token is consumed. The Silver Arena takes place in a Tundra climate, offers a medium challenge, and good rewards.","기지에서 순은 투기장에 들어가게 해 준 다음, 토큰이 소모됩니다. 순은 투기장은 툰드라 기후에서 열리며 난이도가 보통아고 좋은 보상이 주어집니다."
"Allows us to access the Gold Arena from Home Base, then the Token is consumed. The Gold Arena takes place in a Desert climate, offers a high challenge, and excellent rewards.","기지에서 황금 투기장에 들어가게 해 준 다음, 토큰이 소모됩니다. 황금 투기장은 사막 기후에서 열리며 난이도가 높고, 뛰어난 보상이 주어집니다."
"Allows us to access the Platinum Arena from Home Base, then the Token is consumed. The Platinum Arena takes place in a Temperate climate, offers the greatest challenge, and incredible rewards.","기지에서 백금 투기장에 들어가게 해 준 다음, 토큰이 소모됩니다. 백금 투기장은 온화한 기후에서 열리며 난이도가 대단히 높고, 믿을 수 없는 보상이 주어집니다."
"To embrace your destiny, and become who you are, is life's greatest purpose.",운명을 끌어안고 진정한 당신이 되는 것이 삶의 가장 큰 목적입니다.
"Used to unlock a huge amount of classes. Required for all Heavy Infantry and Heavy Cavalry, as well as many high-end Light Infantry and Cavalry, Archery, and Firearms units.","수많은 병과를 잠금 해제하기 위해 사용됩니다. 모든 중보병과 중기병, 또한 많은 고급 경보병과 기병, 궁수, 화기 유닛에도 필요합니다."
"Used to unlock high-end attackers. Required for Champion, Centurion, Knight, Assassin, Warbow, and Swordmaster.","고급 공격형 유닛들을 잠금 해제하는 데 사용합니다. 챔피언, 백인대장, 기사, 암살자, 저격수, 소드마스터 병과에 필요합니다."
"Used for high-end Mage and Support units. Required for Paladin, Valkyrie, Fire Mage, Lightning Mage, Ice Mage, Sorceress, and Templar.","고급 마법사와 지원 유닛들에 사용합니다. 성기사, 발키리, 화염 마법사, 번개 마법사, 얼음 마법사, 여마법사, 수호사제에 필요합니다."
"Used as a baseline resource for all Magicians, as well as Priestess, Templar, and Hospitaller.","모든 마법사와 여사제, 수호사제, 간호단의 기본 자원으로 사용됩니다."
"Used to create Firearms. Required for Gunner, Dragoon, and Siege Cannon.","화기를 만드는 데 사용됩니다. 총병, 총기병, 공성 대포에 필요합니다."
Required for all forms of Cavalry.,모든 형태의 기병에 필요합니다.
Gain a small amount of gold per fallen enemy defeated in any combat,어떤 전투에서든 처치한 적마다 소량의 금화를 얻습니다.
Defensive bonuses from Terrain are 50% more effective,지형으로부터 얻는 방어 보너스가 50% 더 효과적이 됩니다
Deal 20% more and take 20% less damage if Covering the Squad Leader,부대장을 앞에서 보호하고 있을 때 20% 더 많은 피해를 입히고 20% 적은 피해를 입습니다
Unit deals +25% damage for every incapacitated Unit in this Squad,유닛이 이 부대에서 전투불능이 된 아군 유닛마다 +25% 더 많은 피해를 입히게 됩니다
"Deal damage to enemy Morale, increases as STR increases","적 사기에 피해를 입히며, 힘이 증가할수록 증가합니다"
This unit is more likely to be targeted by enemies in battle,이 유닛은 전투 중인 적들에게 대상이 될 가능성이 높습니다
Unit is less likely to be targeted by enemies in battle,이 유닛은 전투 중인 적들에게 대상이 될 가능성이 낮습니다
Unit takes 25% less damage when under 50% Max HP,유닛이 최대 체력이 50% 이하일 때 25% 피해를 덜 입습니다
Enemies cannot Critical Hit this Unit,이 유닛에게 적들이 치명타를 입힐 수 없습니다
Critical hits bypass 100% of target armor,치명타가 대상의 방어구를 100% 우회합니다
Critical damage increased by 50%,치명타 피해량이 50% 증가합니다
Archery units in this Squad cost 2 less capacity,이 부대의 궁수 유닛들의 보급 비용이 2 줄어듭니다
Heavy Infantry units in this Squad cost 2 less capacity,이 부대의 중보병 유닛들의 보급 비용이 2 줄어듭니다
Heavy Cavalry units in this Squad cost 2 less capacity,이 부대의 중기병 유닛들의 보급 비용이 2 줄어듭니다
"Unit can no longer Critical Hit, but deals +15% damage",유닛이 더 이상 치명타를 가할 수 없는 대신 +15%의 피해를 입힙니다
"Unit has a chance, based on SKL, to prevent its primary target from counter-attacking in the same battle","유닛이 재주에 따라, 전투에서 주 공격 대상의 반격 발동을 막을 확률이 생깁니다"
Bonuses to Hit confer a partial bonus to critical hit chance (max: 15%),명중률이 치명타 확률에 부분적인 보너스를 줍니다 (최대: 15%)
Dealing Critical Hits restore a small amount of HP,치명타를 가할 때 소량의 체력이 회복됩니다
"Any Archery attacks from this unit will ignore the penalty for firing at Walls, or Woods from 2+ Range","이 유닛이 2타일 이상 거리의 성벽 또는 숲에 궁술 곡사 공격시, 해당 지형의 명중률 페널티를 무시합니다"
Unit does +50% more damage to Dragons.,유닛이 용들에 피해를 50% 더 입힙니다.
Unit gains resistance to Magician and Dragon attacks as STR increases,유닛이 힘이 늘어날 수록 마법사와 용 공격에 저항력이 생깁니다
Gain +3 STR at the start of battle for every Unit in the enemy Squad,전투 시작시 적 부대의 각 유닛 수만큼 +3 힘을 얻습니다
Unit has a chance for an extra action for every enemy below 25% HP at the end of combat,"전투가 끝날 때 25% 이하 체력인 모든 적마다, 유닛이 추가 행동을 할 기회가 생깁니다"
"When being healed, the effect is increased by 50%",치유 받을 때 효과가 50% 증가합니다
+25% damage to already damaged enemies,이미 피해를 입은 적들에게 +25%의 피해를 입힙니다
"When an ally is healed, this unit is also healed for 25% of the effect","아군이 치유될 때, 이 유닛 역시 효과의 25%만큼 치유됩니다"
"At the start of battle, gain a barrier equal to 50% of MAG",전투 시작 시 마력의 50%에 해당하는 보호막을 얻습니다
Gain STR equal to 25% of MAG,마력의 25%에 해당하는 힘을 얻습니다
Gain SKL equal to 33% of MAG,마력의 33%에 해당하는 재주를 얻습니다
Gain MaxHP equal to 100% of MAG,마력의 100%에 해당하는 최대 체력을 얻습니다
Deal +25% damage while on defense,방어하는 동안 +25%의 피해를 입힙니다
Unit has a chance to take another action in battle based on lower %HP remaining,유닛의 %체력이 적게 남아있을수록 추가 행동을 할 확률이 있습니다
"Once per Chapter, this unit will survive an enemy turn that would otherwise be fatal","장당 한 번, 이 유닛은 원래 죽어야 하는 적의 턴을 생존합니다"
"Unit does +50% more damage to Rogues, Assassins, and Magician units","유닛이 도적, 암살자, 마법사 유닛에게 +50%의 피해를 더 입힙니다"
Firearms units in this Squad cost 2 less capacity,이 부대의 화기 유닛들의 보급 비용이 2 줄어듭니다
Restore a small amount of HP when an enemy unit is killed in combat,적 유닛이 전투에서 죽을 때 소량의 체력을 회복합니다
"When this Squad uses Forced Surrender, Enemy Units are more likely to Surrender","이 부대가 투항 권고를 사용하면, 적 유닛이 항복할 가능성이 높아집니다"
Increased drop chance when destroying or forcing the surrender of enemy Squads,적 부대를 궤멸시키거나 항복시킬 때 전리품을 얻을 확률이 증가합니다
"Squad is immune to negative effects of Blizzard weather, and gains bonus evasion in Blizzard and Snow","부대가 눈보라 날씨의 부정적 영향에 면역이 되고, 눈보라와 눈 날씨에서 보너스 회피를 얻습니다"
Squad is immune to Heat Wave and Desert movement penalty,부대가 열파와 사막 지형 이동 페널티에 면역이 됩니다
Trait Learnable,배울 수 있는 특성
Use a tome to learn a trait in this slot!,이 슬롯에 책을 이용하여 특성을 배우세요!
Polearm Warrior,장창 전사
"Increases attack versus Cavalry units by 35%, and grants immunity to Shock","기병 유닛에 대한 공격이 35% 증가하고, 충격에 면역이 됩니다"
35% bonus damage to firearms troops,화기 부대에 35% 추가 피해를 입힙니다
Guardian,방어자
Unit takes -25% damage while on defense,유닛이 방어하는 동안 -25%의 피해를 받습니다
Magic Armor,마법 방어구
Reduces incoming spell damage by 50% of Armor.,방어구의 50%만큼 받는 마법 피해가 감소합니다.
Stealth Attack,은신 공격
Attack rear row without penalty on the first round of combat,전투의 첫 번째 라운드에서 페널티 없이 뒷줄을 공격합니다
Guerilla,유격대
Bonus hit and evasion when standing in rough terrain and/or on Offense,거친 지형에 서 있을 때 및 공격 시 보너스 타격 및 회피
Firearms Slayer,화기 제거자
+35% damage to firearms,화기 유닛에 대해 +35% 피해
Hit and Run,치고 빠지기
Bonus hit and evasion when standing in Open terrain and/or on Offense,열린 지형에 서 있을 때 및 공격 시 보너스 타격 및 회피
Shadowchaser,그림자 추적자
Bonus movement in Ambushable terrain and ignore enemy Zones of Control,매복 가능한 지형에서 보너스 이동 및 적의 제어 구역 무시
Imposing,위엄
Noisy Cricket,시끄러운 귀뚜라미
