Change to,改变为
Adjusts the starting stats and stat scaling of enemies in the game. Does not affect ally (green) squads.,调整游戏中敌军的初始数值以及数值成长。不影响友军（绿色）小队。
More battle experience will be required to advance Unit levels.,提升单位等级会需要更多的战斗经验。
Enemy squads will be randomly equipped with artifacts.,敌方小队会随机装备神器。
Certain enemy squad locations will be swapped.,部分敌方小队的位置会发生交换。
Enemies will have an increasing ability to command Risen as the playthrough progresses.,通关过程中，敌方指挥复苏单位的能力会越来越强。
Increases the starting morale of most enemies and makes them slightly more resistant to morale loss in combat.,增加绝大多数敌人的初始士气，并略微减少战斗给他们带来的士气损失。
Boss squads become more resistant to all damage types,提升首领小队对所有伤害种类的抗性。
Increases the effect of Zones of Control for ALL squads.,增加所有小队的控制区域效果。
Story characters' positive stat modifiers are reduced. Increases the charge time for Powers.,故事角色的正向数值修正系数的效果被削减。延长圣灵之力的充能时间。
Each enemy leader is granted a Specalist trait that increases their power in certain situations.,所有敌方队长都被赋予一个能在特定情况下增强他们能力的专家特性。
Increases the penalties associated with terrain and weather.,增加地形和天气惩罚。
Enemies recieve an additional stat boost based on the number of previous playthroughs completed.,基于通关次数给予敌方额外的数值提升。
Story characters will retain certain properties from the previous playthrough upon rejoining.,故事角色在入队时会保留从先前周目中获得的部分特性。
"Non-unique, non-story characters will have their stat modifiers increased based on how many playthroughs they have survived.",非特殊且非故事角色的数值修正系数效果会基于其存活周目数得到加强。
All gilded troops from the previous run will lose their gilded status when carried over into the next playthrough. Cost to be reduced accordingly.,上一周目所有升至黄金职业的部队都会丧失其黄金职业状态。花费也会相应减少。
Are you sure you want to refund all merits?,确定要回退所有华彩之证吗？
Makes this troop lose their gilded status. Cost to be reduced accordingly.,使该部队失去其黄金职业状态。花费也会相应减少。
All powers are unlocked from the start of the game.,游戏开始时解锁所有圣灵之力。
Shops will restock certain items on purchase with an ever-increasing cost. Cost increase will be reset upon shop refresh.,部分商品在被购买后会立即补货，价格持续升高。商店刷新后提升的价格也会随之重置。
"Arena can be played without a token, but no rewards will be granted in doing so. Arenas entered via token still grant normal rewards.",不使用代币也能参与竞技场玩法，但不会获得奖励。使用代币参与竞技场则照常发放奖励。
"Replay this mission. Missed objectives can be captured, but otherwise no additional rewards will be granted.",重玩该任务。先前错过的目标可以被占领，但此外不会获得其他额外奖励。
Non-leader Units no longer suffer a penalty to LDR growth.,非队长单位不再遭受统帅值成长惩罚。
Adjust the overall rate of CP acquisition.,调整总体职业经验获取率。
Cost to Revive at Donari Temple,在多纳尔教圣殿复活的费用
Increased Unit Capacity cost past 5 Units in a Squad,小队超过五个单位后单位占用规模增加量
No Resource Exchange in Home Bases,在大本营中无法进行资源交换
Enemies more clever and ruthless,更加聪明与冷酷的敌人
Enemy Cavalry Squads can move after attacking,敌方骑兵小队可以进行攻击后移动
In-Battle healing effect decreased,削减战斗中治疗效果
Increased Artifact Capacity cost,增加神器占用规模。
Attack power scales more slowly as stats increase,削减攻击力随数值增长的速度。
Rate of decreased magic and healing efficacy with repeated use in the same Phase.,在同一回合内重复使用魔法与治疗的效力衰减率。
Gunner volleys separated by row.,不同排的火枪兵分别齐射。
Adjust shop prices.,调整商店价格
