Chapter 22: Greywind Peak,第22章：灰风山峰
"Greywind Peak stands before us, and within it, Diana's destiny as a fully-realized Nephilim warrior.",灰风山峰矗立在我们面前，里头等待着戴安娜的是成为一名真正的圣灵战士的宿命。
"Nephilim Army Sayunaa Front Base, Year 999",999年，圣灵军团驻萨育纳前营
Chapter 23: Unwise Alliance,第23章：不智联盟
"The Kingdom of Sayunaa has subjugated itself to Casamir to avoid war, and has disposed of their own monarchs. We must try to rein in the Sayunaari, by any means necessary.",萨育纳王国向卡萨米尔俯首称臣以避战，还处置了他们的王。我们必须要设法制止他们。
"Ezrum, Year 999",999年，艾泽拉姆
Chapter 24: Scorched Sands,第24章：灼热黄沙
"The Sayunaari have thrown in completely for Casamir, and against us. We must try to salvage the situation. By reducing their warmaking ability, we may demoralize them enough to call for peace.",萨育纳向卡萨米尔倒戈，还要与我们兵戎相见。我们一定要逆转局势。通过降低对方作战能力来削减他们的士气，我们说不定可以劝降他们。
"Fort Dakur, Year 999",999年，达库尔堡
Chapter 25: Kingdom of Gold,第25章：黄金之国
"The golden city of Sayunaa's capital lies before us. Regent Lord Cyrus stands defiant, throwing many unwilling Sayunaari into battle. May Donar bring this war to an end soon.",萨育纳的首都黄金之城就在我们的面前。摄政王塞鲁士与我们公然对抗，强行将萨育纳人押上战场。多纳尔在上，请让这场战争快些结束吧。
"Nephilim Army Front Base outside Stormrook, Year 999",999年，风鸦堡外，圣灵军团前营
Chapter 26: Stormrook Looms,第26章：风鸦堡之危
"With Sayunaa and its resources on our side, our army has grown powerful. We now face a massive clash in the Rimorgue River Valley. If we can conquer Stormrook and Rimorgue, Casamir is doomed.",萨育纳和其丰富的资源站在了我们这边，我们的将士们变得更强了。现在要解决的是里莫格河谷的大规模冲突。要是能攻下风鸦堡和里莫格，卡萨米尔的气数已尽。
"Nephilim Army Front Base at Armitage, Year 999",999年，阿米塔吉，圣灵军团前营
Chapter 27: Return to the Origin,第27章：回到原点
"Casamir refuses to surrender despite obvious defeat. As we move to conquer Armitage, we must consider the lives of the Imperial soldiers whose morale is broken and are desperate for peace.",遭受如此大败，卡萨米尔却还拒不投降。在进兵阿米塔吉的同时，我们务必要考虑那些士气崩溃、急于求和的帝国士兵。
"Armitage Base, Year 999",999年，阿米塔吉营地
Chapter 28: Downfall,第28章：一蹶不振
"The enemy has holed himself up in the Imperial Palace. The Followers of Zanatus have mobilized their most deadly forces. Have no mercy for the cultists, or Casamir.",敌人躲进了皇宫。扎纳图斯的信徒派出了他们最凶悍的军队。不要对邪教徒或卡萨米尔手软。
"Imperial Palace, Year 999",999年，皇宫
Chapter 29: Zenith of the World,第29章：世界之巅
"The Avatar of Donar is but a few steps from full realization, and the remnants of the Followers of Zanatus are the last barrier in our way. We soon face the cult Grandmaster...",多纳尔的化身近在咫尺，而残余的扎纳图斯信徒是我们前进道路上的最后一道障碍。很快，我们就要与邪教教宗交手……
"Gateway at Mount Ptolomea, Year 999",999年，托洛米亚山门
Chapter 30: Armageddon,第30章：末世审判
All of the seals between the Divine Realm and the Mortal Realm are now broken. Armageddon has again come to Tahnra. Destroying Zanatus is the only way to avoid total annihilation.,神界与凡界之间的封印，如今全部破开。塔恩拉又一次迎来了末世审判。唯有打倒扎纳图斯才能避免全灭。
Gaiden Chapter A: Unrelenting Ambition,外传一：宁折不屈
"Sybil's recklessness has thrown us into a melee with the Imperial forces at the Felnamia provice. We must both save Sybil, and seize Felnamia.",由于茜比尔的鲁莽，我们只得在费纳米亚与帝国军队激战。我们要救援茜比尔，还要攻下费纳米亚。
Gaiden Chapter B: Dragon's Haven,外传二：龙之桃源
"The enemy has sought to monopolize war Dragons by annihilating broods not within their control. Azuros, an ancient monarch, could be a powerful ally if we can intercept the Imperial attackers in time.",敌人试图通过根除不听话的龙族来垄断战龙。如果我们能及时堵截帝国的攻击，上古龙王阿祖罗斯将成为强大的盟友。
Gaiden Chapter C: No Mercy for the Merciful,外传三：慈悲者的悲歌
We have located one of the largest child detention complexes in the world. This evil cannot be allowed to continue. Wipe out the enemy completely.,我们找到了规模居世界前列的儿童羁留营。一定要扼杀这种罪恶的存在。杀光敌人。
Gaiden Chapter D: Clockwork City,外传四：机关之城
Casamir has always had an abundance of firearms and cannons at his disposal. It's time to break into their Pyrocite stores in Sandraka City and take this advantage for ourselves.,卡萨米尔拥有海量火器和大炮。是时候闯入他在桑德拉卡市的火铁矿商店，将它们占为己有了。
Gaiden Chapter E: Ishtar's Lament,外传五：伊什塔尔的挽歌
"I can't shake this feeling, it is familiar, but unsettling...",我无法摆脱这种感觉，它既熟悉，但又令人不安……
Bronze Arena,青铜竞技场
Silver Arena,白银竞技场
Gold Arena,黄金竞技场
Platinum Arena,白金竞技场
Endurance Trial,耐力测试
Legends 1A: Promise of Peace,传说 第1章上：和平承诺
Florina Iblis's claim to the Imperial throne brings hopes for the end to the Succession War. But surely the claim will be contested...,芙洛里娜·艾比斯继承皇位一事有望为继位战争划下句点。但肯定会有人会对此提出异议……
Legends 1B: Defend the Claim,传说 第1章下：捍卫宣称
The pretenders to the throne have launched a final desperate bid to stop Florina's coronation. Defend Imperial territory from invasion!,王位争夺者孤注一掷，试图阻止芙洛里娜的加冕仪式。保卫帝国领土免受入侵！
Legends 2: Barek Tor,传说 第2章：兽人
,
Legends 3A: Whispers from Grothnor,传说 第3章上：来自葛索诺的传闻
Fort Rittenbach has claimed another scout party... missing without explanation. Duke Jaromir mobilizes his army to personally investigate.,游独堡声称有又有一支侦察队……无缘无故失踪了。贾洛米公爵亲自率军调查。
Legends 3B: Life and Unlife,传说 第3章下：生者与死灵
"Grothnor's undead hordes have reached as far as Embor, and the other nobles refuse to help. Defend Embor at all costs!",葛索诺的亡灵大军已经兵临恩博尔，其他贵族却拒绝提供援军。保卫恩博尔，不惜一切代价！
Legends 4: Pendergast's Folly,传说 第4章：潘德加斯特的愚蠢
Legends 5: Shadowchaser,传说 第5章：追影之人
Legends 6: Queen of Dragons,传说 第6章：龙之女王
"Azuros has left suddenly. Scouts report a rival brood, controlled by the Archaelus Empire, has threatened Azuros's hidden brood hive.",阿祖罗斯突然离开了。侦察员发现阿祖罗斯的隐藏巢穴受到了一个由阿开勒斯帝国控制的敌对龙巢的威胁。
Grassland,草原
Ramp,斜坡
Cliffs,悬崖
Hazard,危害物
Lava Cave,熔岩洞穴
High Ground,高地
Ladder,梯子
Road,路
Bridge,桥
Dungeon,地牢
Shadows,阴影
Ambush Trench,伏击战壕
Industrial,工业区
Tower,塔
Throne,王座
Divine Realm,神界
Hills,丘陵
Plains,平原
Wheat Field,麦田
Town,小镇
Wall,墙
Desert,沙漠
Snow,雪
Woods,树木
Forest,森林
Water,水
Swamp,沼泽
Ship,船只
Sky,天空
Mountains,山脉
Mine,矿井
Stables,马厩
Fort,堡垒
Base,营地
Temple,圣殿
Village,村庄
Bazaar,集市
Slow,减速
Light,轻
Infantry,步兵
Cavalry,骑兵
Flying,飞行
Clear,清除
Cloudy,多云
Overcast,阴天
Rainy,雨天
Storm,风暴
Snowy,下雪
Blizzard,暴风雪
Indoors,室内
Stormy,风暴
Heat Wave,热浪
"Ah, there you are, child of destiny. You've arrived\NEWLINE  at a very opportune time, you will find.",啊，你在这里，命运之子。\NEWLINE你来得正是时候。
"Let me look into your heart. Who are you? Will your\NEWLINE  journey be marked by virtue, or will this land's people\NEWLINE  remember you as an adversary?",让我看看你的内心。\NEWLINE你是谁？你的旅途将留下真善美的印记，\NEWLINE还是让这片土地的人们记住你为头号公敌？
"Thank you. What an intriguing soul! Go, and I will\NEWLINE  see you here again when the time is right.",谢谢你。多么有趣的灵魂！\NEWLINE去吧，我们到时候还会再在此相会。
"Go forth, and leave your mark on this world!",去吧，在这个世界上留下你的印记吧！
Which form suits you?,哪种形象更适合你？
Please tell me your name.,请告诉我你的名字。
So you have chosen...,所以，你选择了……
Yes,是
No,否
"When on death's door, what will you consider a life well-lived?",临死之前，你觉得怎样才算这辈子没有白活？
I did it all my way,尽力做好每一件事
I fulfilled who I was meant to be,我完成了我的使命
Many will mourn my passing,许多人将为我哀悼
"A desperate beggar corners you, demanding money.\NEWLINEWhat do you do?",一个绝望的乞丐靠近了你，向你讨钱。\NEWLINE你要怎么办？
Intimidate him into backing down.,恐吓他，让他退让
Talk your way out of the situation.,用话术脱身
Offer him a warm meal at the local pub.,请他在当地的酒馆吃顿热饭
What is the most important trait a leader should have?,领导最应该具备的特质是什么？
The ability to bring people together,凝聚人心的能力
An unshakeable love for the people,对人民坚定的大爱
The power to command respect and fear,翻云覆雨的权力
What most leads to the downfall of great civilizations?,导致伟大文明衰落的主要原因是什么？
Faithlessness,失去信仰
Poverty,民生凋敝
Intolerance,安于现状
"You were blessed with a child. \NEWLINEIf you could choose their fate, what would it be?",你很幸运有了孩子。\NEWLINE如果可以的话，你会为他选择什么样的命运？
A famous musician,著名音乐家
A great general,杰出的将领
A devout follower of the faith,虔诚的信徒
What do you look for most in a mate?,择偶时你最看重什么？
Beauty,美丽
Wealth and Prestige,财富和声望
Intellect,智力
"As a potential ruler in difficult times, \NEWLINEwhat are your most effective tools?",在困难时期，身为潜在的统治者，\NEWLINE你最有效的工具是什么？
Your kind heart,你善良的心
Your inspiring charisma,你鼓舞人心的魅力
Fear,恐惧
Which personal flaw do you want to avoid most?,你最想避免哪种人格缺陷？
Deceptive and exploitative,容易被骗和利用
Easily manipulated,容易被人操纵
Lack of Willpower,缺乏意志力
You must give up your most valuable possession. \NEWLINEWhat is it?,如果要放弃最宝贵的东西，\NEWLINE你会放弃什么？
Your vast wealth,巨额财富
Your battle prowess,战斗力
Your faith,信仰
"Allows us to access the Bronze Arena from Home Base, then the Token is consumed. The Bronze Arena takes place in a Temperate climate, offers a low challenge, and modest rewards.",可从大本营进入青铜竞技场，并消耗代币。青铜竞技场位于温带地区，挑战难度低，收益一般。
"Allows us to access the Silver Arena from Home Base, then the Token is consumed. The Silver Arena takes place in a Tundra climate, offers a medium challenge, and good rewards.",可从大本营进入白银竞技场，并消耗代币。白银竞技场位于苔原地带，挑战难度适中，收益不错。
"Allows us to access the Gold Arena from Home Base, then the Token is consumed. The Gold Arena takes place in a Desert climate, offers a high challenge, and excellent rewards.",可从大本营进入黄金竞技场，并消耗代币。黄金竞技场位于沙漠地带，挑战难度高，收益高。
"Allows us to access the Platinum Arena from Home Base, then the Token is consumed. The Platinum Arena takes place in a Temperate climate, offers the greatest challenge, and incredible rewards.",可从大本营进入白金竞技场，并消耗代币。白金竞技场位于温带地区，挑战难度极高，收益极高。
"To embrace your destiny, and become who you are, is life's greatest purpose.",拥抱命运，成为自己，是人生最大的目标。
"Used to unlock a huge amount of classes. Required for all Heavy Infantry and Heavy Cavalry, as well as many high-end Light Infantry and Cavalry, Archery, and Firearms units.",用于解锁大量职业。所有重步兵、重骑兵，以及许多高阶轻步兵、轻骑兵、弓兵和火器单位都需要。
"Used to unlock high-end attackers. Required for Champion, Centurion, Knight, Assassin, Warbow, and Swordmaster.",用于解锁高阶进攻单位。冠军剑士、百夫长、骑士、刺客、战弓手和剑圣需要。
"Used for high-end Mage and Support units. Required for Paladin, Valkyrie, Fire Mage, Lightning Mage, Ice Mage, Sorceress, and Templar.",用于高阶法师和辅助单位。圣骑士、女武神、火法师、闪电法师、冰法师、女巫和圣疗者需要。
"Used as a baseline resource for all Magicians, as well as Priestess, Templar, and Hospitaller.",用于所有法师单位以及女祭司、圣疗者和疗骑士的基本资源。
"Used to create Firearms. Required for Gunner, Dragoon, and Siege Cannon.",用于制作火器。火枪兵、龙骑兵和攻城炮需要。
Required for all forms of Cavalry.,所有类型的骑兵都需要。
Gain a small amount of gold per fallen enemy defeated in any combat,在拼杀中，每击败一个敌人，都能获得少量的金币
Defensive bonuses from Terrain are 50% more effective,地形提供的防御加成提高50%
Deal 20% more and take 20% less damage if Covering the Squad Leader,掩护队长时，造成的伤害增加20%，受到的伤害减少20%
Unit deals +25% damage for every incapacitated Unit in this Squad,队伍中每有一个失去战斗力的单位都会使此单位的伤害+25%
"Deal damage to enemy Morale, increases as STR increases",对敌方士气造成伤害，力量越高，伤害越高
This unit is more likely to be targeted by enemies in battle,单位在战场上更容易成为敌人的目标
Unit is less likely to be targeted by enemies in battle,单位在战场上更难成为敌人的目标
Unit takes 25% less damage when under 50% Max HP,单位生命值低于最大生命值的50%时，受到的伤害减少25%
Enemies cannot Critical Hit this Unit,单位不会被敌人暴击
Critical hits bypass 100% of target armor,暴击忽略目标100%护甲
Critical damage increased by 50%,暴击伤害提高50%
Archery units in this Squad cost 2 less capacity,小队内的弓兵单位占用规模减2
Heavy Infantry units in this Squad cost 2 less capacity,小队内的重步兵单位占用规模减2
Heavy Cavalry units in this Squad cost 2 less capacity,小队内的重骑兵单位占用规模减2
"Unit can no longer Critical Hit, but deals +15% damage",单位不能暴击，但能造成+15%的伤害
"Unit has a chance, based on SKL, to prevent its primary target from counter-attacking in the same battle",在同一场战斗中，单位有机会，根据灵巧阻止主要目标进行反击
Bonuses to Hit confer a partial bonus to critical hit chance (max: 15%),命中加成也将会为暴击率带来部分加成（最大：15%）
Dealing Critical Hits restore a small amount of HP,暴击时恢复少量生命值
"Any Archery attacks from this unit will ignore the penalty for firing at Walls, or Woods from 2+ Range",该单位在2格外发动的所有弓术攻击都会忽略墙壁或树木的惩罚。
Unit does +50% more damage to Dragons.,单位对龙造成+50%的伤害
Unit gains resistance to Magician and Dragon attacks as STR increases,力量越高，单位对法师和龙的攻击的抵抗力越高
Gain +3 STR at the start of battle for every Unit in the enemy Squad,战斗开始时，敌方小队中的每个单位都会使其力量+3
Unit has a chance for an extra action for every enemy below 25% HP at the end of combat,拼杀结束时，每有一个生命值低于25%的敌人，该单位就有机会额外行动一次
"When being healed, the effect is increased by 50%",被治疗时效果提升50%
+25% damage to already damaged enemies,对受伤的敌人造成+25%伤害
"When an ally is healed, this unit is also healed for 25% of the effect",当一名友军受到治疗时，该单位也会得到25%的治疗效果
"At the start of battle, gain a barrier equal to 50% of MAG",战斗开始时，获得相当于50%魔法的护盾
Gain STR equal to 25% of MAG,获得相当于25%魔法的力量
Gain SKL equal to 33% of MAG,获得相当于33%魔法的灵巧
Gain MaxHP equal to 100% of MAG,获得相当于100%魔法的最大生命值
Deal +25% damage while on defense,防守时造成+25%的伤害
Unit has a chance to take another action in battle based on lower %HP remaining,根据剩余的生命值百分比，单位在战场上有机会再行动一次
"Once per Chapter, this unit will survive an enemy turn that would otherwise be fatal",该单位能够从一个原本对其致命的敌方回合中生还，每个章节限一次
"Unit does +50% more damage to Rogues, Assassins, and Magician units",单位对盗贼、刺客和法师单位造成+50%伤害
Firearms units in this Squad cost 2 less capacity,小队内的火器单位占用规模减2
Restore a small amount of HP when an enemy unit is killed in combat,拼杀中击杀敌方单位时恢复少量HP
"When this Squad uses Forced Surrender, Enemy Units are more likely to Surrender",小队使用强迫投降更有可能成功
Increased drop chance when destroying or forcing the surrender of enemy Squads,击溃或迫降敌方小队时掉落几率增加
"Squad is immune to negative effects of Blizzard weather, and gains bonus evasion in Blizzard and Snow",小队免疫暴风雪天气的负面影响，并在暴风雪和雪天中获得闪避加成
Squad is immune to Heat Wave and Desert movement penalty,小队免疫热浪和沙漠移动惩罚
Trait Learnable,可学特性
Use a tome to learn a trait in this slot!,使用宝典来学习特性！
Polearm Warrior,长柄战士
"Increases attack versus Cavalry units by 35%, and grants immunity to Shock",对骑兵单位的攻击力提高35%，并免疫冲击
35% bonus damage to firearms troops,对火器部队有35%的伤害加成
Guardian,牢不可破
Unit takes -25% damage while on defense,本单位防守时受到的伤害减少25%
Magic Armor,魔法护甲
Reduces incoming spell damage by 50% of Armor.,根据护甲的一半减免受到的法术伤害
Stealth Attack,出其不意
Attack rear row without penalty on the first round of combat,在第一轮拼杀中攻击后排不受惩罚
Guerilla,游击
Bonus hit and evasion when standing in rough terrain and/or on Offense,站在崎岖地形或发动进攻时，享受命中和闪避加成
Firearms Slayer,火器杀手
+35% damage to firearms,对火器的伤害+35%
Hit and Run,打了就跑
Bonus hit and evasion when standing in Open terrain and/or on Offense,站在开阔地形或进攻时获得命中和闪避加成
Shadowchaser,追影之人
Bonus movement in Ambushable terrain and ignore enemy Zones of Control,可伏击地形获得移动加成并忽略敌方的控制区域
Imposing,气度不凡
Noisy Cricket,引人注目
Squad loses 15% threat for the purposes of being targeted (more likely to be targeted),小队为了成为目标而失去15%的威胁（更有可能成为目标）
Combat Medic,战斗军医
Support units in this squad heal for 20% more,小队中的辅助单位多治疗20%
Hospitaller,疗骑士
Out-of-battle Healing is 25% stronger,战斗外的治疗效果高25%
Unassuming,深藏不露
Archer Captain,弓兵队长
Soldier Captain,步兵队长
Knight Captain,骑兵队长
Melee Cavalry units in this Squad cost 2 less capacity,小队中近战骑兵单位占用规模减少2
Bowmanship,射艺精湛
Arcane Vigor,奥法之魄
Gain Max HP equal to 100% of MAG,获得相当于100%魔法的最大生命值
Arcane Might,奥法之力
Arcane Speed,奥法之速
Coldblooded,冷酷无情
Beacon,生生不息
Colossal,庞然大物
"Cannot dodge, deals increased morale damage",无法闪避，对士气造成的伤害增加
Desperation,背水一战
Smite,正义铁拳
Dragonslayer,屠龙勇士
Unit does +50% more damage to Dragons,单位对龙造成+50%的伤害
Field Marshal,陆军元帅
+10 Hit/Evade to entire army while squad is deployed,其小队在场时，整支军队的命中/闪避+10
Bloodlust,渴血击杀
Genbu Shell Fragment,玄武甲片
Soha's Blood Shard,索哈的血之碎片
Giant's Thresher,巨人的收获之镰
"Squad does +25% damage to larger Squads, and -25% damage to smaller Squads",向比小队大的队伍造成+25%的伤害，但向比小队小的队伍造成-25%的伤害
Sayunaari War Pike,萨育纳战矛
Squad does +15% damage to Cavalry,小队对骑兵的伤害+15%
Obsidian Edge,黑曜石之锋
"Squad does +25% damage to Boss Squads, only applies to Human targets",小队对首领队伍造成+25%的伤害（仅适用于人类目标）
Everlasting Potion,永恒药水
Restore 20% max HP of the unit with the most missing HP at the start of combat,拼杀开始时恢复损失血量最多的单位20%最大血量
Counterattack,以守为攻
Deal +25% damage while on defense.  Stacks with Black Belt,防守时造成+25%的伤害。 可与黑带叠加
Black Belt,黑带
Deal +25% damage while counterattacking,反击伤害+25%
Disarm,夺刃巧击
Resolve,坚毅不挠
Immortal Spirit,魂在人在
"Once per Chapter, this unit will survive an enemy volley that would otherwise be fatal",单位在受到敌人枪击造成的致命伤时不会死，每个章节限一次
Precision,百发百中
Lithe Assault,灵巧攻击
Concentration,全神倾注
Unscathed,铜墙铁壁
Assassin's Heart,刺客之心
Assassin's Reaper,刺魂夺魄
Silver-Tongued,能说会道
Warrior's Hubris,拳穿穹宇
Stormrook's Walls,风鸦堡之墙
Squad deals +20% damage when attacking from wall to non-wall,小队在墙上攻击墙下的敌人时伤害+20%
Challenger,遇强则强
Lucky,福星高照
Some people are just lucky,有些人就是这么走运
Treasure Hunter,赏金猎人
Increased chance to find an item when destroying or forcing the surrender of enemy Squads,击溃或迫降敌方小队时获得物品的机会提高
Arcane Barrier,奥法之盾
Mentor,为人师表
Greatly improves leadership growth of subordinates.,极大提高下属的领导力成长
Healing Attuned,回春有术
Guardian Impulse,守护直觉
Gain a chance at an extra action for every ally unit below half health at the end of combat,拼杀结束时，每有一个低于一半生命值的友军单位就有机会进行一次额外行动
Executioner,手起刀落
Overpower,以力服人
Deal damage to enemy Morale based on difference in STR,根据力量的差异对敌方士气造成伤害
Vengeance,报仇雪恨
Bodyguard,挺身而出
Venerable,德高望重
Squad Leader cannot be directly targeted unless all other squad members are incapaciated,在己方小队其他成员阵亡之前敌方不能以该小队队长为直接目标
Dragon Affinity,龙族亲和
Dragons in squad gain class XP faster,小队的龙获得职业经验更快
Light's Judgement,光之审判
"When taking damage in battle, Diana gains Attack Power for the duration of the battle",戴安娜在战场上受到伤害时，将在战斗期间获得攻击力提升
Garrison,就地驻扎
Damage reduction granted from terrains is increased by 50%,地形带来的伤害减免提高50%
Soul of Sayunaa,萨育纳之魂
"Once per Phase, Swordfighter, Swordmaster, and Blademaster will automatically strike first on defense",每轮一次，剑客、剑圣和刀剑大师在防守时会先手攻击
Desert Warrior,黄沙勇士
Guile,兵行诡道
Unit bypasses Block and can attack any target,单位可以绕过阻挡攻击目标
Retainer,忠心老仆
Jules takes 50% less damage if within 3 tiles on the tactical map,如果朱尔斯和此单位在战术地图上的距离不大于3个格子，朱尔斯获得50%伤害减免
Tundra Warrior,苔原勇士
"Squad is immune to negative effects of Blizzard weather and Chill status, and gains bonus evasion in Blizzard weather and Snow terrain",小队免疫暴风雪天气和寒冷状态的负面影响，并在暴风雪天气和雪地中获得闪避加成
Feline Acuity,猫之灵敏
Massive evasion boost versus stealth attacks,大规模提升闪避潜行攻击的能力
Barek Tor Savagery,兽人野性
"At Night, every attack is an Ambush",在晚上发动的所有攻击都是伏击
Scavenger,拾荒不辍
Thievery,顺手牵羊
"On combats initiated by my squad, steal a small amount of gold from the primary target based on SKL",在我方小队发起的拼杀中，根据灵巧从主要目标处窃取少量金币
Haughty,心高气傲
Beatrix is not affected by the morale of her squad,碧翠丝不受自身所在小队士气的影响
Shock and Awe,口径即正义
Donar's Presence,多纳尔显圣
Squads within 3 tiles are given a morale boost,提升3个格子内的小队士气
Shadow,悄无声息
Squad can move through tiles containing enemy Squads,小队可以通过有敌方小队的格子
Hand of Zanatus,扎纳图斯之手
2x damage to enemy morale from all actions and enemies will not surrender,所有行动都会对敌人士气造成2倍伤害，敌人不会投降
Monarch,九五至尊
