ENGLISH,ZH-cn,
"Date: Year 969-972\\PARLocation: Veridia Province, Western Sayunaa\\PARBelligerents: Various noble houses from Veridia and Sayunaa, Central Imperial government\\PARResult: Treaty of Trucea. Compromise between feuding nobles, Florina, descendent of House Iblis of Rimorgue, installed as Empress.\\PARTerritory changes: Though House Iblis made marginal gains to the West and South, all territory returned to pre-war borders following the Treaty of Trucea.\\PARCasualties: 124,000 military deaths, 2,000,000 military and civilians injured or displaced\\PARUndoubtedly the greatest disaster in recent memory, this war spiraled out of control with what began as a minor disagreement about the lineage of various possible successors following the untimely death of the former Emperor.",日期：969-972年\\PAR位置：萨育纳西部，维尔迪亚省\\PAR交战方：维尔迪亚和萨育纳的贵族家族，中央帝国政府\\PAR结果：特鲁恰条约。纷争已久的贵族作出让步，里莫格的艾比斯家族之女芙洛里娜因此任命为皇。\\PAR领土变化：尽管艾比斯家族在西南方打下不少领土，但根据特鲁恰条约，全部的边境划分都恢复到战前状态。\\PAR伤亡：12.4万将士牺牲，2百万将士和平民受伤或流离失所。\\PAR这场战争毫无疑问是近来最大的人祸。由于先帝过早驾崩，人们在遴选新帝时对众继位者的血统的看法又有些分歧，事态愈演愈烈，最终一发不可收拾。,
Kingdom of Sayunaa,萨育纳王国,
"This nation spans a sizeable territory in the hot, arid center of the mainland and is surrounded on all sides by treacherous mountains and desert.\\PARSuspicious of outsiders. Boasts a massive reserve of mineral wealth that fuels Sayunaa's power.",这个国家在大陆中心占有了大部分在炎热干旱的土地，被崇山峻岭和沙漠所环绕。\\PAR不信任外地人。由于其丰富的矿产资源储备，萨育纳的实力大幅增长。,
General Antares,安塔瑞斯将军,
"Race: Veridian Human\\PARBirthplace: Armitage\\PARHeight: 6'0''\\PARWeight: 198 lbs\\PARBirth year: 948\\PARGeneral during the War of Veridian Succession, and leader of a Rebellion of his own creation in protest of government overreach.",民族：维尔迪亚人\\PAR出生地：阿米塔吉\\PAR身高：189\\PAR体重：90kg\\PAR出生年：948\\PAR维尔迪亚继位战争大将军，为抗议政府的过度扩张而叛乱，任叛军领袖。,
Squads,小队,
"Your Army is organized into Squads. Squads are comprised of between 1 and 9 units, with one of them serving as the Squad Leader.\\PARSquad Capacity, the ability to include more units and artifacts, is determined by the LDR stat of the Squad Leader.\\PARSquad unit composition determines Squad Type, which affects movement and combat.\\PARUse the 'Organize' command in Home Base and Deployment phases to create, disband, and edit your Squads. You are also able to change class, equipment, traits, and assign Squad Leader.",你的军队分编为各个小队。小队由一名小队长领导，可以有1到9个单位。\\PAR小队规模由队长的统率决定，影响可率领的单位和携带的神器数量。\\PAR小队单位的构成决定小队类型，影响移动和拼杀模式。\\PAR在大本营和部署阶段通过“管理”命令来创建、解散和编辑你的小队。你还可以更改职业、装备、特性，以及委任队长。,
Moving and Attacking,移动和攻击,
"Squads move on the Tactical Map at your command. When first selecting a Squad, you will be given the option to move them to a tile within their movement range.\\PARSquads can attack before OR after moving, but if a Squad attacks, its turn is automatically over. The exception is Cavalry Squads, who can move after attacking.",小队听从你的命令在战术地图上移动。首次点选小队，可以让他们在可移动范围内的格子移动。\\PAR小队在移动前后都可以发动攻击，但是攻击后，小队不会再在当前回合行动。骑兵小队除外，他们在攻击后还可以移动。,
Settlements,驻地,
"Villages, Towns, Castles, and Palaces are Settlements. When captured, these grant you Faction XP and Gold.",村庄、城镇、城堡和宫殿都是驻地。占领后提供阵营经验和金币。,
Mines,矿石,
"Provides resources, including Iron, Gems, Gold, Obsidian, Pyrocite, and Sunstone.",提供资源，包括铁矿、宝石、黄金、黑曜石、火铁矿和日光石。,
Bases,营地,
"Powerful defense bonuses for the gate defender. If one enemy Squad lands on the entrance tile to your Home Base, you will be defeated. Can usually Deploy squads mid-mission from Home Base. -10% damage taken from all attacks to a squad on the Base tile. -40% additional damage taken from range 2+ attacks.",为驻军提供大量防御加成。敌方小队位于在大本营的入口时，你会输掉战斗。大本营通常可以在战斗中部署小队。站在营地的小队受到的攻击伤害-10%，对于从2格外发动的攻击，受到的伤害-40%。,
Forts,堡垒,
Grants a bonus to high ground and evasion to the defender. -10% damage taken from all attacks to a squad on the Fort tile.,为驻军提供高地和闪避加成。对站在堡垒格子的队伍造成的伤害-10%。,
Forests,森林,
Rough Terrain. Ambushable Terrain. Provides a 50% evasion bonus against range2+ archery attacks.,崎岖地形。可以伏击。对于2格外的弓术攻击，提供50%的闪避加成。,
Hills,丘陵,
Rough Terrain. Ambushable Terrain. High Ground.,崎岖地形。可以伏击。高地。,
Allies (Green Army),盟友（绿色军队）,
"Allied Squads will appear in Green on the Tactical Map. Allies move on their own, and will be fighting against the same enemy as you. They cannot attack you, and you cannot attack them.",盟友小队在战术地图上显示为绿色。盟友自行移动，与你一同抗敌。他们不能攻击你，你也不能攻击他们。,
Roads,道路,
Open Terrain. Provides a tile movement bonus.,开阔地形。提供一格移动加成。,
Walls,墙壁,
Special defense Terrain. Provides high ground. Defense bonus vs Squads not on a Wall. Blocks melee attacks from the ground and blocks tile map movement. Can be traversed via a Ramp.,特殊防御地形。提供制高点。对墙下的小队的有防御加成。阻止地面对墙上发动近战攻击，并阻止单位通过。可以从斜坡通过墙壁。,
Cavalry,骑兵,
"If the majority of a Squad's Capacity cost is from Cavalry unit types, it becomes a Cavalry Squad.\\PARCavalry Squads can move faster in 'Open' terrain, and can move after attacking. In the Tactics tech tree, Cavalry can learn how to perform a 'Charge Attack' when moving a large number of tiles in the same turn, and both attacker and defender are in Open Terrain.\\PARCavalry units are all vulnerable to Polearm users, or Hussars, an advanced Light Cavalry Class.'Hit and Run' is a feature of Normal Cavalry and Light Cavalry Squad Types. After taking an action such as attacking or healing, a Cavalry Squad can then move again using half of their original total Movement Points.",如果骑兵单位占用了小队大部分的规模，队伍将成为骑兵小队。\\PAR骑兵小队在“开阔”地形移动得更快，还能在攻击后移动。战术科技树可以赋予骑兵在同一回合跑过大量格子后发动“冲锋攻击”的能力（攻守双方需在开阔地形）。\\PAR骑兵单位被长柄单位和骠骑兵（一种高级轻骑兵）克制。普通骑兵和轻骑兵小队的特性是“打了就跑”，可以在攻击或治疗后再次移动，移动距离是原始总移动点数的一半。,
Stables,马厩,
Provides War Horse resources when captured.,占领后提供战马资源。,
Donari Temples,多纳尔圣殿,
"Visit a Temple to refresh out-of-battle heals, and revive defeated allies, for a gold fee.",在圣殿支付金币可以刷新战斗外的治疗次数，和复活被击败的友军。,
Conscripts and Mercenaries,征召兵和雇佣兵,
"Conscripts are fresh, untrained recruits that are cheap and unlimited. Mercenaries are strong, but expensive, and not as loyal to your cause, but often come with their own gear and special traits.\\PARConscripts are the first 4 slots in the recruiting pool in the Home Base market.",征召兵是未经训练的新兵，价格低廉，可以无限量招募。雇佣兵实力强劲却价格昂贵，而且并不热心于你的事业，不过他们通常都有自己的装备和特性。\\PAR在大本营的募兵市场中的前四行是征召兵。,
Artifacts,神器,
Artifacts modify the entire Squad. Effects can be positive or negative. Up to 3 Artifacts can be equipped on a Squad with full technology.,神器影响整个小队。可以带来正面或负面效果。升满科技的小队最多可以装备3件神器。,
Stealth,潜行,
"Assassins, Rogues, and Stefan's unit Classes are able to execute Stealth attacks. A Stealth attack is achieved when attacking as one of these Classes.\\PARWhen Stealth attacking, your attacks automatically target the back of the enemy formation.\\PAROn defense, these classes attack normally.",刺客、盗贼和斯泰凡能够发动潜行攻击。以上职业在发起攻击时会变为潜行攻击。\\PAR潜行攻击会自动攻击敌人后排。\\PAR这些职业在防守时的攻击方式如常。,
Zanatus,扎纳图斯,
"The demonic being who dominated humanity over 1000 years ago. Is the antithesis of Donar in every way. Origins still unknown, but the best translations and accounts can be summarized in a way that paints Zanatus as something not of this world. Something disturbingly unfamiliar to Donar's creation. Defeated in battle by the Avatar of Donar when stabbed through the heart with the holy blade, Lightfury.",千年前控制人类的邪恶存在。在各个方面都与多纳尔对立。虽然人们不知道它是怎么来的，但是根据最靠谱的翻译和文献来看，扎纳图斯可以概括为不属于这个世界的东西。对多纳尔的子民来说，既陌生又令人感到不安。它在战斗中被多纳尔的化身用圣剑·光明之怒刺穿心脏，从而战败。,
Battle of Mount Ptolomea,托洛米亚山之战,
"Date: Year 0\\PARThe confrontation between Zanatus and the five Nephilim, The Avatar of Donar, Galzus, Landis, Cyrene, and Ishtar. Just before this battle, the Avatar of Donar had lead a resistance effort to attempt to liberate Humanity from Zanatus's tyranny. In the final, desperate moments before ultimate defeat, the five experienced a divine intervention, infusing them with godlike power, divine weapons, and changed them from human to Nephilim by blood. Zanatus was ill-prepared for this, and the Nephilim destroyed the demon with a final blow from Lightfury. Zanatus's armies, who relied completely on the demon's singular leadership, fled in disarray, allowing humanity to break its shackles and win its salvation. Thereafter, the Donari Temple was founded, and the Nephilim canonized as gods.",日期：元年\\PAR扎纳图斯与五位圣灵：多纳尔、盖泽斯、兰迪斯、西兰尼和伊什塔尔的化身对抗。就在这场战斗之前，多纳尔的化身领导了一场抵抗运动，试图将人类从扎纳图斯的暴政中解放出来。五人在即将败北、万念俱灰之时，神赐予他们神一般的力量和神的武器，并改变他们的血脉，将他们从人类变成了圣灵。扎纳图斯没有料到这种情况，被圣灵用光明之怒一击毙命。完全依仗扎纳图斯独领风骚的敌军四散奔逃，人类得以挣脱枷锁，获得救赎。多纳尔圣殿自此建立，圣灵也因此册封为神。,
Donar,多纳尔,
"The creator of Tahnra and all things. Nature unknown, but is the being from which all of the Donari Temple's beliefs evolved. Believed to reside in a higher dimension commonly referred to as the ''Divine Realm''. Thought to have only made its presence known in the mortal realm once, during the intervention against Zanatus, but this is not confirmed. Donar's power has been infused into the divine weapons, and in the bloodline of the Nephilim. Commonly confused with the Avatar of Donar, who is often referred to simply as Donar. In the Temple scriptures, very little distinction is made between the mortal Nephilim who defeated Zanatus, and the creator god of all things. The Avatar of Donar represents the virtue of Truth, and the element of Light.",塔恩拉和万事万物的创始人。虽然不清楚它是什么，但它是多纳尔圣殿所有信仰的起源。据说居住在通常被称为“神界”的更高维度中。人们认为它仅在干预扎纳图斯的时候降临了一次人界，不过这尚未得到证实。多纳尔的力量在神圣武器和圣灵的血脉中流淌。由于多纳尔的化身常常被简称为多纳尔，人们容易将两者与混为一谈。圣殿的圣典似乎没有明显区分打败扎纳图斯的人类圣灵和这位创世之神。多纳尔的化身代表了真理和光。,
"Lightfury, Sword of Donar",多纳尔圣剑·光明之怒,
"Of course the divine weapon of the Avatar of Donar. However, this weapon seems unique among the other divine weapons. Lightfury has existed in Tahnra long before the Battle of Mount Ptolomea. Scholars and theologians have thrown around many beliefs and theories about Lightfury. The prevailing wisdom is that Lightfury is as old as Tahnra itself, and is the personal tool of Donar... his primary way of manifesting in the mortal realm wherever it is needed.",圣灵多纳尔所持有的神器，似乎与其他神兵都不一样。光明之怒很早就出现在了塔恩拉，比托洛米亚山战役还要久远。对于这把圣剑，学者和神学家有各种各样的看法。主流的观点是，光明之怒专属于多纳尔，历史与塔恩拉一样古老……每当人界需要它时，它便会出现。,
Morale,士气,
"Morale is a Squad's fighting spirit. Player Morale, when high, has a chance to trigger extra turns in combat. Player Morale, when low, decreases attack power significantly.\\PAREnemy Morale, when high, increases attack power significantly, Enemy Morale, when low, decreases attack power significantly, and increases the chance they will willfully Surrender.\\PARMorale is mostly affected by battle victories, but can also be increased through relationships, and traits. Morale can be hurt via combat defeats, especially if the Squad leader falls.",士气体现了队伍的战斗欲望。玩家士气高时，拼杀中有机会获得额外战斗轮。玩家士气低时，攻击力显著降低。\\PAR敌人士气高时，攻击力显著增加；敌人士气低时，攻击力显著降低，投降的意愿增加。\\PAR士气主要受战斗影响，也可以通过人物关系和特性来增加。拼杀失败，尤其是当小队长被击败时，可能会降低士气。,
Weather,天气,
"Storm and Blizzards will render Gunners, Dragoons, and Cannons unable to fire, unless you have the 'Breech-Loading Rifle' technology.\\PARHeat Wave can happen in Desert Climates, and causes significant Morale damage to unsheltered squads, unless your Squad is equipped with the 'Desert Warrior' trait.\\PARAll types of Weather have an effect on units depending on their Affinity - see the Quick Reference Guide for Affinity.",在风暴和暴风雪天气中，火枪兵、龙骑兵和大炮需要有“后膛炮”技术才能开火。\\PAR沙漠有热浪，没有“沙漠战士”特性的队伍的士气会受到严重打击，除非躲在有荫蔽的地方。\\PAR所有类型的天气都会根据对单位的亲和力对他们产生影响。更多可在“快速参考指南”>“亲和”查看。,
Bazaars,集市,
Bazaars are tents found on the tactical map. Sells Mercenaries and Artifacts higher in quality and rarity than you can purchase at the Home Base.,集市是显示在战术地图上的帐篷。出售质量和稀有度优于大本营的雇佣兵和神器。,
Tidereaver Pirates,噬浪海贼团,
"A massive, multi-layered organization of outlaws, warlords, raiders, assassins, extortionists, and slave traders who have connections to many government officials world wide.",庞大且等级森严的组织，由不法分子、军阀、掠夺者、刺客、敲诈勒索者和奴隶贩子组成，勾结了世界各地的许多政府官员。,
The Barek Tor,兽人,
"One of the major sapient species of Tahnra outside of the Human realms. Mostly bipedal humanoids who have retained the advantages and drawbacks of their feline ancestors. They boast exceptional agility, night vision, and the ability to dominate the forest landscape far better than Humans. They mostly reside in their home island of Sinarra, a land utterly dominated by the deep jungle.",在人类王国之外的一个塔恩拉智慧物种。大多数双足行走的兽人保留了猫科动物祖先的优缺点。他们十分灵巧，拥有非凡的夜视能力以及远胜于人类的森林生存能力。大多兽人居住在兽人之乡森纳瑞尔岛，一片满是丛林的土地。,
Historium Magnus,《伟大史书》,
"The divine book written after the Battle of Mount Ptolomea, codifying the founding of the Donari Temple. It contains a recounting of the events of the war with Zanatus, the Nephilim and Donar's influence, and of the building of the new Temple and human empires that followed the victory over Zanatus. It is written in a language that has long been nearly extinct.",托洛米亚山战役之后著作的圣典，记载了多纳尔圣殿的成立。书中叙述了与扎纳图斯的战争、圣灵和多纳尔的影响，以及战胜扎纳图斯之后建立新圣殿和人类帝国的事迹。这书所使用的语言早已灭绝。,
Veridian Civil War,维尔迪亚内战,
"Date: Year 997\\PARLocation: Southern Veridia Province\\PARBelligerents: The West comprised of the Duchy of Isanter and the Donari Temple, The East comprised of the Duchy of Rimorgue and the Central Imperial government.\\PARResult: Annihilation of the West and the Duchy of Rimorgue, ascent of the Empire of Archaelus and Emperor Casamir\\PARTerritory changes: The lands of the Donari Temple, Duchy of Rimorgue, and the Duchy of Isanter completely dismanted and absorbed into the Empire of Archaelus\\PARCasualties: 11,000 military deaths",日期：997年\\PAR位置：南维尔迪亚省\\PAR交战方：西边的伊桑特公国和多纳尔圣殿，东边的里莫格公国和中央帝国政府。\\PAR结果：西部势力和里莫格公国全军覆没，阿开勒斯帝国和卡萨米尔皇崛起\\PAR领土变化：多纳尔圣殿、里莫格公国和伊桑特公国完全并入阿开勒斯帝国\\PAR伤亡：1.1万将士牺牲,
Hand of Zanatus,扎纳图斯之手,
"The fully-armored and heavily-armed champion who was unleashed to destroy the Lemelin Monastery. He possesses superhuman strength and magical power, as well as the Blade of Destruction, Balmung, which he wields with unsurpassed skill.",全副武装、身穿重甲的高手，被派遣来摧毁莱梅林修道院。他拥有超人的力量和魔力，手持圣刃·贝尔蒙格，战斗技巧无与伦比。,
Treasures,宝箱,
"By walking any Squad on top of a Treasure on the map, we will automatically open the chest, yielding Gold, Resources, or Equipment. There is no need to execute an extra command, simply walk right on top of it.",派遣队伍走到地图的宝箱上会自动打开宝箱，给与黄金、资源或装备。无需执行额外的命令，只需走到宝箱上即可。,
Empire of Archaelus,萨育纳帝国,
"The current hegemon of the Human world, ruled by Emperor Casamir. Archaelus directly controls all of Veridia and Sandraka nations, and imposes its will over Sayunaa which has become a vassal state. Derives its name from the original Human hegemony that followed the Battle of Mount Ptolomea, which was the first significant Human empire in Tahnra.",人类势力中最强大的国家，统治者是卡萨米尔皇帝。阿开勒斯帝国直接统治着维尔迪亚和桑德拉卡的所有国家，并且操控着附庸国萨育纳。阿开勒斯这个名字源于托洛米亚战役之后的首个超级大国，也是塔恩拉第一个举足轻重的人类帝国。,
Mount Ptolomea,托洛米亚山,
"The tallest mountain in the Human realm, which lies at the heart of the massive mountain ranges separating Veridia from Sayunaa. Pathways to this mountain are far too treacherous for travel by foot, other than one path painstakingly carved out over decades, which is tightly-controlled - its only outlet is to the Imperial Palace at Armitage.\\PARMount Ptolomea was the location of the last stand of humanity in the war against Zanatus, the location of Donar's miracle. Today, atop the summit lies the physical portal to the Divine Realm, which has not budged since its brief opening which allowed the power of Donar to flow into the mortal realm.",人类王国的最高山，位于分隔维尔迪亚和萨育纳的巨大山脉的中心。步行前往这座山太过危险，仅有一条几十年来精心开辟的道路还算安全，不过这条路受到严格控制，其唯一的出路是阿米塔吉皇宫。\\PAR托洛米亚山是人类在对抗扎纳图斯的战争中最后的阵地，是多纳尔显圣的地点。如今，山巅之上有一个通往神界的传送门。它自短暂地开启以来没有换过位置，多纳尔的力量因此流入了凡人世界。,
Nephilim Battlefield Powers,战场的圣灵之力,
"Battlefield skills that can be used at any time, independent of the move/attack turn cycle of our Squads. These powers are charged by the actions and events of the battle, such as dealing or taking damage, time passing, and other triggers.\\PARGalzus's power, Exemplar, reduces damage to one squad by %50, and provokes enemies to attack that squad for one turn. Accumulate this power by taking damage.\\PARLandis's Power, Teleport, teleports one squad up to 5 tiles away without spending movement points or using that squad's turn. Accumulate this power with movement that results in an attack in the same turn.\\PARIshtar's Power, Terror, greatly demoralizes Squads in a 3x3 area of effect. This power accumulates naturally over time.\\PARCyrene's power, Meteor, lands a meteor on a plus-shaped area of effect that damages all units in that squad. Cannot target enemies on Fort or Base tiles. Cannot exceed 50% of MaxHP depleted. Accumulate this power by dealing damage.\\PARDonar's power, Blessing, instantly refreshes one squad that has already spent their movement and/or attack, allowing another full action cycle in the same player phase. Accumulate this power as a sum of all four other Nephilim powers.\\PARTo use, access the ''Powers'' section of the main menu, as pictured above.",可以随时使用的战场技能，不受我方小队的移动/攻击的影响。通过战斗行动和事件充能，例如造成或受到伤害、时间流逝和其他因素。\\PAR盖泽斯的力量“楷模”，将一支队伍受到的伤害降低50%，并使敌人在一个回合内集中攻击这个队伍。充能方式：受到伤害。\\PAR兰迪斯的力量“传送”，在5格范围传送一支小队，不消耗移动点数，不花费该小队的回合。充能方式：移动（队伍需要在同一回合内发动攻击）。\\PAR伊什塔尔的力量“恐怖”，大幅挫败3x3格范围内小队的士气。充能方式：随时间流逝自动充能。\\PAR西兰尼的力量，“流星”，将在十字区域降下流星，对该小队中的所有单位造成伤害。不能以堡垒或营地上的敌人为目标。伤害的最大生命值不能超过50%。充能方式：造成伤害。\\PAR多纳尔的力量“祝福”，立刻刷新已经耗尽移动和攻击的小队，允许小队在该回合再行动一次。充能方式：积累其他四种圣灵力量。\\PAR在主菜单的“力量”部分使用圣灵之力，如上图所示。,
Tech Tree,科技树,
"We should always invest in Technology whenever we can. Tech advances will offer Army-wide benefits of many different types. There are 4 'tiers' of Technology that we can unlock as our faction continues to advance. To unlock technology, we need to level up Faction Rank. With every promotion in Faction Rank, we will be awarded a haul of Tech Points.\\PARAcademy of War focuses mostly on magic, the elements, and certain specialized warriors such as the Paladin, and War Mages.\\PARTactics and Command will advance our ability to field larger, more tactically-advanced armies, and give us certain specific advantages and new classes, such as the Swordmaster and Champion.\\PARCraftsmanship is the direct application of physical sciences to improve our army's weapons and armor.\\PAREach tech branch has its own 'Capstone' technology, which requires a complete fulfillment of all that branch's techs in the first 3 tiers. If you complete two whole tech trees, you can then unlock 'Dual Capstone's, which represent the ultimate in technological advance available.",尽量多投资技术。技术进步将为整个军团带来许多好处。随着我方阵营不断升级，可以解锁4个“层级”的技术。要解锁技术，我们需要升级阵营等级。而提升阵营等级会带来大量的技术点。\\PAR战争学院主要侧重于魔法、元素和某些专业战士，例如圣骑士和战争法师。\\PAR战术和指挥将会让我们有能力部署更多、战术更先进的军队，并为我们提供某些特定优势和新职业，例如剑圣和冠军剑士。\\PAR工艺则会运用物理科学改进我们军队的武器和盔甲。\\PAREach每个科技分支都自己的“顶尖”技术，需要完全点亮该分支前3层的所有技术才能激活。如果你完成了两棵完整的科技树，你就可以解锁“双顶尖”，它代表了可用的技术进步的终极。,
Scions of Dargon,达贡后裔,
"An underground spy organization made up of loyalitsts to the now-deposed Sayunaari monarchy who view the last legitimate monarch as the late King Kasim Dargon, who inherited a broken Sayunaari kingdom after the death of Queen Soha Dargon.",一个地下间谍组织，由忠于现已被废黜的萨育纳君主制的人组成，他们认为最后一位合法君主是已故的达贡国王卡西姆，他在女王索哈·达贡死后继承了一个分崩离析的萨育纳王国。,
The Aetherium Crisis,以太危机,
"Date: Year 876-877\\PARLocation: Empire of Veridia, Kingdom of Sayunaa, Gondwanna Federation\\PARResult: Destruction of Novas Kedah and Ezrum, reform of the Donari Temple\\PARCasualties: 124,000 civilian deaths\\PARThe great tragedy and climax of the last age of Humanity, which spawned incredible heroes and legends, and set the foundation for the modern age.",日期：876-877年\\PAR位置：维尔迪亚帝国、萨育纳王国、冈瓦纳联邦\\PAR结果：诺瓦斯吉达和艾泽拉姆被破坏，多纳尔圣殿改革\\PAR伤亡：12.4万名平民死亡\\PAR这是人类末期的巨大悲剧和高潮，催生了许多不可思议的英雄传说，并为现代奠定了基础。,
XP and CP,XP和CP,
"XP is Experience Points, and CP is Class Points / Class Mastery.\\PARXP is gained from doing battle, defeating any units, or using an XP codex. Units that did not participate in the campaign will also gain a small amount, so that no one is severely left behind. You will always see your XP represented in increments of 100. Get 100 more XP to level up, which will increase your stats.\\PARCP, or Class Points / Class Mastery, is only gained from real combat experience, or using a CP Codex. In order to upgrade classes, you must fill up the CP Bar to ''Max''.",XP是经验值，CP是职业点数/职业精通度。\\PAR经验值可以通过参加战斗、击败单位或使用战斗经验宝典获得。没有参加战斗的单位也将获得少量收益，这样就不会落后太多。一级的经验值最高为100。获得100点或更多经验值来升级，这将增加您的统计数据。\\PAR职业经验，或职业点数/职业精通，只能通过实战拼杀或职业经验宝典获得。职业经验条必须要达到“最大”才能升级。,
Battle of Rimorgue River Valley,里莫格河谷战役,
"Date: Year 999\\PARLocation: Stormrook, Rimorgue, banks of the Herald River\\PARBelligerents: Nephilim Army, Empire of Archaelus and Followers of Zanatus\\PARResult: Decisive Nephilim Army victory, near total destruction of the Empire of Archaelus military forces\\PARTerritory changes: Nephilim Army annexes Stormrook, Rimorgue, Fort Eureeka\\PARCasualties: 6,000 military deaths",日期：999年\\PAR位置：风鸦堡、里莫格、先驱河岸\\PAR交战方：圣灵军团，阿开勒斯帝国和扎纳图斯信徒\\PAR结果：圣灵军团取得了决定性的胜利，几乎彻底摧毁了阿开勒斯帝国的军事力量\\PAR领土变化:圣灵军团攻占了风鸦堡、里莫格、尤里卡堡\\PAR伤亡：6千名将士战死,
Nephilim Millennium War,圣灵千年战争,
"Date: Year 997-999\\PARLocation: Veridia, Sayunaa, and Sandraka\\PARBelligerents: Nephilim Army vs Empire of Archaelus, Followers of Zanatus, with Kingdom of Sayunaa changing alliances\\PARResult: Utter defeat and unconditional surrender of the Empire of Archaelus.\\PARTerritory changes: All territory under the provisional military government\\PARCasualties: 25,000 military deaths\\PARA struggle that will sound through the ages as a climactic point in history. Starting just from a small hideout, the Avatar of Donar built an army and dismantled the Empire of Archaelus piece by piece with stunning efficiency until the death of Emperor Casamir finally led to the end of the war.\\PARHistorians look at the staggering disparity in power between the beginnings of the war, and conclude that the Nephilim Army's victory can be attributed to several factors that crippled Archaelus Imperial war efforts. Casamir's ability to directly administer most elements of his government was minimal throughout his reign, making his role largely ceremonial. The institutional power lied with the Followers of Zanatus, who committed massive resources and manpower to the dismantling of the Donari Temple, the child abduction and reeducation efforts, and the domestic campaign to root out potential enemies of the state. For much of year 999, the Nephilim Army was merely a minor nuissance to Imperial leadership, only registering as a threat when it was far too late to turn the tide.",日期：997-999年\\PAR位置：维尔迪亚、萨育纳和桑德拉卡\\PAR交战方：圣灵军团对战阿开勒斯帝国、扎纳图斯信徒，萨育纳王国倒戈\\PAR结果：阿开勒斯帝国被彻底击败，无条件投降。\\PAR领土变化：全境临时军政府\\PAR伤亡：2.5万将士牺牲\\PARA此战会在史书留下浓重的一笔，传遍千古。从一个小藏身处开始，多纳尔的化身建立了一支军队，并以惊人的效率一点一点地摧毁了阿开勒斯帝国，直到卡萨米尔皇帝的死最终导致战争结束。\\PAR历史学家们研究了战争开始时的惊人的力量差距，并得出结论，圣灵军团军队的胜利是削弱阿开勒斯帝国战争努力的几个主要因素。卡萨米尔在其统治期间的管理能力简直微乎其微，使得他的角色更像是一个花瓶。机构权力掌握在扎纳图斯的追随者手中，他们投入了大量资源和人力来推翻多纳尔圣殿、绑架儿童和再教育工作，以及铲除国家潜在敌人的国内运动。在999年的大部分时间里，圣灵军团军队对帝国领导层来说只是一个小麻烦，只有在力挽狂澜为时已晚时才被视为威胁。,
Character stat: STR (Strength),角色数据：力量,
"Determines ability to deal physical damage, also offers some physical resistance. Influences Dragon breath damage.",决定物理伤害，影响物理抵抗。影响龙息伤害。,
Character stat: SKL (Skill),角色数据：灵巧,
"Determines hit rate, critical hits, evasion, and glancing blows.",决定命中率、暴击率、闪避率和斜射率。,
Character stat: MAG (Magic),角色数据：魔法,
Affects ability to deal Magic damage and healing power. Also determines Magic Defense. Influences Dragon breath damage.,影响魔法伤害和治疗能力。决定魔法防御。影响龙息伤害。,
Character stat: LDR (Leadership),角色数据：统率,
Determines Squad Capacity. Capacity determines how many units and artifacts can be added to a Squad.,确定小队规模。小队规模决定了小队可以有多少单位和神器。,
Affinity,亲和,
"Every unit in Tahnra is born with Affinity. These include, in order of most common to least common: Earth, Water, Lightning, Fire, Darkness, and Light.",塔恩拉中的每个单位都具有亲和力。按最常见到最不常见的顺序排列为：地、水、雷、火、暗、光。,
"Bond, Family, Friendship",羁绊，家庭，友谊,
"Characters start with, and can further develop Friendships, Deep Bonds, and even become Family, through Home Base Conversations.\\PARThese grant mutual bonuses to Morale when within 3 tiles of each other.",角色结识后可以通过在大本营对话来进一步发展友谊、建立深厚的羁绊，甚至成为家人。\\PAR角色距离在3格之内提供士气加成。,
Character stat: Armor,角色数据：护甲,
