"Outside Westerfield, year 999","Exterior de Campoeste, año 999"
Chapter 15: Westerfield Escape,Capítulo 15: Huida de Campoeste
"We've freed the children, but overwhelming reinforcements have arrived. We must cross the river and arrive safely at Centurion's Rest before we are overtaken.","Hemos liberado a los niños, pero un aluvión de refuerzos acaba de llegar. Debemos cruzar el río y llegar a Descanso del Centurión a salvo antes de que nos asalten."
"Centurion's Rest, Year 999","Descanso del Centurión, año 999"
Chapter 16: Desperation,Capítulo 16: Desesperación
"We cannot ignore the Nephilim Prophecy any longer. Break into the Imperial Palace via its rear sally port, clearing the way to Mount Ptolomea.",No podemos seguir ignorando la profecía de los nefilim ni un segundo más. Asalta el palacio imperial a través del puerto trasero de Sally y abre camino hacia el monte Tolomea.
"Rebel Front Base, Year 999","Base del frente rebelde, año 999"
Chapter 17: Coaxing the Divine,Capítulo 17: Convenciendo a la divinidad
"The enemy has taken great measures to prevent access to the path to Mount Ptolomea. We must shatter their magical barrier, allowing Diana free passage to her destiny.",El enemigo ha tomado grandes medidas para evitar el acceso al sendero del monte Tolomea. Debemos destruir su barrera mágica para que Diana pueda llegar a su destino.
Chapter 18: Emborian Dawn,Capítulo 18: Amanecer en Embor
"The Avatar of Donar has returned to Tahnra, signaling the true beginning of the Nephilim Army. Our first objective is to liberate the far north lands of Embor.","El avatar de Donar ha regresado a Tahnra, lo que marca el verdadero comienzo del Ejército Nefilim. Nuestro primer objetivo es liberar las remotas tierras del norte de Embor."
"Embor, Year 999","Embor, año 999"
Chapter 19: Return to Eastwall,Capítulo 19: Regreso a Muroriente
"Lysander has managed to establish a stronghold in Eastwall Fortress, but faces overwhelming odds. We must reinforce his army and reunite with our companions.","Lysander ha logrado fijar un baluarte en la fortaleza de Muroriente, pero se encuentra entre las cuerdas. Debemos reforzar su ejército y reunirnos con nuestros compañeros."
Chapter 20: Wild Card,Capítulo 20: El comodín
The Historium Magnus has been stolen! We know the thief has fled to the active volcano at Mount Karnac.,¡Han robado el Historium magnus! Sabemos que el ladrón ha huido hacia el volcán activo del monte Karnac.
"Nephilim Base near Sandraka, Year 999","Base de los nefilim cercana a Sandraka, año 999"
Chapter 21: Liberating Sandraka,Capítulo 21: La liberación de Sandraka
"We have established a strongpoint on the Sandraka continent. If we can seize the large city of Crestmoor, we will strike a critical blow to Casamir's grip on the South.","Hemos fijado un puesto de defensa en el continente de Sandraka. Si logramos asaltar la enorme ciudad de Anclaola, podremos debilitar gravemente el control que ejerce Casamir en el sur."
"Greywind Peak, Year 999","Montaña Vientogris, año 999"
Chapter 22: Greywind Peak,Capítulo 22: Montaña Vientogris
"Greywind Peak stands before us, and within it, Diana's destiny as a fully-realized Nephilim warrior.","La montaña Vientogris se alza ante nosotros, y en su interior, el destino de una guerrera plenamente realizada."
"Nephilim Army Sayunaa Front Base, Year 999","Base del frente del Ejército Nefilim en Sayunaa, año 999"
Chapter 23: Unwise Alliance,Capítulo 23: Una alianza imprudente
"The Kingdom of Sayunaa has subjugated itself to Casamir to avoid war, and has disposed of their own monarchs. We must try to rein in the Sayunaari, by any means necessary.",El Reino de Sayunaa se ha rendido ante Casamir para evitar la guerra y se ha desecho de sus propios monarcas. Debemos tratar de liderar a los sayunaari sea como sea.
"Ezrum, Year 999","Ezrum, año 999"
Chapter 24: Scorched Sands,Capítulo 24: Arenas abrasadas
"The Sayunaari have thrown in completely for Casamir, and against us. We must try to salvage the situation. By reducing their warmaking ability, we may demoralize them enough to call for peace.","Los sayunaari se han entregado por completo a Casamir, dispuestos a hacernos frente. Debemos tratar de salvar la situación. Si ponemos fin a sus dotes bélicas, puede que los desmoralicemos lo suficiente como para invocar la paz."
"Fort Dakur, Year 999","Fuerte Dakur, año 999"
Chapter 25: Kingdom of Gold,Capítulo 25: Reino del oro
"The golden city of Sayunaa's capital lies before us. Regent Lord Cyrus stands defiant, throwing many unwilling Sayunaari into battle. May Donar bring this war to an end soon.","La ciudad dorada de la capital de Sayunaa yace ante nosotros. Su líder, lord Cirus, permanece desafiante, enviando a un montón de sayunaari poco convencidos a luchar. Ojalá Donar ponga fin a esta guerra pronto."
"Nephilim Army Front Base outside Stormrook, Year 999","Base del frente del Ejército Nefilim en los aledaños de Torre Tormenta, año 999"
Chapter 26: Stormrook Looms,Capítulo 26: La sombra de Torre Tormenta
"With Sayunaa and its resources on our side, our army has grown powerful. We now face a massive clash in the Rimorgue River Valley. If we can conquer Stormrook and Rimorgue, Casamir is doomed.","Con Sayunaa y sus recursos de nuestro lado, nuestro ejército se ha vuelto más poderoso. Ahora nos enfrentamos a un enorme conflicto en el valle del río Rimorgue. Si logramos conquistar Torre Tormenta y Rimorgue, será el fin de Casamir."
"Nephilim Army Front Base at Armitage, Year 999","Base del frente del Ejército Nefilim en Armitage, año 999"
Chapter 27: Return to the Origin,Capítulo 27: Regreso a los orígenes
"Casamir refuses to surrender despite obvious defeat. As we move to conquer Armitage, we must consider the lives of the Imperial soldiers whose morale is broken and are desperate for peace.","Casamir no quiere rendirse a pesar de su aparente derrota. De camino hacia Armitage, debemos tener en cuenta la vida de los soldados imperiales, con la moral por los suelos y deseosos de paz."
"Armitage Base, Year 999","Base de Armitage, año 999"
Chapter 28: Downfall,Capítulo 28: Caída
"The enemy has holed himself up in the Imperial Palace. The Followers of Zanatus have mobilized their most deadly forces. Have no mercy for the cultists, or Casamir.",El enemigo se ha refugiado en el palacio imperial. Los Seguidores de Zanatus han movilizado a sus ejércitos más letales. No tengas piedad con esos adeptos ni con Casamir.
"Imperial Palace, Year 999","Palacio imperial, año 999"
Chapter 29: Zenith of the World,Capítulo 29: La cima del mundo
"The Avatar of Donar is but a few steps from full realization, and the remnants of the Followers of Zanatus are the last barrier in our way. We soon face the cult Grandmaster...",El Avatar de Donar está a punto de alcanzar su propósito y ya solo queda hacer frente a los miembros de los Seguidores de Zanatus que aún quedan en pie. Pronto nos enfrentaremos al gran maestro de la secta.
"Gateway at Mount Ptolomea, Year 999","Portal del monte Tolomea, año 999"
Chapter 30: Armageddon,Capítulo 30: Apocalipsis
All of the seals between the Divine Realm and the Mortal Realm are now broken. Armageddon has again come to Tahnra. Destroying Zanatus is the only way to avoid total annihilation.,Todos los sellos entre el reino divino y el mortal se han roto. El apocalipsis ha vuelto a Tahnra. Destruir a Zanatus es el único modo de evitar la aniquilación total.
Gaiden Chapter A: Unrelenting Ambition,Capítulo Gaiden A: Ambición ilimitada
"Sybil's recklessness has thrown us into a melee with the Imperial forces at the Felnamia provice. We must both save Sybil, and seize Felnamia.",La temeridad de Sybil nos ha metido en una batalla contra las fuerzas imperiales en la provincia de Felnamia. Debemos salvar a Sybil y asaltar Felnamia.
Gaiden Chapter B: Dragon's Haven,Capítulo Gaiden B: El refugio del dragón
"The enemy has sought to monopolize war Dragons by annihilating broods not within their control. Azuros, an ancient monarch, could be a powerful ally if we can intercept the Imperial attackers in time.","El enemigo ha tratado de hacerse con todos los dragones bélicos para aniquilar a quienes no está bajo su control. Azuros, un antiguo monarca, podría ser un poderoso aliado si logramos interceptar a los asaltantes imperiales a tiempo."
Gaiden Chapter C: No Mercy for the Merciful,Capítulo Gaiden C: Sin misericordia para los misericordes
We have located one of the largest child detention complexes in the world. This evil cannot be allowed to continue. Wipe out the enemy completely.,Hemos encontrado uno de los mayores complejos de detención infantil del mundo. No podemos permitir que semejante mal siga extendiéndose. Acaba con el enemigo completamente.
Gaiden Chapter D: Clockwork City,Capítulo Gaiden D: Ciudad mecánica
Casamir has always had an abundance of firearms and cannons at his disposal. It's time to break into their Pyrocite stores in Sandraka City and take this advantage for ourselves.,Casamir siempre tuvo demasiadas armas de fuego y cañones a su disposición. Es hora de asaltar sus reservas de pirocita en Sandraka ciudad y sacar partido de la situación.
Gaiden Chapter E: Ishtar's Lament,Capítulo Gaiden E: El lamento de Ishtar
"I can't shake this feeling, it is familiar, but unsettling...","No puedo evitar sentir algo familiar, pero desconcertante..."
Bronze Arena,Arena de bronce
Silver Arena,Arena de plata
Gold Arena,Arena de oro
Platinum Arena,Arena de platino
Endurance Trial,Prueba de resistencia
Legends 1A: Promise of Peace,Leyendas 1A: Promesa de paz
Florina Iblis's claim to the Imperial throne brings hopes for the end to the Succession War. But surely the claim will be contested...,"La petición de Florina Iblis al trono imperial trae esperanzas de que llegue el fin de la Guerra de Sucesión, pero no hay duda de que habrá quien se entrometa..."
Legends 1B: Defend the Claim,Leyendas 1B: Defender el territorio
The pretenders to the throne have launched a final desperate bid to stop Florina's coronation. Defend Imperial territory from invasion!,Los pretendientes al trono han lanzado un último y desesperado intento de detener la coronación de Florina. ¡Protege el territorio enemigo de la invasión!
Legends 2: Barek Tor,Leyendas 2: Los barek tor
,
Legends 3A: Whispers from Grothnor,Leyendas 3A: Susurros de Grothnor
Fort Rittenbach has claimed another scout party... missing without explanation. Duke Jaromir mobilizes his army to personally investigate.,"El fuerte Rittenbach se ha cobrado a otro grupo de exploradores, perdidos sin explicación. El duque Jaromir moviliza a su ejército para investigar el asunto personalmente."
Legends 3B: Life and Unlife,Leyendas 3B: Vida y no vida
"Grothnor's undead hordes have reached as far as Embor, and the other nobles refuse to help. Defend Embor at all costs!",Las hordas de soldados zombis de Grothnor han logrado llegar hasta Embor y el resto de nobles se niega a prestar ayuda. ¡Protege Embor a toda costa!
Legends 4: Pendergast's Folly,Leyendas 4: La locura de Pendergast
Legends 5: Shadowchaser,Leyendas 5: Acechasombras
Legends 6: Queen of Dragons,Leyendas 6: Reina de dragones
"Azuros has left suddenly. Scouts report a rival brood, controlled by the Archaelus Empire, has threatened Azuros's hidden brood hive.","Azuros se ha marchado de repente. Los exploradores cuentan que un ejército rival, controlado por el Imperio de Archaelus, los ha amenazado."
Grassland,Pradera
Ramp,Rampa
Cliffs,Acantilados
Hazard,Peligro
Lava Cave,Cueva de lava
High Ground,Terreno alto
Ladder,Escalera
Road,Sendero
Bridge,Puente
Dungeon,Mazmorra
Shadows,Sombras
Ambush Trench,Trinchera de emboscada
Industrial,Industrial
Tower,Torre
Throne,Trono
Divine Realm,Reino divino
Hills,Colinas
Plains,Llanura
Wheat Field,Campo de trigo
Town,Ciudad
Wall,Muralla
Desert,Desierto
Snow,Nieve
Woods,Bosque
Forest,Arboleda
Water,Agua
Swamp,Pantano
Ship,Barco
Sky,Cielo
Mountains,Montañas
Mine,Mina
Stables,Establos
Fort,Fuerte
Base,Base
Temple,Templo
Village,Aldea
Bazaar,Bazar
Slow,Lento
Light,Ligero
Infantry,Infantería
Cavalry,Caballería
Flying,Volador
Clear,Quitar
Cloudy,Nuboso
Overcast,Cubierto
Rainy,Lluvia
Storm,Tormenta
Snowy,Nieve
Blizzard,Ventisca
Indoors,Interior
Stormy,Tormentoso
Heat Wave,Ola de calor
"Ah, there you are, child of destiny. You've arrived\NEWLINE  at a very opportune time, you will find.","Ah, aquí estás, vástago del destino. Has llegado\NEWLINE  en un momento oportuno, como descubrirás."
"Let me look into your heart. Who are you? Will your\NEWLINE  journey be marked by virtue, or will this land's people\NEWLINE  remember you as an adversary?",Déjame ahondar en tu corazón. ¿Quién eres? ¿Tu viaje\NEWLINE  estará marcado por la virtud o te recordarán\NEWLINE  como alguien ruin?
"Thank you. What an intriguing soul! Go, and I will\NEWLINE  see you here again when the time is right.",Gracias. ¡Qué alma más intrigante! Adelante.\NEWLINE  Te veré de nuevo cuando llegue el momento oportuno.
"Go forth, and leave your mark on this world!",¡Ponte en marcha y deja tu impronta en este mundo!
Which form suits you?,¿Qué te representa más?
Please tell me your name.,"Por favor, dime tu nombre."
So you have chosen...,Así que has elegido...
Yes,Sí
No,No
"When on death's door, what will you consider a life well-lived?","Al borde de la muerte, ¿qué considerarías una vida plena?"
I did it all my way,Haber hecho las cosas a mi manera
I fulfilled who I was meant to be,Haber cumplido con mi propósito
Many will mourn my passing,Saber que muchos me echarán de menos
"A desperate beggar corners you, demanding money.\NEWLINEWhat do you do?",Un mendigo desesperado te asalta y te pide dinero.\NEWLINE¿Qué haces?
Intimidate him into backing down.,Intimidarlo para que se vaya
Talk your way out of the situation.,Hablar con él para que razone
Offer him a warm meal at the local pub.,Ofrecerle un plato caliente en la taberna local
What is the most important trait a leader should have?,¿Cuál es el rasgo más importante que debe tener un líder?
The ability to bring people together,Poder reunir a la gente
An unshakeable love for the people,Amar a la gente de forma incondicional
The power to command respect and fear,Hacerse respetar y dar miedo
What most leads to the downfall of great civilizations?,¿Qué suele llevar a las grandes civilizaciones a la ruina?
Faithlessness,La falta de fe
Poverty,La pobreza
Intolerance,La intolerancia
"You were blessed with a child. \NEWLINEIf you could choose their fate, what would it be?","Te han bendecido con un hijo. \NEWLINESi pudieras elegir su destino, ¿cuál sería?"
A famous musician,Ser un músico famoso
A great general,Ser un gran general
A devout follower of the faith,Ser un devoto de la fe
What do you look for most in a mate?,¿Qué buscas más en una pareja?
Beauty,La belleza
Wealth and Prestige,La riqueza y la fama
Intellect,El intelecto
"As a potential ruler in difficult times, \NEWLINEwhat are your most effective tools?","Como potencial líder en tiempo difíciles, \NEWLINE¿cuáles son tus herramientas más eficaces?"
Your kind heart,Tu buen corazón
Your inspiring charisma,Tu carisma inspirador
Fear,El miedo que infundes
Which personal flaw do you want to avoid most?,¿Qué defecto personal tratas de evitar más?
Deceptive and exploitative,Engañar y aprovecharme de la gente
Easily manipulated,Dejarme manipular fácilmente
Lack of Willpower,No tener fuerza de voluntad
You must give up your most valuable possession. \NEWLINEWhat is it?,Debes renunciar a tu bien más preciado. \NEWLINE¿Cuál sería?
Your vast wealth,Tu enorme riqueza
Your battle prowess,Tus dotes de combate
Your faith,Tu fe
"Allows us to access the Bronze Arena from Home Base, then the Token is consumed. The Bronze Arena takes place in a Temperate climate, offers a low challenge, and modest rewards.","Nos permite acceder a la arena de bronce desde la base de operaciones. La ficha se consumirá. La arena de bronce se celebra en un clima templado, ofrece poco desafío y modestas recompensas."
"Allows us to access the Silver Arena from Home Base, then the Token is consumed. The Silver Arena takes place in a Tundra climate, offers a medium challenge, and good rewards.","Nos permite acceder a la arena de plata desde la base de operaciones. La ficha se consumirá. La arena de bronce se celebra en una tundra, ofrece desafío normal y buenas recompensas."
"Allows us to access the Gold Arena from Home Base, then the Token is consumed. The Gold Arena takes place in a Desert climate, offers a high challenge, and excellent rewards.","Nos permite acceder a la arena de oro desde la base de operaciones. La ficha se consumirá. La arena de oro se celebra en un desierto, ofrece un gran desafío y excelentes recompensas."
"Allows us to access the Platinum Arena from Home Base, then the Token is consumed. The Platinum Arena takes place in a Temperate climate, offers the greatest challenge, and incredible rewards.","Nos permite acceder a la arena de platino desde la base de operaciones. La ficha se consumirá. La arena de platino se celebra en un clima templado, ofrece el mayor desafío y recompensas increíbles."
"To embrace your destiny, and become who you are, is life's greatest purpose.",Aceptar tu destino y convertirte en quien eres es el mayor propósito de la vida.
"Used to unlock a huge amount of classes. Required for all Heavy Infantry and Heavy Cavalry, as well as many high-end Light Infantry and Cavalry, Archery, and Firearms units.","Se usa para desbloquear un montón de clases. Se necesita para todas las unidades de infantería y caballería pesadas, así como para muchas unidades de infantería y caballería ligeras, arqueros y artilleros de calidad."
"Used to unlock high-end attackers. Required for Champion, Centurion, Knight, Assassin, Warbow, and Swordmaster.","Se usa para desbloquear atacantes de calidad. Se necesita para campeones, centuriones, caballeros, asesinos, arqueros bélicos y esgrimidoras."
"Used for high-end Mage and Support units. Required for Paladin, Valkyrie, Fire Mage, Lightning Mage, Ice Mage, Sorceress, and Templar.","Se usa para desbloquear magos y unidades de apoyo de calidad. Se necesita para paladinas, valquirias, magos de fuego, magos de rayo, magos de hielo, hechiceras y grandes templarias."
"Used as a baseline resource for all Magicians, as well as Priestess, Templar, and Hospitaller.","Se usa como recurso básicos para todos los magos, así como para las hechiceras, grandes templarias y hospitalarias."
"Used to create Firearms. Required for Gunner, Dragoon, and Siege Cannon.","Se usa para crear artilleros. Se necesita para los artilleros, arcabuceros y cañoneros."
Required for all forms of Cavalry.,Se necesita para todos los tipos de unidades de caballería.
Gain a small amount of gold per fallen enemy defeated in any combat,Otorga una pequeña cantidad de oro por cada enemigo derrotado en combate.
Defensive bonuses from Terrain are 50% more effective,Las ventajas defensivas del terreno son un 50 % más eficaces.
Deal 20% more and take 20% less damage if Covering the Squad Leader,Causa un 20 % más de daño y recibe un 20 % menos al cubrir al líder del pelotón.
Unit deals +25% damage for every incapacitated Unit in this Squad,Causa +25 % de daño por cada unidad incapacitada en este pelotón.
"Deal damage to enemy Morale, increases as STR increases",Causa daño a la moral del enemigo y aumenta a medida que aumenta la FZA.
This unit is more likely to be targeted by enemies in battle,Esta unidad es más proclive a recibir ataques de los enemigos en combate.
Unit is less likely to be targeted by enemies in battle,Esta unidad es menos proclive a recibir ataques de los enemigos en combate.
Unit takes 25% less damage when under 50% Max HP,La unidad recibe un 25 % menos de daño cuando los PS máx. están por debajo del 50 %.
Enemies cannot Critical Hit this Unit,Los enemigos no pueden asestar golpes críticos a esta unidad.
Critical hits bypass 100% of target armor,Los golpes críticos ignoran el 100 % de la armadura del objetivo.
Critical damage increased by 50%,Aumenta un 50 % el daño de los golpes críticos.
Archery units in this Squad cost 2 less capacity,Los arqueros de este pelotón cuestan 2 menos de capacidad.
Heavy Infantry units in this Squad cost 2 less capacity,Las unidades de infantería pesada de este pelotón cuestan 2 menos de capacidad.
Heavy Cavalry units in this Squad cost 2 less capacity,Las unidades de caballería pesada de este pelotón cuestan 2 menos de capacidad.
"Unit can no longer Critical Hit, but deals +15% damage","La unidad no puede asestar golpes críticos, pero causa +15 % de daño."
"Unit has a chance, based on SKL, to prevent its primary target from counter-attacking in the same battle","La unidad puede evitar que su objetivo principal contraataque en el mismo combate, en función de su HAB."
Bonuses to Hit confer a partial bonus to critical hit chance (max: 15%),Las ventajas de ataque confieren una ventaja parcial a los golpes críticos (máx.: 15 %).
Dealing Critical Hits restore a small amount of HP,Asestar golpes críticos restaura unos pocos PS.
"Any Archery attacks from this unit will ignore the penalty for firing at Walls, or Woods from 2+ Range",Los ataques de los arqueros de este pelotón ignorarán la penalización por disparar a murallas o bosques a 2 o más casillas de distancia.
Unit does +50% more damage to Dragons.,La unidad causa un 50 % más de daño a los dragones.
Unit gains resistance to Magician and Dragon attacks as STR increases,"La unidad gana resistencia a los ataques de magos y dragones, a medida que la FZA aumenta."
Gain +3 STR at the start of battle for every Unit in the enemy Squad,Otorga +3 de FZA al comienzo del combate por cada unidad del pelotón enemigo.
Unit has a chance for an extra action for every enemy below 25% HP at the end of combat,La unidad puede realizar una acción extra por cada enemigo con menos del 25 % de PS al final del combate.
"When being healed, the effect is increased by 50%","Al curarse, recupera un 50 % más de PS."
+25% damage to already damaged enemies,+25 % de daño a los enemigos ya heridos.
"When an ally is healed, this unit is also healed for 25% of the effect","Al curar a un aliado, esta unidad también recupera un 25 % de PS de la cura."
"At the start of battle, gain a barrier equal to 50% of MAG","Al comienzo del combate, otorga una barrera igual al 50 % de MAG."
Gain STR equal to 25% of MAG,Otorga FZA igual al 25 % de MAG.
Gain SKL equal to 33% of MAG,Otorga HAB igual al 33 % de MAG.
Gain MaxHP equal to 100% of MAG,Otorga PS máx. igual al 100 % de MAG.
Deal +25% damage while on defense,Causa +25 % de daño al defenderse.
Unit has a chance to take another action in battle based on lower %HP remaining,La unidad puede realizar otra acción en combate si tiene pocos PS.
"Once per Chapter, this unit will survive an enemy turn that would otherwise be fatal","Una vez por capítulo, esta unidad sobrevivirá un turno enemigo que le habría llevado a la muerte."
"Unit does +50% more damage to Rogues, Assassins, and Magician units","La unidad causa un 50 % más de daño a pícaros, asesinos y magos."
Firearms units in this Squad cost 2 less capacity,Los artilleros de este pelotón cuestan 2 menos de capacidad.
Restore a small amount of HP when an enemy unit is killed in combat,Restaura una pequeña cantidad de PS al matar a una unidad enemiga en combate.
"When this Squad uses Forced Surrender, Enemy Units are more likely to Surrender","Cuando este pelotón obliga al enemigo a rendirse, sus unidades se rendirán con mayor facilidad."
Increased drop chance when destroying or forcing the surrender of enemy Squads,Aumenta los objetos conseguidos por destruir o forzar a los pelotones enemigos a rendirse.
"Squad is immune to negative effects of Blizzard weather, and gains bonus evasion in Blizzard and Snow",El pelotón es inmune a los efectos negativos de las ventiscas y gana mayor evasión con ventiscas y nieve.
Squad is immune to Heat Wave and Desert movement penalty,El pelotón es inmune a las olas de calor y a la penalización de movimiento en desiertos.
Trait Learnable,Rasgo disponible
Use a tome to learn a trait in this slot!,¡Usa un libro para añadir un rasgo a esta ranura!
Polearm Warrior,Guerrero de lanza
"Increases attack versus Cavalry units by 35%, and grants immunity to Shock",Aumenta un 35 % el ataque contra unidades de caballería y otorga inmunidad a contusiones.
35% bonus damage to firearms troops,Aumenta un 35 % el daño de los artilleros.
Guardian,Guardián
Unit takes -25% damage while on defense,La unidad sufre -25 % de daño al defenderse.
Magic Armor,Armadura mágica
Reduces incoming spell damage by 50% of Armor.,Reduce el daño de los hechizos recibidos por un 50 % de la armadura.
Stealth Attack,Ataque furtivo
Attack rear row without penalty on the first round of combat,Ataca por la retaguardia sin penalización en la primera ronda del combate.
Guerilla,Guerrilla
Bonus hit and evasion when standing in rough terrain and/or on Offense,Ventaja de golpes y evasión al permanecer en terreno accidentado o al atacar.
Firearms Slayer,Artillero homicida
+35% damage to firearms,Aumenta un 35 % el daño de los artilleros.
Hit and Run,Golpe y fuga
Bonus hit and evasion when standing in Open terrain and/or on Offense,Ventaja de golpes y evasión al permanecer en terreno abierto o al atacar.
Shadowchaser,Acechasombras
Bonus movement in Ambushable terrain and ignore enemy Zones of Control,Ventaja de movimiento en terreno de emboscada e ignora las zonas de control enemigas.
Imposing,Imponente
Noisy Cricket,Grillo ruidoso
Squad loses 15% threat for the purposes of being targeted (more likely to be targeted),El pelotón pierde un 15 % de amenaza para ser blanco de un ataque (más probabilidades de recibir ataques).
Combat Medic,Curación de combate
Support units in this squad heal for 20% more,Las unidades de apoyo de este pelotón curan un 20 % más.
Hospitaller,Hospitalaria
Out-of-battle Healing is 25% stronger,Las curaciones fuera de combate son un 25 % más potentes.
Unassuming,Discreción
Archer Captain,Arquero líder
Soldier Captain,Soldado líder
Knight Captain,Caballero líder
Melee Cavalry units in this Squad cost 2 less capacity,Las unidades de caballería físicas de este pelotón cuestan 2 menos de capacidad.
Bowmanship,Puntería
Arcane Vigor,Vigor arcano
Gain Max HP equal to 100% of MAG,Otorga PS máx. igual al 100 % de MAG.
Arcane Might,Poder arcano
Arcane Speed,Velocidad arcana
Coldblooded,Sangre fría
Beacon,Alivio
Colossal,Colosal
"Cannot dodge, deals increased morale damage","No puede esquivar, causa más daño a la moral."
Desperation,Desesperación
Smite,Castigo
Dragonslayer,Matadragones
Unit does +50% more damage to Dragons,La unidad causa un 50 % más de daño a los dragones.
Field Marshal,Mariscal de campo
+10 Hit/Evade to entire army while squad is deployed,+10 a precisión/evasión de todo el ejército con este pelotón desplegado.
Bloodlust,Sed de sangre
Genbu Shell Fragment,Trozo de concha de Genbu
Soha's Blood Shard,Cristal sangrante de Soha
Giant's Thresher,Cortagigantes
