ENGLISH,ENGLISH
"XP is Experience Points, and CP is Class Points / Class Mastery.\\PARXP is gained from doing battle, defeating any units, or using an XP codex. Units that did not participate in the campaign will also gain a small amount, so that no one is severely left behind. You will always see your XP represented in increments of 100. Get 100 more XP to level up, which will increase your stats.\\PARCP, or Class Points / Class Mastery, is only gained from real combat experience, or using a CP Codex. In order to upgrade classes, you must fill up the CP Bar to ''Max''.","La EXP muestra los puntos de experiencia y PC, los puntos de clase/la maestría de clase.\\PARConseguirás EXP luchando en combate, venciendo a unidades o usando un códice de EXP. Las unidades que no participen en la campaña también recibirán una pequeña cantidad de EXP para no quedarse demasiado atrás. Podrás ver en todo momento tus EXP representados en incrementos de 100 puntos. Cada vez que acumules 100 puntos de EXP, tus atributos aumentarán.\\PARPor el contrario, solo conseguirás PC, o puntos de clase, luchando en combates o usando un códice de PC. Para mejorar tu clase, deberás llenar la barra de PC al máximo."
Battle of Rimorgue River Valley,Batalla del valle del río Rimorgue
"Date: Year 999\\PARLocation: Stormrook, Rimorgue, banks of the Herald River\\PARBelligerents: Nephilim Army, Empire of Archaelus and Followers of Zanatus\\PARResult: Decisive Nephilim Army victory, near total destruction of the Empire of Archaelus military forces\\PARTerritory changes: Nephilim Army annexes Stormrook, Rimorgue, Fort Eureeka\\PARCasualties: 6,000 military deaths","Fecha: año 999\\PARLugar: Torre Tormenta, Rimorgue, riberas del río del Heraldo\\PARContendientes: Ejército Nefilim, Imperio de Archaelus y Seguidores de Zanatus\\PARResultado: victoria decisiva del Ejército Nefilim, destrucción casi completa de los ejércitos del Imperio de Archaelus\\PARCambios territoriales: el Ejército Nefilim anexiona Torre Tormenta, Rimorgue y el fuerte Eureeka\\PARBajas: 6000 bajas militares"
Nephilim Millennium War,Guerra Milenaria de los Nefilim
"Date: Year 997-999\\PARLocation: Veridia, Sayunaa, and Sandraka\\PARBelligerents: Nephilim Army vs Empire of Archaelus, Followers of Zanatus, with Kingdom of Sayunaa changing alliances\\PARResult: Utter defeat and unconditional surrender of the Empire of Archaelus.\\PARTerritory changes: All territory under the provisional military government\\PARCasualties: 25,000 military deaths\\PARA struggle that will sound through the ages as a climactic point in history. Starting just from a small hideout, the Avatar of Donar built an army and dismantled the Empire of Archaelus piece by piece with stunning efficiency until the death of Emperor Casamir finally led to the end of the war.\\PARHistorians look at the staggering disparity in power between the beginnings of the war, and conclude that the Nephilim Army's victory can be attributed to several factors that crippled Archaelus Imperial war efforts. Casamir's ability to directly administer most elements of his government was minimal throughout his reign, making his role largely ceremonial. The institutional power lied with the Followers of Zanatus, who committed massive resources and manpower to the dismantling of the Donari Temple, the child abduction and reeducation efforts, and the domestic campaign to root out potential enemies of the state. For much of year 999, the Nephilim Army was merely a minor nuissance to Imperial leadership, only registering as a threat when it was far too late to turn the tide.","Fecha: año 997-999\\PARLugar: Veridia, Sayunaa y Sandraka\\PARContendientes: El Ejército Nefilim contra el Imperio de Archaelus y los Seguidores de Zanatus, con un cambio de alianza del Reino de Sayunaa\\PARResultado: derrota total y rendición incondicional del Imperio de Archaelus.\\PARCambios territoriales: todos los territorios bajo gobierno militar provisional\\PARBajas: 25 000 bajas militares\\PARUn conflicto que será considerado punto culminante de la historia a través de los siglos. Partiendo desde un pequeño refugio, el avatar de Donar logró formar un ejército y desmantelar al Imperio de Archaelus poco a poco con una brillante eficiencia hasta que la muerte del emperador Casamir dio fin a la guerra.\\PARTras analizar la enorme disparidad de poder entre los iniciadores de la guerra, los historiadores han concluido que la victoria del Ejército Nefilim puede atribuirse a diversos factores que frustraron los esfuerzos de los imperiales de Archaelus. La habilidad de Casamir para gestionar directamente la mayor parte de los elementos de su gobierno fue escasa durante todo su reinado, lo que hizo que su cargo fuera principalmente ceremonial. El poder institucional estaba en manos de los Seguidores de Zanatus, quienes destinaron multitud de recursos y soldados con tal de desarticular a los Templarios de Donar, secuestrar niños para tratar de reeducarlos y lanzar una campaña nacional que erradicara a los posibles enemigos del estado. Durante gran parte del año 999, el Ejército Nefilim apenas supuso traba alguna para los imperiales, pero para cuando se convirtió en amenaza, ya era demasiado tarde."
Character stat: STR (Strength),Atributo de personaje: FZA (fuerza)
"Determines ability to deal physical damage, also offers some physical resistance. Influences Dragon breath damage.",Determina el daño físico asestado y también ofrece resistencia física. Influye en el daño del aliento de los dragones.
Character stat: SKL (Skill),Atributo de personaje: HAB (habilidad)
"Determines hit rate, critical hits, evasion, and glancing blows.","Determina la precisión de los golpes, los golpes críticos, la evasión y los golpes rechazados."
Character stat: MAG (Magic),Atributo de personaje: MAG (magia)
Affects ability to deal Magic damage and healing power. Also determines Magic Defense. Influences Dragon breath damage.,Afecta al daño mágico y al poder curativo. También determina la defensa mágica. Influye en el daño del aliento de los dragones.
Character stat: LDR (Leadership),Atributo de personaje: LDR (liderazgo)
Determines Squad Capacity. Capacity determines how many units and artifacts can be added to a Squad.,"Determina la capacidad del pelotón, es decir, el número de unidades y artefactos que un pelotón puede tener."
Affinity,Afinidad
"Every unit in Tahnra is born with Affinity. These include, in order of most common to least common: Earth, Water, Lightning, Fire, Darkness, and Light.","Cada unidad de Tahnra nace con una afinidad, entre las que se incluyen, de mayor a menor rareza: tierra, agua, rayo, fuego, oscuridad y luz."
"Bond, Family, Friendship","Vínculo, familia, amistad"
"Characters start with, and can further develop Friendships, Deep Bonds, and even become Family, through Home Base Conversations.\\PARThese grant mutual bonuses to Morale when within 3 tiles of each other.","Los personajes pueden relacionarse e ir mejorando sus amistades y vínculos profundos, o incluso convertirse en familia, conversando en la base de operaciones.\\PAREstas relaciones mejoran la moral de los personajes que estén a 3 casillas o menos de distancia en combate."
Character stat: Armor,Atributo de personaje: armadura
"Determines physical damage mitigation. Is largely determined by what class a unit currently is, rather than growths over time.",Determina la mitigación del daño físico. Depende en gran medida de la clase de la unidad más que de su desarrollo con el tiempo.
Surrenders and Force Surrender Tactic,Rendirse y obligar a rendirse
"Force Surrender is a type of attack you can use, which gives the target a chance to Surrender. If this ask fails and the enemy refuses, battle will start, and you will lose your first volley. Any enemies destroyed in this attack will have a second chance to surrender.\\PARSurrender is a greater victory than outright destroying an enemy Squad. We will get a gold bounty at the end of the Chapter in exchange for the Prisoners of War captured via Surrenders, in addition to some Faction Rank XP.","Obligar a rendirse es un tipo de ataque puedes usar para dar al enemigo la oportunidad de tirar la toalla. Si fallas y el enemigo se niega a rendirse, comenzaréis a luchar y perderás la primera ronda de ataques. Los enemigos que derrotes usando este ataque tendrán una segunda oportunidad de rendirse.\\PARRendirse se considera una victoria mayor que una simple derrota de un pelotón enemigo. Recibiremos oro extra al final del capítulo a cambio de los prisioneros de guerra que se hayan rendido en combate, además de algo de EXP de rango de facción."
Class: Fighter,Clase: luchador
Can be a Squad Leader: No\\PARTier: 1\\PARUnit Type: Heavy Infantry\\PARMovement Type: Normal\\PARResources Required: -\\PARBattle Actions: 2 Slashing attacks at 1 range\\PARSpecial: -,Puede ser líder de pelotón: no\\PARGrado: 1\\PARTipo de unidad: infantería pesada\\PARTipo de movimiento: normal\\PARRecursos necesarios: -\\PARAcciones en combate: 2 ataques cortantes a 1 casilla de distancia\\PAREspecial: -
Class: Bowman,Clase: saetero
"Can be a Squad Leader: No\\PARTier: 1\\PARUnit Type: Archery\\PARMovement Type: Normal\\PARResources Required: -\\PARBattle Actions: 2 Bow attacks at 1 range, or 1 Arced Bow attack at 2 range\\PARSpecial: -",Puede ser líder de pelotón: no\\PARGrado: 1\\PARTipo de unidad: arquero\\PARTipo de movimiento: normal\\PARRecursos necesarios: -\\PARAcciones en combate: 2 flechazos a 1 casilla de distancia o 1 flechazo arqueados a 2 de distancia\\PAREspecial: -
Class: Militia,Clase: miliciano
"Can be a Squad Leader: No\\PARTier: 1\\PARUnit Type: Light Infantry\\PARMovement Type: Light\\PARResources Required: -\\PARBattle Actions: 2 Slashing attacks at 1 range\\PARSpecial: Increased evasion in woods, townscape, hills, and swamp","Puede ser líder de pelotón: no\\PARGrado: 1\\PARTipo de unidad: infantería ligera\\PARTipo de movimiento: normal\\PARRecursos necesarios: -\\PARAcciones en combate: 2 ataques cortantes a 1 casilla de distancia\\PAREspecial: mayor evasión en bosques, entornos urbanos, colinas y pantanos"
Class: Medic,Clase: curandera
Can be a Squad Leader: No\\PARTier: 1\\PARUnit Type: Support\\PARMovement Type: Slow\\PARResources Required: -\\PARBattle Actions: 1 Heal of the weakest ally\\PARSpecial: Can use a Squad's turn to heal members of an adjacent Squad,Puede ser líder de pelotón: no\\PARGrado: 1\\PARTipo de unidad: apoyo\\PARTipo de movimiento: lento\\PARRecursos necesarios: -\\PARAcciones en combate: 1 curación al aliado más débil\\PAREspecial: puede usar el turno del pelotón para curar a miembros de un pelotón adyacente
Class: Soldier,Clase: soldado
Can be a Squad Leader: Yes\\PARTier: 2\\PARUnit Type: Heavy Infantry\\PARMovement Type: Normal\\PARResources Required: 1 Iron\\PARBattle Actions: 2 Slashing attacks at 1 range\\PARSpecial: -,Puede ser líder de pelotón: sí\\PARGrado: 2\\PARTipo de unidad: infantería pesada\\PARTipo de movimiento: normal\\PARRecursos necesarios: 1 de hierro\\PARAcciones en combate: 2 ataques cortantes a 1 casilla de distancia\\PAREspecial: -
Class: Spearman,Clase: lancero
"Can be a Squad Leader: Yes\\PARTier: 2\\PARUnit Type: Heavy Infantry\\PARMovement Type: Normal\\PARResources Required: 1 Iron\\PARBattle Actions: 2 Polearm attacks at 1 range\\PARSpecial: +15% Damage Dealt if adjacent to another Polearm user in the same row, +35% Damage dealt to Cavalry units","Puede ser líder de pelotón: sí\\PARGrado: 2\\PARTipo de unidad: infantería pesada\\PARTipo de movimiento: normal\\PARRecursos necesarios: 1 de hierro\\PARAcciones en combate: 2 ataques de lanza a 1 de distancia\\PAREspecial: +15 % de daño causado si hay otro lancero adyacente en la misma fila, +35 % de daño causado a las unidades de caballería"
Class: Acolyte,Clase: acólita
Can be a Squad Leader: Yes\\PARTier: 2\\PARUnit Type: Heavy Infantry\\PARMovement Type: Normal\\PARResources Required: 1 Iron\\PARBattle Actions: 2 Striking attacks at 1 range\\PARSpecial: Resists Magic and Dragon Breath attacks by 25% of this unit's Armor value,Puede ser líder de pelotón: sí\\PARGrado: 2\\PARTipo de unidad: infantería pesada\\PARTipo de movimiento: normal\\PARRecursos necesarios: 1 de hierro\\PARAcciones en combate: 2 ataques contundentes a 1 casilla de distancia\\PAREspecial: reduce los ataques mágicos y de aliento de dragón un 25 % del valor de armadura de esta unidad
Class: Cavalier,Clase: jinete
"Can be a Squad Leader: Yes\\PARTier: 2\\PARUnit Type: Heavy Cavalry\\PARMovement Type: Fast\\PARResources Required: 1 Iron, 1 Horse\\PARBattle Actions: 2 Slashing attacks at 1 range\\PARSpecial: On offense, if Squad moved maximum possible range, this unit's 1st attack is a 'Charge Attack' which can Stun the target","Puede ser líder de pelotón: sí\\PARGrado: 2\\PARTipo de unidad: caballería pesada\\PARTipo de movimiento: rápido\\PARRecursos necesarios: 1 de hierro, 1 caballo\\PARAcciones en combate: 2 ataques cortantes a 1 casilla de distancia\\PAREspecial: al atacar, si el pelotón se ha movido la distancia máxima, el primer ataque de esta unidad es una «carga ofensiva» que puede aturdir al objetivo"
Class: Skirmisher,Clase: duelista
"Can be a Squad Leader: Yes\\PARTier: 2\\PARUnit Type: Light Infantry\\PARMovement Type: Light\\PARResources Required: -\\PARBattle Actions: 2 Slashing attacks at 1 range\\PARSpecial: Increased evasion in woods, townscape, hills, and swamp","Puede ser líder de pelotón: sí\\PARGrado: 2\\PARTipo de unidad: infantería ligera\\PARTipo de movimiento: normal\\PARRecursos necesarios: -\\PARAcciones en combate: 2 ataques cortantes a 1 casilla de distancia\\PAREspecial: mayor evasión en bosques, entornos urbanos, colinas y pantanos"
Class: Rogue,Clase: pícaro
"Can be a Squad Leader: Yes\\PARTier: 2\\PARUnit Type: Light Infantry\\PARMovement Type: Light\\PARResources Required: -\\PARBattle Actions: On Offense, 1 Stealth Attack at 1 range, followed by 1 Slashing attack at 1 range. On Defense, 2 Slashing attacks at 1 range\\PARSpecial: When on Offense, first attack can hit the back row of the target Squad with increased damage","Puede ser líder de pelotón: sí\\PARGrado: 2\\PARTipo de unidad: infantería ligera\\PARTipo de movimiento: normal\\PARRecursos necesarios: -\\PARAcciones en combate: al atacar, 1 ataque furtivo a 1 de distancia, seguido de 1 ataque cortante a 1 de distancia. Al protegerse, 2 ataques cortantes a 1 casilla de distancia\\PAREspecial: al atacar, el primer ataque puede golpear a la fila trasera de un pelotón y causarle mayor daño"
Class: Swordfighter,Clase: espadachina
Class: Scout,Clase: explorador
"Can be a Squad Leader: Yes\\PARTier: 2\\PARUnit Type: Light Cavalry\\PARMovement Type: Light, Fast\\PARResources Required: 1 Horse\\PARBattle Actions: 2 Polearm attacks at 1 range\\PARSpecial: On offense, if Squad moved maximum possible range, this unit's 1st attack is a 'Charge Attack' which can Stun the target, +35% Damage dealt to Cavalry units. Increased evasion in woods, townscape, hills, and swamp. +50% Evasion on offense.","Puede ser líder de pelotón: sí\\PARGrado: 2\\PARTipo de unidad: caballería ligera\\PARTipo de movimiento: ligero, rápido\\PARRecursos necesarios: 1 caballo\\PARAcciones en combate: 2 ataques de lanza a 1 casilla de distancia\\PAREspecial: al atacar, si el pelotón se ha movido la distancia máxima, el primer ataque de esta unidad es una «carga ofensiva» que puede aturdir al objetivo, +35 % de daño causado a las unidades de caballería. Mayor evasión en bosques, entornos urbanos, colinas y pantanos, +50 % de evasión al atacar"
Class: Archer,Clase: arquero
"Can be a Squad Leader: Yes\\PARTier: 2\\PARUnit Type: Archery\\PARMovement Type: Normal\\PARResources Required: -\\PARBattle Actions: 2 Bow attacks at 1 range, or 1 Arced Bow attack at 2 range\\PARSpecial: -",Puede ser líder de pelotón: sí\\PARGrado: 2\\PARTipo de unidad: arquero\\PARTipo de movimiento: normal\\PARRecursos necesarios: -\\PARAcciones en combate: 2 flechazos a 1 casilla de distancia o 1 flechazo arqueados a 2 de distancia\\PAREspecial: -
Class: Crossbowman,Clase: ballestero
"Can be a Squad Leader: Yes\\PARTier: 2\\PARUnit Type: Archery\\PARMovement Type: Normal\\PARResources Required: 1 Iron\\PARBattle Actions: 2 Bow attacks at 1 range, or 1 Arced Bow attack at 2 range\\PARSpecial: Attacks ignore 25% of Armor, damage derived from Weapon Power, not STR","Puede ser líder de pelotón: sí\\PARGrado: 2\\PARTipo de unidad: arquero\\PARTipo de movimiento: normal\\PARRecursos necesarios: 1 de hierro\\PARAcciones en combate: 2 flechazos a 1 casilla de distancia o 1 flechazo arqueado a 2 de distancia\\PAREspecial: los ataques ignoran un 25 % de la armadura, daño derivado del poder del arma, no de FZA"
Class: Horsebow,Clase: arquero montado
"Can be a Squad Leader: Yes\\PARTier: 2\\PARUnit Type: Archery\\PARMovement Type: Light, Fast\\PARResources Required: 1 Horse\\PARBattle Actions: 2 Bow attacks at 1 range, or 1 Arced Bow attack at 2 range\\PARSpecial:  +50% Evasion on offense.","Puede ser líder de pelotón: sí\\PARGrado: 2\\PARTipo de unidad: arquero\\PARTipo de movimiento: ligero, rápido\\PARRecursos necesarios: 1 caballo\\PARAcciones en combate: 2 flechazos a 1 casilla de distancia o 1 flechazo arqueado a 2 de distancia\\PAREspecial: +50 % de evasión al atacar"
Class: Priestess,Clase: sacerdotisa
Can be a Squad Leader: Yes\\PARTier: 2\\PARUnit Type: Support\\PARMovement Type: Slow\\PARResources Required: 1 Gem\\PARBattle Actions: 1 Heal of the weakest ally\\PARSpecial: Can use a Squad's turn to heal members of an adjacent Squad,Puede ser líder de pelotón: sí\\PARGrado: 2\\PARTipo de unidad: apoyo\\PARTipo de movimiento: lento\\PARRecursos necesarios: 1 gema\\PARAcciones en combate: 1 curación al aliado más débil\\PAREspecial: puede usar el turno del pelotón para curar a miembros de un pelotón adyacente
Class: Apprentice,Clase: aprendiz
Can be a Squad Leader: Yes\\PARTier: 2\\PARUnit Type: Magician\\PARMovement Type: Slow\\PARResources Required: 1 Gem\\PARBattle Actions: 1 Fire Magic attacks at 1 range\\PARSpecial: -,Puede ser líder de pelotón: sí\\PARGrado: 2\\PARTipo de unidad: mago\\PARTipo de movimiento: lento\\PARRecursos necesarios: 1 gema\\PARAcciones en combate: 1 ataque mágico de fuego a 1 de distancia\\PAREspecial: -
Class: Siren,Clase: sirena
"Can be a Squad Leader: Yes\\PARTier: 2\\PARUnit Type: Magician\\PARMovement Type: Slow\\PARResources Required: 1 Gem\\PARBattle Actions: 1 Dark Magic attack 1 range\\PARSpecial: Chance to Stun or Daze targets. Daze lowers enemy STR for the duration of the battle, while Stun completely negates one enemy turn","Puede ser líder de pelotón: sí\\PARGrado: 2\\PARTipo de unidad: mago\\PARTipo de movimiento: lento\\PARRecursos necesarios: 1 gema\\PARAcciones en combate: 1 ataque mágico de oscuridad a 1 de distancia\\PAREspecial: probabilidad de aturdir o marear a los objetivos. El mareo reduce la FZA durante toda la batalla, mientras que el aturdimiento anula por completo un turno enemigo"
Class: Sentinel,Clase: centinela
"Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Heavy Infantry\\PARMovement Type: Normal\\PARResources Required: 3 Iron\\PARBattle Actions: 2 Polearm attacks at 1 range\\PARSpecial: +15% Damage Dealt if adjacent to another Polearm user in the same row, -50% damage taken from Firearm attacks, +35% Damage dealt to Cavalry units","Puede ser líder de pelotón: sí\\PARGrado: 3\\PARTipo de unidad: infantería pesada\\PARTipo de movimiento: normal\\PARRecursos necesarios: 3 de hierro\\PARAcciones en combate: 2 ataques de lanza a 1 de distancia\\PAREspecial: +15 % de daño causado si hay otro lancero adyacente en la misma fila, -50 % de daño sufrido por armas de fuego, +35 % de daño causado a las unidades de caballería"
Class: Champion,Clase: campeón
"Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Heavy Infantry\\PARMovement Type: Normal\\PARResources Required: 2 Iron, 2 Obsidian\\PARBattle Actions: 2 Slashing double-attacks at 1 range\\PARSpecial: -","Puede ser líder de pelotón: sí\\PARGrado: 3\\PARTipo de unidad: infantería pesada\\PARTipo de movimiento: normal\\PARRecursos necesarios: 2 de hierro, 2 de obsidiana\\PARAcciones en combate: 2 ataques cortantes dobles a 1 casilla de distancia\\PAREspecial: -"
Class: Zweihander,Clase: adalid
Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Heavy Infantry\\PARMovement Type: Normal\\PARResources Required: 2 Iron\\PARBattle Actions: 2 Wide-sweeping Slashing attacks at 1 range\\PARSpecial: Attacks deal splash damage to 1 tile adjacent to the target in the same row,Puede ser líder de pelotón: sí\\PARGrado: 3\\PARTipo de unidad: infantería pesada\\PARTipo de movimiento: normal\\PARRecursos necesarios: 2 de hierro\\PARAcciones en combate: 2 ataques cortantes de barrido a 1 casilla de distancia\\PAREspecial: el ataque causa daño colateral en 1 casilla adyacente al objetivo de la misma fila
Class: Centurion,Clase: centurión
"Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Heavy Infantry\\PARMovement Type: Normal\\PARResources Required: 2 Iron, 2 Obsidian\\PARBattle Actions: 2 Piercing Polearm attacks at 1 range\\PARSpecial: Attacks deal splash damage to 1 tile behind the target, +15% Damage dealt if adjacent to another Polearm user in the same row, +35% Damage dealt to Cavalry units","Puede ser líder de pelotón: sí\\PARGrado: 3\\PARTipo de unidad: infantería pesada\\PARTipo de movimiento: normal\\PARRecursos necesarios: 2 de hierro, 2 de obsidiana\\PARAcciones en combate: 2 ataques de lanza punzantes a 1 casilla de distancia\\PAREspecial: los ataques causan daño colateral en la casilla que hay tras el objetivo, +15 % de daño causado si hay otro lancero adyacente en la misma fila, +35 % de daño causado a las unidades de caballería"
Class: Samurai,Clase: samurái
"Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Heavy Infantry\\PARMovement Type: Normal\\PARResources Required: 2 Iron\\PARBattle Actions: 2 Polearm attacks at 1 range, or 1 Arced Bow attack at 2 range\\PARSpecial: 15% Polearm Damage dealt if adjacent to another Polearm user in the same row, +35% Polearm Damage dealt to Cavalry units. 35% more base Evasion than other Heavy classes","Puede ser líder de pelotón: sí\\PARGrado: 3\\PARTipo de unidad: infantería pesada\\PARTipo de movimiento: normal\\PARRecursos necesarios: 2 de hierro\\PARAcciones en combate: 2 ataques de lanza a 1 casilla de distancia o 1 flechazo arqueado a 2 de distancia\\PAREspecial: +15 % de daño causado con la lanza si hay otro lancero adyacente en la misma fila, +35 % de daño causado a las unidades de caballería. +35 % de evasión básica que otras clases pesadas"
Class: Paladin,Clase: paladina
"Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Heavy Infantry\\PARMovement Type: Normal\\PARResources Required: 2 Iron, 1 Sunstone\\PARBattle Actions: 2 Striking attacks at 1 range, or 1 Striking attack and 1 heal if an ally is below %50 HP\\PARSpecial: Resists Magic and Dragon Breath attacks by 25% of this unit's Armor value","Puede ser líder de pelotón: sí\\PARGrado: 3\\PARTipo de unidad: infantería pesada\\PARTipo de movimiento: normal\\PARRecursos necesarios: 2 de hierro, 1 piedra solar\\PARAcciones en combate: 2 ataques contundentes a 1 de distancia o 1 ataque contundente y 1 curación si algún aliado tiene sus PS por debajo del 50 %\\PAREspecial: reduce los ataques mágicos y de aliento de dragón un 25 % del valor de armadura de esta unidad"
Class: Knight,Clase: caballero
"Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Heavy Cavalry\\PARMovement Type: Fast\\PARResources Required: 2 Iron, 1 Obsidian, 1 Horse\\PARBattle Actions: 2 Slashing attacks with splash damage to adjacent targets at 1 range\\PARSpecial: On offense, if Squad moved maximum possible range, this unit's 1st attack is a 'Charge Attack' which can Stun the target","Puede ser líder de pelotón: sí\\PARGrado: 3\\PARTipo de unidad: caballería pesada\\PARTipo de movimiento: rápido\\PARRecursos necesarios: 2 de hierro, 1 de obsidiana, 1 caballo\\PARAcciones en combate: 2 ataques cortantes con daño colateral a los objetivos adyacentes a 1 casilla de distancia\\PAREspecial: al atacar, si el pelotón se ha movido la distancia máxima, el primer ataque de esta unidad es una «carga ofensiva» que puede aturdir al objetivo"
Class: Valkyrie,Clase: valquiria
"Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Heavy Cavalry\\PARMovement Type: Fast\\PARResources Required: 2 Iron, 1 Sunstone, 1 Horse\\PARBattle Actions: 2 Slashing attacks at 1 range, or 1 Striking attack and 1 heal if an ally is below %50 HP\\PARSpecial: On offense, if Squad moved maximum possible range, this unit's 1st attack is a 'Charge Attack' which can Stun the target, Resists Magic and Dragon Breath attacks by 25% of this unit's Armor value","Puede ser líder de pelotón: sí\\PARGrado: 3\\PARTipo de unidad: caballería pesada\\PARTipo de movimiento: rápido\\PARRecursos necesarios: 2 de hierro, 1 piedra solar, 1 caballo\\PARAcciones en combate: 2 ataques cortantes a 1 de distancia o 1 ataque contundente y 1 curación si algún aliado tiene sus PS por debajo del 50 %\\PAREspecial: al atacar, si el pelotón se ha movido la distancia máxima, el primer ataque de esta unidad es una «carga ofensiva», reduce los ataques mágicos y de aliento de dragón un 25 % del valor de armadura de esta unidad"
Class: Ranger,Clase: montaraz
"Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Light Infantry\\PARMovement Type: Light\\PARResources Required: -\\PARBattle Actions: 1 Crossbow attack at 1 range followed by 1 Slashing attack at 1 range\\PARSpecial: Crossbow attack bypasses enemy Cover and Block from formations. Increased evasion in woods, townscape, hills, and swamp","Puede ser líder de pelotón: sí\\PARGrado: 3\\PARTipo de unidad: infantería ligera\\PARTipo de movimiento: normal\\PARRecursos necesarios: -\\PARAcciones en combate: 1 ataque de ballesta a 1 de distancia seguido de 1 ataque cortante a 1 de distancia\\PAREspecial: los ataques de ballesta ignoran si el enemigo está a cubierto o bloqueando. Mayor evasión en bosques, entornos urbanos, colinas y pantanos"
Class: Assassin,Clase: asesino
"Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Light Infantry\\PARMovement Type: Light\\PARResources Required: 2 Obsidian\\PARBattle Actions: On Offense, 1 Stealth Attack at 1 range, followed by 1 Slashing attack at 1 range. On Defense, 2 Slashing attacks at 1 range\\PARSpecial: When on Offense, first attack can hit the back row of the target Squad with increased damage","Puede ser líder de pelotón: sí\\PARGrado: 3\\PARTipo de unidad: infantería ligera\\PARTipo de movimiento: ligero\\PARRecursos necesarios: 2 de obsidiana\\PARAcciones en combate: al atacar, 1 ataque furtivo a 1 de distancia, seguido de 1 ataque cortante a 1 de distancia. Al protegerse, 2 ataques cortantes a 1 casilla de distancia\\PAREspecial: al atacar, el primer ataque puede golpear a la fila trasera de un pelotón y causarle mayor daño"
Class: Swordmaster,Clase: esgrimidora
"Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Light Infantry\\PARMovement Type: Light\\PARResources Required: 1 Iron, 2 Obsidian\\PARBattle Actions: 2 Slashing double-attacks at 1 range\\PARSpecial: Increased evasion in woods, townscape, hills, and swamp","Puede ser líder de pelotón: sí\\PARGrado: 3\\PARTipo de unidad: infantería ligera\\PARTipo de movimiento: ligero\\PARRecursos necesarios: 1 de hierro, 2 de obsidiana\\PARAcciones en combate: 2 ataques cortantes dobles a 1 casilla de distancia\\PAREspecial: mayor evasión en bosques, entornos urbanos, colinas y pantanos"
Class: Hussar,Clase: húsar
"Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Light Cavalry\\PARMovement Type: Light, Fast\\PARResources Required: 2 Iron, 1 Horse\\PARBattle Actions: 2 Polearm attacks at 1 range\\PARSpecial: On offense, if Squad moved maximum possible range, this unit's 1st attack is a 'Charge Attack' which can Stun the target, +35% Damage dealt to Cavalry units. Increased evasion in woods, townscape, hills, and swamp.  +50% Evasion on offense.","Puede ser líder de pelotón: sí\\PARGrado: 3\\PARTipo de unidad: caballería ligera\\PARTipo de movimiento: ligero, rápido\\PARRecursos necesarios: 2 de hierro, 1 caballo\\PARAcciones en combate: 2 ataques de lanza a 1 casilla de distancia\\PAREspecial: al atacar, si el pelotón se ha movido la distancia máxima, el primer ataque de esta unidad es una «carga ofensiva» que puede aturdir al objetivo, +35 % de daño causado a las unidades de caballería. Mayor evasión en bosques, entornos urbanos, colinas y pantanos, +50 % de evasión al atacar"
Class: Warbow,Clase: arquero bélico
"Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Archery\\PARMovement Type: Normal\\PARResources Required: 2 Obsidian\\PARBattle Actions: 2 Bow attacks at 1 range, or 1 Arced Bow attack at 2 or 3 range\\PARSpecial: -",Puede ser líder de pelotón: sí\\PARGrado: 3\\PARTipo de unidad: arquero\\PARTipo de movimiento: normal\\PARRecursos necesarios: 2 de obsidiana\\PARAcciones en combate: 2 flechazos a 1 casilla de distancia o 1 flechazo arqueado a 2 o 3 de distancia\\PAREspecial: -
Class: Raider,Clase: saqueador
"Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Archery\\PARMovement Type: Light, Fast\\PARResources Required: 1 Iron, 1 Horse\\PARBattle Actions: 2 Bow attacks at 1 range, or 1 Arced Bow attack at 2 range\\PARSpecial:  +50% Evasion on offense.","Puede ser líder de pelotón: sí\\PARGrado: 3\\PARTipo de unidad: arquero\\PARTipo de movimiento: ligero, rápido\\PARRecursos necesarios: 1 de hierro, 1 caballo\\PARAcciones en combate: 2 flechazos a 1 casilla de distancia o 1 flechazo arqueado a 2 de distancia\\PAREspecial: +50 % de evasión al atacar"
Class: Gunner,Clase: artillero
