ENGLISH,SPANISH
"Change a unit's Affinity to Light. Stats will change retroactively. ++LDR, ++Loyalty","Cambia la afinidad de una unidad a luz. Los atributos cambiarán de forma retroactiva. ++LDR, ++lealtad"
Trait: Scavenger,Rasgo: saqueo
Teach trait to a unit.,Enseña el rasgo a una unidad.
Trait: Garrison,Rasgo: guarnición
Trait: Bodyguard,Rasgo: guardaespaldas
Trait: Vengeance,Rasgo: venganza
Trait: Overpower,Rasgo: dominación
Trait: Imposing,Rasgo: imponente
Trait: Unassuming,Rasgo: discreción
Trait: Resolve,Rasgo: determinación
Trait: Unscathed,Rasgo: indemne
Trait: Precision,Rasgo: precisión
Trait: Assassin's Heart,Rasgo: corazón de asesino
Trait: Archer Captain,Rasgo: arquero líder
Trait: Soldier Captain,Rasgo: soldado líder
Trait: Knight Captain,Rasgo: caballero líder
Trait: Concentration,Rasgo: concentración
Trait: Disarm,Rasgo: desarme
Trait: Lithe Assault,Rasgo: asalto grácil
Trait: Assassin's Reaper,Rasgo: vampiro asesino
Trait: Bowmanship,Rasgo: puntería
Trait: Dragonslayer,Rasgo: matadragones
Trait: Warrior's Hubris,Rasgo: orgullo de guerrero
Trait: Challenger,Rasgo: contrincante
Trait: Executioner,Rasgo: verdugo
Trait: Healing Attuned,Rasgo: recuperación
Trait: Cold-Blooded,Rasgo: sangre fría
Trait: Beacon,Rasgo: alivio
Trait: Arcane Barrier,Rasgo: barrera arcana
Trait: Arcane Might,Rasgo: poder arcano
Trait: Arcane Speed,Rasgo: velocidad arcana
Trait: Arcane Vigor,Rasgo: vigor arcano
Trait: Counterattack,Rasgo: contraataque
Trait: Desperation,Rasgo: desesperación
Trait: Immortal Spirit,Rasgo: espíritu inmortal
Trait: Smite,Rasgo: castigo
Trait: Shock and Awe,Rasgo: asombro
Trait: Bloodlust,Rasgo: sed de sangre
Trait: Silver-Tongued,Rasgo: elocuencia
Trait: Treasure Hunter,Rasgo: cazatesoros
Trait: Tundra Warrior,Rasgo: guerrero de tundra
Trait: Desert Warrior,Rasgo: guerrero de desierto
"""This battlefield, suspended in the clouds is reserved for all the fiercest and most celebrated warriors.""","«Este campo de batalla, suspendido en las nubes, está reservado a los guerreros más fieros y célebres»."
Mark of the Risen,Marca del zombi
Use on any Tier 3 Mage or Support Unit to class change them to a Necromancer.,Se usa en cualquier mago o unidad de apoyo de grado 3 para cambiar su clase a nigromante.
Defiled Donari Tome,Tomo donari profanado
Use on any Tier 3 Mage or Support Unit to class change them to a Dark Mage.,Se usa en cualquier mago o unidad de apoyo de grado 3 para cambiar su clase a mago oscuro.
Trait: Benevolent,Rasgo: Benevolente
Trait: Liberator,Rasgo: Libertador
Trait: Rally,Rasgo: Subir la moral
Trait: Barricade,Rasgo: Barricada
Trait: Pacifist,Rasgo: Pacifista
Trait: Wide Guard,Rasgo: Guardia amplia
Trait: Raid Captain,Rasgo: Capitán de asalto
Book of Unlife,Libro de necrovida
Use during Squad Organize to summon a persistent Risen.,Se usa durante la organización de pelotón para invocar a un zombi persistente.
Blank Tome,Tomo en blanco
Copy a Learned Trait,Copiar un rasgo aprendido
