ENGLISH,JAPANESE
"Change a unit's Affinity to Lightning. Stats will change retroactively. -HP, +STR, +SKL, -Loyalty","ユニットの属性を「雷」に変更し、それに応じて次のようにステータスを変更する。
-HP, +STR, +SKL, -忠誠"
Affinity: Fire,属性:炎
"Change a unit's Affinity to Fire. Stats will change retroactively. +STR, -MAG, +Loyalty","ユニットの属性を「炎」に変更し、それに応じて次のようにステータスを変更する。
+STR, -MAG, +忠誠"
Affinity: Dark,属性:闇
"Change a unit's Affinity to Dark. Stats will change retroactively. ++STR, ++MAG, --LDR, --Loyalty","ユニットの属性を「闇」に変更し、それに応じて次のようにステータスを変更する。
++STR, ++MAG, --LDR, --忠誠"
Affinity: Light,属性:光
"Change a unit's Affinity to Light. Stats will change retroactively. ++LDR, ++Loyalty","ユニットの属性を「光」に変更し、それに応じて次のようにステータスを変更する。
++LDR, ++忠誠"
Trait: Scavenger,特性:漁り屋
Teach trait to a unit.,ユニットに特性を伝授する。
Trait: Garrison,特性:防衛隊
Trait: Bodyguard,特性:護衛
Trait: Vengeance,特性:復讐
Trait: Overpower,特性:制圧
Trait: Imposing,特性:貫禄
Trait: Unassuming,特性:慎重
Trait: Resolve,特性:強固な意志
Trait: Unscathed,特性:逃げ腰
Trait: Precision,特性:精密
Trait: Assassin's Heart,特性:暗殺者の心
Trait: Archer Captain,特性:弓兵隊長
Trait: Soldier Captain,特性:歩兵隊長
Trait: Knight Captain,特性:騎士隊長
Trait: Concentration,特性:集中
Trait: Disarm,特性:武器解除
Trait: Lithe Assault,特性:流麗な襲撃
Trait: Assassin's Reaper,特性:暗殺者の鎌
Trait: Bowmanship,特性:弓兵の誇り
Trait: Dragonslayer,特性:竜殺し
Trait: Warrior's Hubris,特性:戦士の傲慢
Trait: Challenger,特性:挑戦の気概
Trait: Executioner,特性:処刑人
Trait: Healing Attuned,特性:治癒の調和
Trait: Cold-Blooded,特性:冷酷
Trait: Beacon,特性:癒しの共鳴
Trait: Arcane Barrier,特性:魔法の壁
Trait: Arcane Might,特性:魔法の怪力
Trait: Arcane Speed,特性:魔法の俊足
Trait: Arcane Vigor,特性:魔法の活力
Trait: Counterattack,特性:超反撃
Trait: Desperation,特性:執念
Trait: Immortal Spirit,特性:不死の魂
Trait: Smite,特性:粉砕
Trait: Shock and Awe,特性:衝撃と畏怖
Trait: Bloodlust,特性:血の渇望
Trait: Silver-Tongued,特性:雄弁
Trait: Treasure Hunter,特性:宝探し
Trait: Tundra Warrior,特性:極寒の戦士
Trait: Desert Warrior,特性:砂漠の戦士
"""This battlefield, suspended in the clouds is reserved for all the fiercest and most celebrated warriors.""",「雲に浮かぶこの戦場は、最も勇猛かつ名高き戦士たちのために用意されている」
Mark of the Risen,不死の印
Use on any Tier 3 Mage or Support Unit to class change them to a Necromancer.,ティア3メイジまたはサポートユニットに使用すると、ネクロマンサーにクラスチェンジ可能。
Defiled Donari Tome,冒涜のドナー聖典
Use on any Tier 3 Mage or Support Unit to class change them to a Dark Mage.,ティア3メイジまたはサポートユニットに使用すると、ダークメイジにクラスチェンジ可能。
Trait: Benevolent,特性: 慈悲
Trait: Liberator,特性: 解放者
Trait: Rally,特性: 団結
Trait: Barricade,特性: 封鎖
Trait: Pacifist,特性: 平和主義
Trait: Wide Guard,特性: 広範防御
Trait: Raid Captain,特性: 襲撃隊長
Book of Unlife,不死の書
Use during Squad Organize to summon a persistent Risen.,部隊編成時に使用すると、永続性のアンデッドを召喚することができる。
Blank Tome,白紙の聖典
Copy a Learned Trait,習得した特性をコピーする。
