ENGLISH,JAPANESE
"Conscripts are fresh, untrained recruits that are cheap and unlimited. Mercenaries are strong, but expensive, and not as loyal to your cause, but often come with their own gear and special traits.\\PARConscripts are the first 4 slots in the recruiting pool in the Home Base market.",徴集兵は未熟で訓練不足の新兵であり、安価かつ無制限に雇うことができる。傭兵は強力だが高価であり、軍の大義に忠実でもない。しかし、多くの場合は独自の装備と特殊な特性を備えている。\\PARここでの「徴集兵」とは、市場の新兵雇用画面に現れる上4か所の新兵を指す。
Artifacts,装備
Artifacts modify the entire Squad. Effects can be positive or negative. Up to 3 Artifacts can be equipped on a Squad with full technology.,装備は部隊全体を強化する。その効果はプラスにもマイナスにもなりうる。技術を最大限にアンロックした状態だと、最大で3個のアイテムを装備できる。
Stealth,ステルス
"Assassins, Rogues, and Stefan's unit Classes are able to execute Stealth attacks. A Stealth attack is achieved when attacking as one of these Classes.\\PARWhen Stealth attacking, your attacks automatically target the back of the enemy formation.\\PAROn defense, these classes attack normally.",アサシン、ローグおよびステファンは、ステルス攻撃を仕掛けることができる。上記のクラスの1つとして攻撃すると、ステルス攻撃が達成される。\\PARステルス攻撃時、攻撃は自動的に敵部隊の後衛をターゲットにする。\\PAR守備側の時は通常通りの攻撃を行う。
Zanatus,ザナトゥス
"The demonic being who dominated humanity over 1000 years ago. Is the antithesis of Donar in every way. Origins still unknown, but the best translations and accounts can be summarized in a way that paints Zanatus as something not of this world. Something disturbingly unfamiliar to Donar's creation. Defeated in battle by the Avatar of Donar when stabbed through the heart with the holy blade, Lightfury.",千年以上前に人類を支配した闇の存在。あらゆる点で反ドナー的である。起源は不明だが、世にある数々の資料を要約すると、ザナトゥスはこの世のものではないものとして言えるだろう。いずれにせよ、ドナーの創造物には、まるでなじみのない存在である。その昔、ドナーの化身により聖剣ライトフューリーで心臓を貫かれ、敗北した。
Battle of Mount Ptolomea,プトロメア山の戦い
"Date: Year 0\\PARThe confrontation between Zanatus and the five Nephilim, The Avatar of Donar, Galzus, Landis, Cyrene, and Ishtar. Just before this battle, the Avatar of Donar had lead a resistance effort to attempt to liberate Humanity from Zanatus's tyranny. In the final, desperate moments before ultimate defeat, the five experienced a divine intervention, infusing them with godlike power, divine weapons, and changed them from human to Nephilim by blood. Zanatus was ill-prepared for this, and the Nephilim destroyed the demon with a final blow from Lightfury. Zanatus's armies, who relied completely on the demon's singular leadership, fled in disarray, allowing humanity to break its shackles and win its salvation. Thereafter, the Donari Temple was founded, and the Nephilim canonized as gods.",期間:0年\\PARザナトゥスVS5人のネフィリム、ドナーの化身、ガルザス、ランディス、サイレイン、イシュタル。この戦いの直前、ドナーの化身は、ザナトゥスの暴政から人類を解放する抵抗運動を主導していた。しかし、その抵抗も虚しく、いよいよ敗北が迫ろうというその時、5人は神の介入を経験し、特殊な力を授かり、神の武器を得、その身体は人間からネフィリムへと変化した。ザナトゥスはこれに対する備えができておらず、ネフィリムによるライトフューリーの一撃で倒されることとなった。ザナトゥスのカリスマ的リーダーシップに完全に依存していた配下の軍は混乱と共に四散し、人類はついにその軛を脱し、救いを勝ち取ることに成功したのだった。その後、ドナー神殿が築かれ、ネフィリムは神として列聖されることとなった。
Donar,ドナー
"The creator of Tahnra and all things. Nature unknown, but is the being from which all of the Donari Temple's beliefs evolved. Believed to reside in a higher dimension commonly referred to as the ''Divine Realm''. Thought to have only made its presence known in the mortal realm once, during the intervention against Zanatus, but this is not confirmed. Donar's power has been infused into the divine weapons, and in the bloodline of the Nephilim. Commonly confused with the Avatar of Donar, who is often referred to simply as Donar. In the Temple scriptures, very little distinction is made between the mortal Nephilim who defeated Zanatus, and the creator god of all things. The Avatar of Donar represents the virtue of Truth, and the element of Light.",ターンラとすべての生命の創造者。その実体は不明だが、ドナー神殿のすべての信念が進化した存在である。一般に「神界」と呼ばれる高次元に存在すると考えられている。ザナトゥスへの介入中に一度だけ現世でその存在を現わしたと考えられているが、これは今もって確認された事実ではない。ドナーの力は、神の武器とネフィリムの血統に注入されている。また、ドナーの化身は「ドナー」と呼ばれることも多いため、両者はよく混同される。例えば、神殿の聖典では、ザナトゥスを倒したネフィリムと万物の創造神はほとんど区別されていない。ドナーの化身は、真実の美徳と光のエレメントを表している。
"Lightfury, Sword of Donar",ドナーの剣ライトフューリー
"Of course the divine weapon of the Avatar of Donar. However, this weapon seems unique among the other divine weapons. Lightfury has existed in Tahnra long before the Battle of Mount Ptolomea. Scholars and theologians have thrown around many beliefs and theories about Lightfury. The prevailing wisdom is that Lightfury is as old as Tahnra itself, and is the personal tool of Donar... his primary way of manifesting in the mortal realm wherever it is needed.",言うまでもなく、ドナーの化身の「神の武器」である。だが、この武器は神の武器の中でもとりわけ特異な性質を持つ。ライトフューリーは、プトロメア山の戦いのずっと前からターンラに存在していた。学者や神学者は、ライトフューリーについて多くの仮説や考察を投げかけてきた。有名な説としては、ライトフューリーはターンラそれ自体と同じくらい古く、ドナー自身の道具であるということだ...そして、必要に応じて現世に具現化するのだと言う。
Morale,士気
"Morale is a Squad's fighting spirit. Player Morale, when high, has a chance to trigger extra turns in combat. Player Morale, when low, decreases attack power significantly.\\PAREnemy Morale, when high, increases attack power significantly, Enemy Morale, when low, decreases attack power significantly, and increases the chance they will willfully Surrender.\\PARMorale is mostly affected by battle victories, but can also be increased through relationships, and traits. Morale can be hurt via combat defeats, especially if the Squad leader falls.",士気は部隊が持つ闘志を数値化したステータス。部隊の士気が高いと、戦闘で追加のターンを誘発する確率が上がる。逆に、士気が低下すると、攻撃力も大幅に低下する。\\PARまた、敵の士気が高い時はその攻撃力が大幅に増加する。低い時は攻撃力が大幅に低下し、降伏する確率が上がる。\\PAR士気は主に戦闘での勝敗によって上下するが、人間関係や特性によっても上昇することがある。部隊の士気は敗北、特に部隊リーダーの敗北によって大幅に低下する。
Weather,天候
"Storm and Blizzards will render Gunners, Dragoons, and Cannons unable to fire, unless you have the 'Breech-Loading Rifle' technology.\\PARHeat Wave can happen in Desert Climates, and causes significant Morale damage to unsheltered squads, unless your Squad is equipped with the 'Desert Warrior' trait.\\PARAll types of Weather have an effect on units depending on their Affinity - see the Quick Reference Guide for Affinity.",嵐や吹雪が起こると、「元込め式」の技術を持っていない限り、銃や大砲の使い手は発砲できなくなる。\\PAR熱波は砂漠で発生することがあり、部隊が「砂漠の戦士」の特性を持っていない限り、重大な士気の低下を招いてしまう。\\PARすべての天候は、ユニットの属性に応じて影響を及ぼす。詳細については、クイックリファレンスガイドを参照のこと。
Bazaars,バザール
Bazaars are tents found on the tactical map. Sells Mercenaries and Artifacts higher in quality and rarity than you can purchase at the Home Base.,バザールは、マップ上にあるテントのこと。ステージの合間に利用できる市場よりも、質およびレア度の高い傭兵とアイテムが用意されている。
Tidereaver Pirates,タイドリーバー
"A massive, multi-layered organization of outlaws, warlords, raiders, assassins, extortionists, and slave traders who have connections to many government officials world wide.",無法者、軍人、盗賊、暗殺者、犯罪者、奴隷商人などから成る大規模かつ多層的な組織であり、世界中の多くの政府関係者とつながりがある。
The Barek Tor,バレクトール
"One of the major sapient species of Tahnra outside of the Human realms. Mostly bipedal humanoids who have retained the advantages and drawbacks of their feline ancestors. They boast exceptional agility, night vision, and the ability to dominate the forest landscape far better than Humans. They mostly reside in their home island of Sinarra, a land utterly dominated by the deep jungle.",人間の居住域の外にいるターンラの知的種族の1つ。猫の祖先の長所と短所を併せ持つが、そのほとんどが二足歩行のヒューマノイドである。並外れた敏捷性、暗視能力、および人間よりもはるかに優れた森林への適合性を誇る。彼らは主に、深いジャングルに覆われたシナーラ島に住んでいる。
Historium Magnus,ヒストリアム・マグヌス
"The divine book written after the Battle of Mount Ptolomea, codifying the founding of the Donari Temple. It contains a recounting of the events of the war with Zanatus, the Nephilim and Donar's influence, and of the building of the new Temple and human empires that followed the victory over Zanatus. It is written in a language that has long been nearly extinct.",プトロメア山の戦いの後に書かれた、ドナー神殿の建国の過程を成文化した神の書物。ザナトゥスとの戦争、ネフィリムとドナーの影響、そしてザナトゥスに対する勝利に続く新しい神殿と人間の帝国が建設された過程の詳細などが記されている。また、同書はほぼ消滅したとされる言語で書かれている。
Veridian Civil War,ベリディア内乱
"Date: Year 997\\PARLocation: Southern Veridia Province\\PARBelligerents: The West comprised of the Duchy of Isanter and the Donari Temple, The East comprised of the Duchy of Rimorgue and the Central Imperial government.\\PARResult: Annihilation of the West and the Duchy of Rimorgue, ascent of the Empire of Archaelus and Emperor Casamir\\PARTerritory changes: The lands of the Donari Temple, Duchy of Rimorgue, and the Duchy of Isanter completely dismanted and absorbed into the Empire of Archaelus\\PARCasualties: 11,000 military deaths","期間:997年\\PAR戦地:ベリディア南部\\PAR交戦勢力:イサンテル公国とドナー神殿で構成される西側陣営、リモーグ公国と中央帝国政府で構成される東側陣営。\\PAR結果:西側の敗北およびリモーグ公国の滅亡、アルケロス帝国とカサミール皇帝の戴冠\\PAR領土の変更:ドナー神殿、リモーグ公国、イサンテル公国は完全に解体され、アルケロス帝国に吸収された。\\PAR死傷者:11,000人の軍人が死亡"
Hand of Zanatus,ザナトゥスの手
"The fully-armored and heavily-armed champion who was unleashed to destroy the Lemelin Monastery. He possesses superhuman strength and magical power, as well as the Blade of Destruction, Balmung, which he wields with unsurpassed skill.",レメリン修道院を破壊するために解き放たれた、重武装の戦士。超人的な体力および魔力を持ち、恐るべき技を誇る。破壊の刃バルムングを振るう。
Treasures,宝箱
"By walking any Squad on top of a Treasure on the map, we will automatically open the chest, yielding Gold, Resources, or Equipment. There is no need to execute an extra command, simply walk right on top of it.",部隊をマップ上の宝箱の上に移動し、そこで停止すると開く。ゴールド、資源、アイテムなどが得られる。
Empire of Archaelus,アルケロス帝国
"The current hegemon of the Human world, ruled by Emperor Casamir. Archaelus directly controls all of Veridia and Sandraka nations, and imposes its will over Sayunaa which has become a vassal state. Derives its name from the original Human hegemony that followed the Battle of Mount Ptolomea, which was the first significant Human empire in Tahnra.",カサミール帝が統治する現代の覇権国家。アルケロスはベリディアとサンドラカの全国家を直接支配し、属国となったサユナーにもその政治方針を押し付けている。その名は、プトロメア山の戦いの後に築かれたターンラ初の巨大帝国に由来している。
Mount Ptolomea,プトロメア山
"The tallest mountain in the Human realm, which lies at the heart of the massive mountain ranges separating Veridia from Sayunaa. Pathways to this mountain are far too treacherous for travel by foot, other than one path painstakingly carved out over decades, which is tightly-controlled - its only outlet is to the Imperial Palace at Armitage.\\PARMount Ptolomea was the location of the last stand of humanity in the war against Zanatus, the location of Donar's miracle. Today, atop the summit lies the physical portal to the Divine Realm, which has not budged since its brief opening which allowed the power of Donar to flow into the mortal realm.",ベリディアとサユナーを隔てる巨大な山脈の中心にある、世界一高い山。この山への道は徒歩で移動するには危険すぎ、唯一の安全な道は、数十年の歳月をかけて開拓されたが、厳重に管理されている。その唯一の玄関口は、アーミテージの宮殿である。\\PARプトロメア山は、ザナトゥスとの戦争で人間が最後の抵抗をした場所であり、ドナーが奇跡を起こした場所でもある。今日、その頂上には神界に続く「門」があるが、ドナーの力が現世に流れ込んだ一時の開通以来、それが再び開いたことはない。
Nephilim Battlefield Powers,ネフィリムの力
"Battlefield skills that can be used at any time, independent of the move/attack turn cycle of our Squads. These powers are charged by the actions and events of the battle, such as dealing or taking damage, time passing, and other triggers.\\PARGalzus's power, Exemplar, reduces damage to one squad by %50, and provokes enemies to attack that squad for one turn. Accumulate this power by taking damage.\\PARLandis's Power, Teleport, teleports one squad up to 5 tiles away without spending movement points or using that squad's turn. Accumulate this power with movement that results in an attack in the same turn.\\PARIshtar's Power, Terror, greatly demoralizes Squads in a 3x3 area of effect. This power accumulates naturally over time.\\PARCyrene's power, Meteor, lands a meteor on a plus-shaped area of effect that damages all units in that squad. Cannot target enemies on Fort or Base tiles. Cannot exceed 50% of MaxHP depleted. Accumulate this power by dealing damage.\\PARDonar's power, Blessing, instantly refreshes one squad that has already spent their movement and/or attack, allowing another full action cycle in the same player phase. Accumulate this power as a sum of all four other Nephilim powers.\\PARTo use, access the ''Powers'' section of the main menu, as pictured above.",部隊の移動/攻撃ターンのサイクルと関係なく、いつでも使用できるマップスキル。これらのパワーは、与ダメージや被ダメージ、時間の経過、その他の条件により、戦闘のアクションやイベントによってチャージされる。\\PARガルザスのパワー、「堅守」を使うと、1つの部隊への被ダメージを50％減らし、1ターンの間、その部隊を攻撃するように敵を挑発する。このパワーは、ダメージを受けることで蓄積する。\\PARランディスのパワー、「転送」は、移動ポイントを消費したり、その部隊のターンを消費したりせずに、1つの部隊を最大5マス離れた位置にテレポートさせる。同じターンに移動と攻撃を行うと、このパワーが蓄積される。\\PARイシュタルのパワーである「恐怖」は、3x3マスの範囲にいる部隊の士気を大幅に低下させる。このパワーは、時間の経過とともに自然に蓄積される。\\PARサイレインのパワーである「隕石」は、十字形の範囲に隕石を落とし、そこにいるの部隊の全ユニットにダメージを与える。砦や本拠地にいる敵をターゲットにすることはできない。最大HPの50％を超過することできない。このパワーは、ダメージを与えることで蓄積される。\\PARドナーのパワーである「祝福」は、すでに移動や攻撃を行った1つの部隊を即座にリフレッシュし、同じターン内で再行動できるようにする。このパワーは、他の4つのネフィリムのすべてのパワーの合計として蓄積される。\\PAR使用するには、上の図のように、メインメニューのパワーセクションにアクセスする。
Tech Tree,技術ツリー
"We should always invest in Technology whenever we can. Tech advances will offer Army-wide benefits of many different types. There are 4 'tiers' of Technology that we can unlock as our faction continues to advance. To unlock technology, we need to level up Faction Rank. With every promotion in Faction Rank, we will be awarded a haul of Tech Points.\\PARAcademy of War focuses mostly on magic, the elements, and certain specialized warriors such as the Paladin, and War Mages.\\PARTactics and Command will advance our ability to field larger, more tactically-advanced armies, and give us certain specific advantages and new classes, such as the Swordmaster and Champion.\\PARCraftsmanship is the direct application of physical sciences to improve our army's weapons and armor.\\PAREach tech branch has its own 'Capstone' technology, which requires a complete fulfillment of all that branch's techs in the first 3 tiers. If you complete two whole tech trees, you can then unlock 'Dual Capstone's, which represent the ultimate in technological advance available.",このゲームを有利に進めるには、技術の開発に投資する必要がある。技術の開発は、軍にさまざまな利点をもたらす。勢力の評価が上がっていくにつれてアンロックできる技術には4段階のティアが存在する。技術をアンロックするには、勢力ランクをアップする必要がある。勢力ランクが上がるたびに、大量の技術ポイントを得ることができる。\\PAR「戦闘訓練」は主に、魔法、エレメント、およびパラディンやウォーメイジなどの特殊なタイプの戦士に焦点を当てている。\\PAR「戦略と戦術」は、より大規模で戦術的かつ高度な軍隊展開能力を向上させ、ソードマスターやチャンピオンなどの特定のアドバンテージと新しいクラスを提供している。\\PAR「制作技術」では、軍隊の武器や装甲を改良するために、物理科学を応用する。\\PAR各技術ツリーには独自の「キャップストーン」（最高ランク）技術がある。それを解放するには、下部の3ティアで当該ツリーのすべての技術を開発しておく必要がある。技術ツリー全体を2つを完了すると、究極の技術進歩を表す「デュアルキャップストーン」をアンロックできる。
Scions of Dargon,ダーゴンの末裔
"An underground spy organization made up of loyalitsts to the now-deposed Sayunaari monarchy who view the last legitimate monarch as the late King Kasim Dargon, who inherited a broken Sayunaari kingdom after the death of Queen Soha Dargon.",ソハ・ダーゴン女王の死後、故カシム・ダーゴン王は崩壊したサユナー王国を継承したが、彼も結局は廃位されられることとなった。だが、彼を正統な君主とみなす、愛国者から成る地下スパイ組織が「ダーゴンの末裔」である。
The Aetherium Crisis,エセリウム危機
"Date: Year 876-877\\PARLocation: Empire of Veridia, Kingdom of Sayunaa, Gondwanna Federation\\PARResult: Destruction of Novas Kedah and Ezrum, reform of the Donari Temple\\PARCasualties: 124,000 civilian deaths\\PARThe great tragedy and climax of the last age of Humanity, which spawned incredible heroes and legends, and set the foundation for the modern age.","期間:876～877年\\PAR戦地:ベリディア帝国、サユナー王国、ゴンドワナ連邦\\PAR結果:ノヴァス・ケダーとエズラムの破壊、ドナー神殿の改革\\PAR死傷者:124,000人の市民が死亡\\PAR数々の英雄と伝説を生み出し、ターンラ現代史の基礎となった巨大な悲劇。"
XP and CP,XPとCP
"XP is Experience Points, and CP is Class Points / Class Mastery.\\PARXP is gained from doing battle, defeating any units, or using an XP codex. Units that did not participate in the campaign will also gain a small amount, so that no one is severely left behind. You will always see your XP represented in increments of 100. Get 100 more XP to level up, which will increase your stats.\\PARCP, or Class Points / Class Mastery, is only gained from real combat experience, or using a CP Codex. In order to upgrade classes, you must fill up the CP Bar to ''Max''.",XPは経験値を、CPはクラスポイント/クラス熟練度を現す。\\PARXPは、戦闘を行ったり、敵ユニットを倒したり、経験値の写本を使用したりすることで獲得できる。戦いに参加しなかったユニットも少量の経験値を獲得するため、ストーリーが進むにつれ、誰かが成長しないまま取り残されてしまうことはない。XPは常に100単位で表示される。100XPを獲得してレベルアップすると、ステータスが増加する。\\PARCP（クラスポイント/クラス熟練度）は、実際の戦闘経験、またはクラス熟練度の写本の使用することによってのみ獲得できる。クラスをアップグレードするには、CPバーを「MAX」まで満たす必要がある。
Battle of Rimorgue River Valley,リモーグ渓谷の戦い
"Date: Year 999\\PARLocation: Stormrook, Rimorgue, banks of the Herald River\\PARBelligerents: Nephilim Army, Empire of Archaelus and Followers of Zanatus\\PARResult: Decisive Nephilim Army victory, near total destruction of the Empire of Archaelus military forces\\PARTerritory changes: Nephilim Army annexes Stormrook, Rimorgue, Fort Eureeka\\PARCasualties: 6,000 military deaths","期間:999年\\PAR戦地:ストームルーク、リモーグ、ヘラルド川のほとり\\PAR交戦勢力:ネフィリム軍、アルケロス帝国、ザナトゥス教団\\PAR結果:ネフィリム軍の決定的勝利、アルケラス帝国軍は壊滅\\PAR領土の変更:ネフィリム軍がストームルーク、リモーグ、エウレカ砦を奪還\\PAR死傷者:6,000人の兵士が死亡"
Nephilim Millennium War,ネフィリム千年戦争
